Session,PrimaryOutcome,RecoveryTrades,FinalTicks,Recovered,Sequence
2026-08-03,1,0,5,True,slow:1
2026-08-04,1,0,5,True,slow:1
2026-08-05,1,0,5,True,slow:1
2026-08-06,1,0,5,True,slow:1
2026-08-09,1,0,5,True,slow:1
2026-08-10,1,0,5,True,slow:1
2026-08-11,0,2,0,False,slow:0 middle:1 middle:1
2026-08-12,1,0,5,True,slow:1
2026-08-13,1,0,5,True,slow:1
2026-08-17,1,0,5,True,slow:1
2026-08-18,0,2,0,False,slow:0 fast:1 fast:1
2026-08-19,0,2,0,False,slow:0 fast:1 fast:1
2026-08-20,1,0,5,True,slow:1
2026-08-23,1,0,5,True,slow:1
2026-08-24,0,2,-15,False,slow:0 fast:1 fast:0
2026-08-25,1,0,5,True,slow:1
2026-08-26,1,0,5,True,slow:1
2026-08-27,1,0,5,True,slow:1
2026-08-30,1,0,5,True,slow:1
2026-08-31,1,0,5,True,slow:1
2026-09-01,1,0,5,True,slow:1
2026-09-02,1,0,5,True,slow:1
2026-09-03,1,0,5,True,slow:1
2026-09-06,1,0,5,True,slow:1
2026-09-07,1,0,5,True,slow:1
2026-09-08,1,0,5,True,slow:1
2026-09-09,1,0,5,True,slow:1
2026-09-10,1,0,5,True,slow:1
