PullbackBars,Prior24Min,Current24Min,Current50Min,Gap824Min,Gap2450Min,TouchTolerance,PenMax,RecoveryMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
1,20,0,0,1.5,1.5,0,2.5,0,245,170,69.39,262,173,66.03
1,20,0,0,1.5,1.5,0,2.5,1,217,149,68.66,237,152,64.14
1,20,0,0,1.5,1.5,0,2.5,2,175,117,66.86,189,124,65.61
1,20,0,0,1.5,1.5,0,5,0,307,216,70.36,360,237,65.83
1,20,0,0,1.5,1.5,0,5,1,267,187,70.04,311,201,64.63
1,20,0,0,1.5,1.5,0,5,2,212,146,68.87,233,151,64.81
1,20,0,0,1.5,1.5,0,7.5,0,307,216,70.36,360,237,65.83
1,20,0,0,1.5,1.5,0,7.5,1,267,187,70.04,311,201,64.63
1,20,0,0,1.5,1.5,0,7.5,2,212,146,68.87,233,151,64.81
1,20,0,0,1.5,1.5,0,10,0,307,216,70.36,360,237,65.83
1,20,0,0,1.5,1.5,0,10,1,267,187,70.04,311,201,64.63
1,20,0,0,1.5,1.5,0,10,2,212,146,68.87,233,151,64.81
1,20,0,0,1.5,1.5,1,2.5,0,376,263,69.95,425,280,65.88
1,20,0,0,1.5,1.5,1,2.5,1,334,233,69.76,387,250,64.6
1,20,0,0,1.5,1.5,1,2.5,2,271,185,68.27,304,200,65.79
1,20,0,0,1.5,1.5,1,5,0,438,309,70.55,523,344,65.77
1,20,0,0,1.5,1.5,1,5,1,384,271,70.57,461,299,64.86
1,20,0,0,1.5,1.5,1,5,2,308,214,69.48,348,227,65.23
1,20,0,0,1.5,1.5,1,7.5,0,438,309,70.55,523,344,65.77
1,20,0,0,1.5,1.5,1,7.5,1,384,271,70.57,461,299,64.86
1,20,0,0,1.5,1.5,1,7.5,2,308,214,69.48,348,227,65.23
1,20,0,0,1.5,1.5,1,10,0,438,309,70.55,523,344,65.77
1,20,0,0,1.5,1.5,1,10,1,384,271,70.57,461,299,64.86
1,20,0,0,1.5,1.5,1,10,2,308,214,69.48,348,227,65.23
1,20,0,0,1.5,3,0,2.5,0,180,125,69.44,201,129,64.18
1,20,0,0,1.5,3,0,2.5,1,157,109,69.43,185,115,62.16
1,20,0,0,1.5,3,0,2.5,2,125,84,67.2,145,93,64.14
1,20,0,0,1.5,3,0,5,0,231,161,69.7,275,179,65.09
1,20,0,0,1.5,3,0,5,1,197,138,70.05,242,153,63.22
