CandidateIndex,PullbackBars
0,3
1,3
2,3
3,1
4,3
5,3
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,2
15,1
16,3
17,3
18,3
19,1
20,3
21,3
22,1
23,1
24,2
25,3
26,3
27,1
28,2
29,3
30,2
31,2
32,3
33,3
34,3
35,3
36,3
37,1
38,2
39,1
40,3
41,2
42,2
43,2
44,3
45,2
46,2
47,2
48,1
49,3
50,3
51,3
52,3
53,3
54,3
55,1
56,3
57,1
58,3
59,1
60,1
61,3
62,1
63,3
64,3
65,3
66,3
67,1
68,1
69,2
70,3
71,3
72,2
73,3
74,2
75,3
76,3
77,2
78,3
79,3
80,1
81,3
82,2
83,3
84,3
85,3
86,3
87,3
88,3
89,2
90,3
91,2
92,3
93,2
94,3
95,3
96,1
97,1
98,2
99,3
100,2
101,3
102,1
103,1
104,3
105,3
106,1
107,2
108,3
109,3
110,2
111,1
112,2
113,2
114,1
115,1
116,3
117,3
118,2
119,2
120,1
121,3
122,2
123,1
124,1
125,1
126,2
127,3
128,2
129,3
130,3
131,1
132,3
133,3
134,3
135,3
136,1
137,2
138,2
139,3
140,2
141,2
142,1
143,3
144,2
145,3
146,3
147,2
148,1
149,3
150,3
151,2
152,3
153,3
154,3
155,2
156,2
157,2
158,2
159,2
160,3
161,2
162,2
163,2
164,1
165,3
166,3
167,3
168,3
169,1
170,3
171,1
172,2
173,1
174,3
175,3
176,3
177,3
178,2
179,3
180,1
181,1
182,3
183,3
184,2
185,3
186,2
187,3
188,2
189,1
190,3
191,3
192,3
193,2
194,1
195,3
196,3
197,3
198,3
199,2
200,3
201,3
202,3
203,2
204,2
205,1
206,2
207,2
208,2
209,3
210,3
211,2
212,3
213,3
214,1
215,2
216,2
217,1
218,2
219,2
220,3
221,2
222,2
223,2
224,2
225,1
226,2
227,2
228,3
229,3
230,3
231,3
232,1
233,1
234,2
235,1
236,2
237,3
238,2
239,3
240,2
241,3
242,3
243,1
244,3
245,3
246,3
247,1
248,1
249,1
250,1
251,2
252,3
253,3
254,3
255,3
256,1
257,3
258,1
259,2
260,3
261,3
262,3
263,3
264,2
265,1
266,3
267,2
268,1
269,3
270,3
271,3
272,3
273,2
274,2
275,2
276,3
277,3
278,1
279,1
280,3
281,1
282,2
283,2
284,3
285,3
286,2
287,3
288,2
289,3
290,2
291,3
292,2
293,1
294,1
295,1
296,1
297,3
298,3
299,3
300,1
301,1
302,2
303,3
304,3
305,3
306,3
307,2
308,1
309,1
310,1
311,1
312,3
313,3
314,2
315,2
316,1
317,2
318,3
319,2
320,2
321,2
322,3
323,1
324,3
325,1
326,3
327,3
328,3
329,2
330,3
331,2
332,2
333,2
334,2
335,2
336,3
337,3
338,3
339,2
340,1
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,2
349,2
350,3
351,3
352,2
353,2
354,1
355,3
356,3
357,3
358,3
359,2
360,3
361,1
362,3
363,1
364,2
365,3
366,2
367,3
368,3
369,1
370,3
371,3
372,3
373,2
374,3
375,1
376,1
377,1
378,2
379,3
380,3
381,3
382,2
383,3
384,3
385,1
386,3
387,2
388,3
389,3
390,2
391,3
392,1
393,3
394,1
395,3
396,3
397,3
398,3
399,1
400,3
401,2
402,2
403,2
404,2
405,2
406,3
407,3
408,3
409,2
410,1
411,2
412,2
413,3
414,2
415,2
416,1
417,3
418,1
