Prior24Min,Current24Min,Gap824Min,Gap2450Min,PenMax,CloseBeyond24Min,TailMin,BodyMin,FinishMax,ExtremeRecoveryMin,SequenceRecoveryMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
30,15,1.5,3,1,0,0,0,0,3,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,3,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,3,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,4,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,4,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,4,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,5,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,5,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,0,5,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,3,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,3,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,3,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,4,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,4,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,4,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,5,3,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,5,4,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,0,1,5,5,15,12,80.0,12,9,75.0
30,15,1.5,3,1,0,0,1,0,3,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,3,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,3,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,4,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,4,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,4,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,5,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,5,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,0,5,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,3,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,3,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,3,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,4,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,4,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,4,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,5,3,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,5,4,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,1,1,5,5,13,10,76.92,12,9,75.0
30,15,1.5,3,1,0,0,2,0,3,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,3,4,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,3,5,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,4,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,4,4,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,4,5,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,5,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,5,4,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,0,5,5,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,3,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,3,4,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,3,5,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,4,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,4,4,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,4,5,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,5,3,9,8,88.89,6,5,83.33
30,15,1.5,3,1,0,0,2,1,5,4,9,8,88.89,6,5,83.33
