bar,time,text_time,direction,early,won,prior24,current24,gap824,gap2450,penetration,recovery,close_beyond24,tail,body,finish,extreme_recovery,sequence_recovery
2695,63921509965,2026-08-04 06:59:25.176,1,True,True,32.286646,18.041939,2.701079,8.685491,2.173673,0.0,2.826327,4.0,1.0,0.0,5.0,5.0
2847,63921512249,2026-08-04 07:37:29.576,1,True,True,48.663497,24.773208,5.695507,4.200582,0.102047,1.0,4.897953,3.0,2.0,0.0,5.0,5.0
3665,63921531813,2026-08-04 13:03:33.364,1,True,True,43.323918,22.248312,4.927164,4.64585,1.573251,1.0,3.426749,3.0,2.0,0.0,5.0,5.0
4332,63921586316,2026-08-05 04:11:56.036,1,True,True,31.032221,21.927241,3.378501,7.291084,1.642143,1.0,3.357857,3.0,2.0,0.0,5.0,5.0
5195,63921598626,2026-08-05 07:37:06.092,-1,True,True,49.021009,21.236959,4.838002,4.574172,2.454338,-1.0,2.545662,5.0,-0.0,0.0,5.0,5.0
5222,63921598815,2026-08-05 07:40:15.892,-1,True,True,43.025846,26.802672,3.520357,5.249742,1.503147,-0.0,3.496853,4.0,1.0,0.0,5.0,5.0
5790,63921603807,2026-08-05 09:03:27.040,-1,True,False,54.395026,26.732421,5.837084,7.622095,0.907468,-0.0,4.092532,4.0,1.0,0.0,5.0,5.0
6956,63921656803,2026-08-05 23:46:43.496,-1,True,True,31.395829,20.968174,3.032867,4.596572,1.234192,1.0,3.765808,3.0,2.0,0.0,5.0,5.0
8096,63921687709,2026-08-06 08:21:49.116,-1,True,True,37.207372,28.18942,4.676951,11.496895,0.233954,1.0,4.766046,3.0,2.0,0.0,5.0,5.0
8915,63921704128,2026-08-06 12:55:28.396,1,True,True,36.124701,16.429065,4.050666,3.980442,2.472831,1.0,2.527169,3.0,2.0,0.0,5.0,5.0
10533,63921770555,2026-08-07 07:22:35.944,1,True,True,38.74042,26.987045,5.356104,12.309473,0.236613,0.0,4.763387,4.0,1.0,0.0,5.0,5.0
10800,63921772822,2026-08-07 08:00:22.120,1,True,False,35.198785,23.709927,4.542234,5.442598,0.337663,1.0,4.662337,3.0,2.0,0.0,5.0,5.0
10830,63921773303,2026-08-07 08:08:23.580,1,True,True,33.879472,18.801232,3.442245,3.559523,1.991663,1.0,3.008337,3.0,2.0,0.0,5.0,5.0
11078,63921778368,2026-08-07 09:32:48.232,-1,True,False,45.66504,22.089894,4.979528,9.894053,1.913239,1.0,3.086761,3.0,2.0,0.0,5.0,5.0
