BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
2847,2026-08-04 07:37:29.576,LONG,7701.000000,TARGET,TARGET,2026-08-04 07:37:34,7702.250000,538,False
5790,2026-08-05 09:03:27.040,SHORT,7755.250000,STOP,STOP,2026-08-05 09:04:01,7757.750000,6489,False
8096,2026-08-06 08:21:49.116,SHORT,7740.250000,TARGET,TARGET,2026-08-06 08:22:22,7739.000000,6396,False
10533,2026-08-07 07:22:35.944,LONG,7764.750000,TARGET,TARGET,2026-08-07 07:23:15,7766.000000,12442,False
10800,2026-08-07 08:00:22.120,LONG,7775.500000,STOP,STOP,2026-08-07 08:01:55,7773.000000,16967,False
11995,2026-08-10 06:31:48.184,LONG,7779.500000,TARGET,TARGET,2026-08-10 06:31:50,7780.750000,786,False
14389,2026-08-12 05:29:54.112,LONG,7779.250000,TARGET,TARGET,2026-08-12 05:29:55,7780.750000,3,True
15182,2026-08-12 07:39:18.036,LONG,7770.500000,TARGET,TARGET,2026-08-12 07:39:57,7771.750000,5375,False
15869,2026-08-13 05:30:01.288,LONG,7786.750000,TARGET,TARGET,2026-08-13 05:30:02,7789.000000,15,True
16585,2026-08-13 12:27:53.456,LONG,7826.000000,TARGET,TARGET,2026-08-13 12:30:52,7827.250000,8599,False
16690,2026-08-13 16:27:11.944,LONG,7826.250000,TARGET,TARGET,2026-08-13 17:01:24,7827.500000,18181,False
18435,2026-08-17 21:28:27.032,SHORT,7742.000000,STOP,STOP,2026-08-17 21:29:32,7744.500000,796,False
19389,2026-08-18 07:26:38.012,LONG,7728.500000,TARGET,TARGET,2026-08-18 07:26:41,7729.750000,516,False
25658,2026-08-21 10:29:50.980,SHORT,7694.500000,TARGET,TARGET,2026-08-21 10:30:00,7693.250000,807,False
25700,2026-08-21 11:13:49.524,SHORT,7689.500000,TARGET,TARGET,2026-08-21 11:28:00,7688.250000,23522,False
27816,2026-08-24 18:04:16.772,LONG,7673.750000,TARGET,TARGET,2026-08-24 18:05:13,7675.000000,1961,False
31121,2026-08-27 02:11:25.768,SHORT,7724.250000,TARGET,TARGET,2026-08-27 02:14:06,7723.000000,3014,False
31201,2026-08-27 04:22:05.156,LONG,7726.750000,STOP,STOP,2026-08-27 04:27:39,7724.250000,5732,False
32919,2026-08-28 06:44:57.920,LONG,7755.250000,STOP,STOP,2026-08-28 06:45:24,7752.750000,5081,False
33857,2026-08-28 08:45:23.036,SHORT,7758.250000,TARGET,TARGET,2026-08-28 08:45:28,7757.000000,833,False
37228,2026-09-01 01:06:52.004,SHORT,7682.750000,TARGET,TARGET,2026-09-01 01:06:55,7681.500000,687,False
38061,2026-09-01 07:27:39.468,LONG,7665.250000,TARGET,TARGET,2026-09-01 07:30:05,7666.500000,14849,False
38133,2026-09-01 08:00:45.596,SHORT,7662.500000,TARGET,TARGET,2026-09-01 08:01:11,7661.250000,2781,False
43213,2026-09-04 06:31:14.084,LONG,7744.500000,TARGET,TARGET,2026-09-04 06:31:24,7745.750000,4687,False
44627,2026-09-07 22:40:15.292,SHORT,7715.000000,TARGET,TARGET,2026-09-07 22:40:25,7713.750000,553,False
48906,2026-09-10 06:28:45.292,SHORT,7598.000000,STOP,STOP,2026-09-10 06:29:31,7600.500000,5559,False
50440,2026-09-10 17:34:35.000,LONG,7606.500000,TARGET,TARGET,2026-09-10 17:35:42,7607.750000,1552,False
