Family,Version,Selected,Resolved,Target,Stop,None,TargetRate,DevN,DevRate,HoldN,HoldRate
EMA8,CURRENT,364,362,279,83,2,77.07182320441989,192,78.125,172,75.88235294117646
EMA8,NO_50_ORDER,388,386,296,90,2,76.6839378238342,203,77.33990147783251,185,75.95628415300547
EMA8,NO_50_ALL,388,386,296,90,2,76.6839378238342,203,77.33990147783251,185,75.95628415300547
EMA24,CURRENT,154,154,127,27,0,82.46753246753246,74,78.37837837837837,80,86.25
EMA24,NO_50_ORDER,162,162,134,28,0,82.71604938271605,78,79.48717948717949,84,85.71428571428571
EMA24,NO_50_ALL,210,209,170,39,1,81.33971291866028,103,79.41176470588235,107,83.17757009345794
PIN_STRICT,CURRENT,67,67,54,13,0,80.59701492537313,29,72.41379310344827,38,86.84210526315789
PIN_STRICT,NO_50_ORDER,67,67,54,13,0,80.59701492537313,29,72.41379310344827,38,86.84210526315789
PIN_STRICT,NO_50_ALL,129,128,95,33,1,74.21875,60,74.57627118644068,69,73.91304347826087
PIN7,CURRENT,310,309,235,74,1,76.05177993527508,167,70.48192771084338,143,82.51748251748252
PIN7,NO_50_ORDER,439,437,326,111,2,74.59954233409611,229,72.36842105263158,210,77.03349282296651
PIN7,NO_50_ALL,439,437,326,111,2,74.59954233409611,229,72.36842105263158,210,77.03349282296651
EMA50,CURRENT,141,141,117,24,0,82.97872340425532,65,83.07692307692308,76,82.89473684210526
EMA50,NO_50_ORDER,141,141,117,24,0,82.97872340425532,65,83.07692307692308,76,82.89473684210526
EMA50,NO_50_ALL,141,141,117,24,0,82.97872340425532,65,83.07692307692308,76,82.89473684210526
NON50_COMBINED,CURRENT,895,892,695,197,3,77.91479820627802,462,75.05422993492408,433,80.97447795823666
NON50_COMBINED,NO_50_ORDER,1056,1052,810,242,4,76.99619771863118,539,75.27881040892193,517,78.79377431906615
NON50_COMBINED,NO_50_ALL,1166,1160,887,273,6,76.46551724137932,595,75.50675675675676,571,77.46478873239437
