bar,time,direction,family,version,segment,outcome
1025,2026-08-03 06:32:55.424,1,EMA8,CURRENT,DEV,TARGET
1025,2026-08-03 06:32:55.424,1,EMA8,NO_50_ORDER,DEV,TARGET
1025,2026-08-03 06:32:55.424,1,EMA8,NO_50_ALL,DEV,TARGET
1027,2026-08-03 06:33:01.816,1,EMA8,CURRENT,DEV,TARGET
1027,2026-08-03 06:33:01.816,1,EMA8,NO_50_ORDER,DEV,TARGET
1027,2026-08-03 06:33:01.816,1,EMA8,NO_50_ALL,DEV,TARGET
1029,2026-08-03 06:33:05.364,1,EMA24,CURRENT,DEV,TARGET
1029,2026-08-03 06:33:05.364,1,EMA24,NO_50_ORDER,DEV,TARGET
1029,2026-08-03 06:33:05.364,1,EMA24,NO_50_ALL,DEV,TARGET
1031,2026-08-03 06:33:11.392,1,EMA24,CURRENT,DEV,TARGET
1031,2026-08-03 06:33:11.392,1,EMA24,NO_50_ORDER,DEV,TARGET
1031,2026-08-03 06:33:11.392,1,EMA24,NO_50_ALL,DEV,TARGET
1035,2026-08-03 06:33:28.280,1,PIN7,CURRENT,DEV,TARGET
1035,2026-08-03 06:33:28.280,1,PIN7,NO_50_ORDER,DEV,TARGET
1035,2026-08-03 06:33:28.280,1,PIN7,NO_50_ALL,DEV,TARGET
1047,2026-08-03 06:34:11.036,1,PIN_STRICT,CURRENT,DEV,STOP
1047,2026-08-03 06:34:11.036,1,PIN_STRICT,NO_50_ORDER,DEV,STOP
1047,2026-08-03 06:34:11.036,1,PIN_STRICT,NO_50_ALL,DEV,STOP
1051,2026-08-03 06:34:29.936,1,EMA8,CURRENT,DEV,STOP
1051,2026-08-03 06:34:29.936,1,EMA8,NO_50_ORDER,DEV,STOP
1051,2026-08-03 06:34:29.936,1,EMA8,NO_50_ALL,DEV,STOP
1069,2026-08-03 06:35:44.004,1,PIN_STRICT,CURRENT,DEV,TARGET
1069,2026-08-03 06:35:44.004,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
1069,2026-08-03 06:35:44.004,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
1072,2026-08-03 06:36:04.044,1,EMA8,CURRENT,DEV,TARGET
1072,2026-08-03 06:36:04.044,1,EMA8,NO_50_ORDER,DEV,TARGET
1072,2026-08-03 06:36:04.044,1,EMA8,NO_50_ALL,DEV,TARGET
1081,2026-08-03 06:36:52.268,1,PIN7,CURRENT,DEV,TARGET
1081,2026-08-03 06:36:52.268,1,PIN7,NO_50_ORDER,DEV,TARGET
1081,2026-08-03 06:36:52.268,1,PIN7,NO_50_ALL,DEV,TARGET
1116,2026-08-03 06:40:22.552,-1,PIN7,NO_50_ORDER,DEV,TARGET
1116,2026-08-03 06:40:22.552,-1,PIN7,NO_50_ALL,DEV,TARGET
1117,2026-08-03 06:40:28.284,-1,PIN7,NO_50_ORDER,DEV,TARGET
1117,2026-08-03 06:40:28.284,-1,PIN7,NO_50_ALL,DEV,TARGET
1176,2026-08-03 06:44:52.564,1,PIN7,NO_50_ORDER,DEV,TARGET
1176,2026-08-03 06:44:52.564,1,PIN7,NO_50_ALL,DEV,TARGET
1319,2026-08-03 07:00:02.252,1,EMA8,CURRENT,DEV,STOP
1319,2026-08-03 07:00:02.252,1,EMA8,NO_50_ORDER,DEV,STOP
1319,2026-08-03 07:00:02.252,1,EMA8,NO_50_ALL,DEV,STOP
1351,2026-08-03 07:04:27.896,-1,PIN_STRICT,NO_50_ALL,DEV,STOP
1389,2026-08-03 07:10:26.840,1,PIN7,CURRENT,DEV,TARGET
1389,2026-08-03 07:10:26.840,1,PIN7,NO_50_ORDER,DEV,TARGET
1389,2026-08-03 07:10:26.840,1,PIN7,NO_50_ALL,DEV,TARGET
1393,2026-08-03 07:10:53.264,1,EMA8,CURRENT,DEV,TARGET
1393,2026-08-03 07:10:53.264,1,EMA8,NO_50_ORDER,DEV,TARGET
1393,2026-08-03 07:10:53.264,1,EMA8,NO_50_ALL,DEV,TARGET
1395,2026-08-03 07:11:24.544,1,EMA8,CURRENT,DEV,TARGET
1395,2026-08-03 07:11:24.544,1,EMA8,NO_50_ORDER,DEV,TARGET
1395,2026-08-03 07:11:24.544,1,EMA8,NO_50_ALL,DEV,TARGET
1399,2026-08-03 07:12:51.456,1,EMA8,CURRENT,DEV,STOP
1399,2026-08-03 07:12:51.456,1,EMA8,NO_50_ORDER,DEV,STOP
1399,2026-08-03 07:12:51.456,1,EMA8,NO_50_ALL,DEV,STOP
1408,2026-08-03 07:15:07.836,1,PIN7,CURRENT,DEV,TARGET
1408,2026-08-03 07:15:07.836,1,PIN7,NO_50_ORDER,DEV,TARGET
1408,2026-08-03 07:15:07.836,1,PIN7,NO_50_ALL,DEV,TARGET
1409,2026-08-03 07:15:32.676,1,PIN7,CURRENT,DEV,TARGET
1409,2026-08-03 07:15:32.676,1,PIN7,NO_50_ORDER,DEV,TARGET
1409,2026-08-03 07:15:32.676,1,PIN7,NO_50_ALL,DEV,TARGET
1410,2026-08-03 07:16:00.104,1,PIN7,CURRENT,DEV,TARGET
1410,2026-08-03 07:16:00.104,1,PIN7,NO_50_ORDER,DEV,TARGET
1410,2026-08-03 07:16:00.104,1,PIN7,NO_50_ALL,DEV,TARGET
1413,2026-08-03 07:16:53.480,1,PIN_STRICT,CURRENT,DEV,TARGET
1413,2026-08-03 07:16:53.480,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
1413,2026-08-03 07:16:53.480,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
1423,2026-08-03 07:21:11.684,1,EMA8,CURRENT,DEV,TARGET
1423,2026-08-03 07:21:11.684,1,EMA8,NO_50_ORDER,DEV,TARGET
1423,2026-08-03 07:21:11.684,1,EMA8,NO_50_ALL,DEV,TARGET
1428,2026-08-03 07:23:56.052,1,PIN7,CURRENT,DEV,TARGET
1428,2026-08-03 07:23:56.052,1,PIN7,NO_50_ORDER,DEV,TARGET
1428,2026-08-03 07:23:56.052,1,PIN7,NO_50_ALL,DEV,TARGET
1489,2026-08-03 07:58:58.816,1,EMA8,CURRENT,DEV,TARGET
1489,2026-08-03 07:58:58.816,1,EMA8,NO_50_ORDER,DEV,TARGET
1489,2026-08-03 07:58:58.816,1,EMA8,NO_50_ALL,DEV,TARGET
1696,2026-08-03 11:01:38.916,1,EMA8,CURRENT,DEV,TARGET
1696,2026-08-03 11:01:38.916,1,EMA8,NO_50_ORDER,DEV,TARGET
1696,2026-08-03 11:01:38.916,1,EMA8,NO_50_ALL,DEV,TARGET
1698,2026-08-03 11:03:05.052,1,EMA8,CURRENT,DEV,TARGET
1698,2026-08-03 11:03:05.052,1,EMA8,NO_50_ORDER,DEV,TARGET
1698,2026-08-03 11:03:05.052,1,EMA8,NO_50_ALL,DEV,TARGET
1700,2026-08-03 11:04:03.352,1,PIN7,CURRENT,DEV,TARGET
1700,2026-08-03 11:04:03.352,1,PIN7,NO_50_ORDER,DEV,TARGET
1700,2026-08-03 11:04:03.352,1,PIN7,NO_50_ALL,DEV,TARGET
1702,2026-08-03 11:05:08.452,1,PIN_STRICT,CURRENT,DEV,TARGET
1702,2026-08-03 11:05:08.452,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
1702,2026-08-03 11:05:08.452,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
1717,2026-08-03 11:17:18.116,1,PIN7,CURRENT,DEV,STOP
1717,2026-08-03 11:17:18.116,1,PIN7,NO_50_ORDER,DEV,STOP
1717,2026-08-03 11:17:18.116,1,PIN7,NO_50_ALL,DEV,STOP
1730,2026-08-03 11:28:06.472,-1,PIN7,NO_50_ORDER,DEV,TARGET
1730,2026-08-03 11:28:06.472,-1,PIN7,NO_50_ALL,DEV,TARGET
1731,2026-08-03 11:28:33.440,-1,PIN7,NO_50_ORDER,DEV,STOP
1731,2026-08-03 11:28:33.440,-1,PIN7,NO_50_ALL,DEV,STOP
1735,2026-08-03 11:30:17.568,-1,EMA8,NO_50_ORDER,DEV,TARGET
1735,2026-08-03 11:30:17.568,-1,EMA8,NO_50_ALL,DEV,TARGET
1739,2026-08-03 11:32:39.960,-1,EMA8,NO_50_ORDER,DEV,TARGET
1739,2026-08-03 11:32:39.960,-1,EMA8,NO_50_ALL,DEV,TARGET
1745,2026-08-03 11:36:25.532,-1,EMA24,NO_50_ALL,DEV,TARGET
1759,2026-08-03 11:46:47.456,1,EMA24,CURRENT,DEV,TARGET
1759,2026-08-03 11:46:47.456,1,EMA24,NO_50_ORDER,DEV,TARGET
1759,2026-08-03 11:46:47.456,1,EMA24,NO_50_ALL,DEV,TARGET
1761,2026-08-03 11:48:09.168,1,EMA24,NO_50_ALL,DEV,TARGET
1773,2026-08-03 12:00:02.288,1,EMA24,CURRENT,DEV,TARGET
1773,2026-08-03 12:00:02.288,1,EMA24,NO_50_ORDER,DEV,TARGET
1773,2026-08-03 12:00:02.288,1,EMA24,NO_50_ALL,DEV,TARGET
1777,2026-08-03 12:02:15.008,1,PIN_STRICT,CURRENT,DEV,TARGET
1777,2026-08-03 12:02:15.008,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
1777,2026-08-03 12:02:15.008,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
1778,2026-08-03 12:02:35.060,1,PIN_STRICT,CURRENT,DEV,STOP
1778,2026-08-03 12:02:35.060,1,PIN_STRICT,NO_50_ORDER,DEV,STOP
1778,2026-08-03 12:02:35.060,1,PIN_STRICT,NO_50_ALL,DEV,STOP
1802,2026-08-03 12:28:02.888,1,PIN7,CURRENT,DEV,STOP
1802,2026-08-03 12:28:02.888,1,PIN7,NO_50_ORDER,DEV,STOP
1802,2026-08-03 12:28:02.888,1,PIN7,NO_50_ALL,DEV,STOP
1821,2026-08-03 12:40:10.348,-1,PIN7,NO_50_ORDER,DEV,STOP
1821,2026-08-03 12:40:10.348,-1,PIN7,NO_50_ALL,DEV,STOP
1862,2026-08-03 12:55:03.820,-1,EMA8,CURRENT,DEV,TARGET
1862,2026-08-03 12:55:03.820,-1,EMA8,NO_50_ORDER,DEV,TARGET
1862,2026-08-03 12:55:03.820,-1,EMA8,NO_50_ALL,DEV,TARGET
1870,2026-08-03 12:58:00.088,-1,EMA24,CURRENT,DEV,STOP
1870,2026-08-03 12:58:00.088,-1,EMA24,NO_50_ORDER,DEV,STOP
1870,2026-08-03 12:58:00.088,-1,EMA24,NO_50_ALL,DEV,STOP
2587,2026-08-04 06:32:26.700,1,PIN7,CURRENT,DEV,TARGET
2587,2026-08-04 06:32:26.700,1,PIN7,NO_50_ORDER,DEV,TARGET
2587,2026-08-04 06:32:26.700,1,PIN7,NO_50_ALL,DEV,TARGET
2600,2026-08-04 06:36:28.908,1,PIN_STRICT,CURRENT,DEV,STOP
2600,2026-08-04 06:36:28.908,1,PIN_STRICT,NO_50_ORDER,DEV,STOP
2600,2026-08-04 06:36:28.908,1,PIN_STRICT,NO_50_ALL,DEV,STOP
2624,2026-08-04 06:41:15.464,1,PIN7,CURRENT,DEV,STOP
2624,2026-08-04 06:41:15.464,1,PIN7,NO_50_ORDER,DEV,STOP
2624,2026-08-04 06:41:15.464,1,PIN7,NO_50_ALL,DEV,STOP
2711,2026-08-04 07:01:15.116,1,EMA8,CURRENT,DEV,TARGET
2711,2026-08-04 07:01:15.116,1,EMA8,NO_50_ORDER,DEV,TARGET
2711,2026-08-04 07:01:15.116,1,EMA8,NO_50_ALL,DEV,TARGET
2713,2026-08-04 07:01:37.220,1,PIN7,CURRENT,DEV,TARGET
2713,2026-08-04 07:01:37.220,1,PIN7,NO_50_ORDER,DEV,TARGET
2713,2026-08-04 07:01:37.220,1,PIN7,NO_50_ALL,DEV,TARGET
2715,2026-08-04 07:02:09.032,1,PIN7,CURRENT,DEV,TARGET
2715,2026-08-04 07:02:09.032,1,PIN7,NO_50_ORDER,DEV,TARGET
2715,2026-08-04 07:02:09.032,1,PIN7,NO_50_ALL,DEV,TARGET
2716,2026-08-04 07:02:24.164,1,PIN7,CURRENT,DEV,TARGET
2716,2026-08-04 07:02:24.164,1,PIN7,NO_50_ORDER,DEV,TARGET
2716,2026-08-04 07:02:24.164,1,PIN7,NO_50_ALL,DEV,TARGET
2736,2026-08-04 07:05:50.564,1,EMA8,CURRENT,DEV,TARGET
2736,2026-08-04 07:05:50.564,1,EMA8,NO_50_ORDER,DEV,TARGET
2736,2026-08-04 07:05:50.564,1,EMA8,NO_50_ALL,DEV,TARGET
2743,2026-08-04 07:08:25.252,1,EMA8,CURRENT,DEV,TARGET
2743,2026-08-04 07:08:25.252,1,EMA8,NO_50_ORDER,DEV,TARGET
2743,2026-08-04 07:08:25.252,1,EMA8,NO_50_ALL,DEV,TARGET
2755,2026-08-04 07:14:56.764,1,PIN7,CURRENT,DEV,TARGET
2755,2026-08-04 07:14:56.764,1,PIN7,NO_50_ORDER,DEV,TARGET
2755,2026-08-04 07:14:56.764,1,PIN7,NO_50_ALL,DEV,TARGET
2760,2026-08-04 07:16:44.524,1,EMA8,CURRENT,DEV,TARGET
2760,2026-08-04 07:16:44.524,1,EMA8,NO_50_ORDER,DEV,TARGET
2760,2026-08-04 07:16:44.524,1,EMA8,NO_50_ALL,DEV,TARGET
2762,2026-08-04 07:17:18.796,1,EMA8,CURRENT,DEV,TARGET
2762,2026-08-04 07:17:18.796,1,EMA8,NO_50_ORDER,DEV,TARGET
2762,2026-08-04 07:17:18.796,1,EMA8,NO_50_ALL,DEV,TARGET
2771,2026-08-04 07:19:46.872,1,EMA8,CURRENT,DEV,STOP
2771,2026-08-04 07:19:46.872,1,EMA8,NO_50_ORDER,DEV,STOP
2771,2026-08-04 07:19:46.872,1,EMA8,NO_50_ALL,DEV,STOP
2786,2026-08-04 07:22:37.292,-1,EMA24,NO_50_ORDER,DEV,TARGET
2786,2026-08-04 07:22:37.292,-1,EMA24,NO_50_ALL,DEV,TARGET
2796,2026-08-04 07:24:17.296,-1,EMA24,NO_50_ALL,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,CURRENT,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,NO_50_ORDER,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,NO_50_ALL,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,CURRENT,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,NO_50_ORDER,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,NO_50_ALL,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,CURRENT,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,NO_50_ORDER,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,NO_50_ALL,DEV,TARGET
2894,2026-08-04 07:44:59.916,1,PIN_STRICT,NO_50_ALL,DEV,NONE
2897,2026-08-04 07:45:16.056,1,EMA8,CURRENT,DEV,TARGET
2897,2026-08-04 07:45:16.056,1,EMA8,NO_50_ORDER,DEV,TARGET
2897,2026-08-04 07:45:16.056,1,EMA8,NO_50_ALL,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,CURRENT,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,NO_50_ORDER,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,NO_50_ALL,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,EMA8,CURRENT,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,EMA8,NO_50_ORDER,DEV,TARGET
