Version,Families,BarNumber,Time,Direction,Segment,TickOutcome,TicksSeen
CURRENT,EMA8,1025,2026-08-03 06:32:55.424,1,DEV,NONE,0
CURRENT,EMA8,1027,2026-08-03 06:33:01.816,1,DEV,NONE,0
CURRENT,EMA24,1029,2026-08-03 06:33:05.364,1,DEV,NONE,0
CURRENT,EMA24,1031,2026-08-03 06:33:11.392,1,DEV,NONE,0
CURRENT,PIN7,1035,2026-08-03 06:33:28.280,1,DEV,NONE,0
CURRENT,PIN_STRICT,1047,2026-08-03 06:34:11.036,1,DEV,NONE,0
CURRENT,EMA8,1051,2026-08-03 06:34:29.936,1,DEV,NONE,0
CURRENT,PIN_STRICT,1069,2026-08-03 06:35:44.004,1,DEV,NONE,0
CURRENT,EMA8,1072,2026-08-03 06:36:04.044,1,DEV,NONE,0
CURRENT,PIN7,1081,2026-08-03 06:36:52.268,1,DEV,NONE,0
CURRENT,EMA8,1319,2026-08-03 07:00:02.252,1,DEV,NONE,0
CURRENT,PIN7,1389,2026-08-03 07:10:26.840,1,DEV,NONE,0
CURRENT,EMA8,1393,2026-08-03 07:10:53.264,1,DEV,NONE,0
CURRENT,EMA8,1395,2026-08-03 07:11:24.544,1,DEV,NONE,0
CURRENT,EMA8,1399,2026-08-03 07:12:51.456,1,DEV,NONE,0
CURRENT,PIN7,1408,2026-08-03 07:15:07.836,1,DEV,NONE,0
CURRENT,PIN7,1409,2026-08-03 07:15:32.676,1,DEV,NONE,0
CURRENT,PIN7,1410,2026-08-03 07:16:00.104,1,DEV,NONE,0
CURRENT,PIN_STRICT,1413,2026-08-03 07:16:53.480,1,DEV,NONE,0
CURRENT,EMA8,1423,2026-08-03 07:21:11.684,1,DEV,NONE,0
CURRENT,PIN7,1428,2026-08-03 07:23:56.052,1,DEV,NONE,0
CURRENT,EMA8,1489,2026-08-03 07:58:58.816,1,DEV,NONE,0
CURRENT,EMA8,1696,2026-08-03 11:01:38.916,1,DEV,NONE,0
CURRENT,EMA8,1698,2026-08-03 11:03:05.052,1,DEV,NONE,0
CURRENT,PIN7,1700,2026-08-03 11:04:03.352,1,DEV,NONE,0
CURRENT,PIN_STRICT,1702,2026-08-03 11:05:08.452,1,DEV,NONE,0
CURRENT,PIN7,1717,2026-08-03 11:17:18.116,1,DEV,NONE,0
CURRENT,EMA24,1759,2026-08-03 11:46:47.456,1,DEV,NONE,0
CURRENT,EMA24,1773,2026-08-03 12:00:02.288,1,DEV,NONE,0
CURRENT,PIN_STRICT,1777,2026-08-03 12:02:15.008,1,DEV,NONE,0
CURRENT,PIN_STRICT,1778,2026-08-03 12:02:35.060,1,DEV,NONE,0
