PullbackBars,Prior50Min,Current50Min,Prior24Min,Gap2450Min,TouchTolerance,PenMax,RecoveryMin,Shape,RequireStartOrder,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
1,10,-10,0,0,0,5,0,any,False,422,300,71.09,403,280,69.48
1,10,-10,0,0,0,5,0,any,True,311,226,72.67,309,213,68.93
1,10,-10,0,0,0,5,0,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,5,0,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,5,0,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,5,0,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,5,0,tail_2_3,False,171,125,73.1,156,108,69.23
1,10,-10,0,0,0,5,0,tail_2_3,True,139,105,75.54,128,87,67.97
1,10,-10,0,0,0,5,0,tail_ge4,False,43,30,69.77,44,28,63.64
1,10,-10,0,0,0,5,0,tail_ge4,True,35,25,71.43,38,24,63.16
1,10,-10,0,0,0,5,2,any,False,312,220,70.51,288,204,70.83
1,10,-10,0,0,0,5,2,any,True,219,158,72.15,208,146,70.19
1,10,-10,0,0,0,5,2,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,5,2,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,5,2,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,5,2,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,5,2,tail_2_3,False,104,75,72.12,85,60,70.59
1,10,-10,0,0,0,5,2,tail_2_3,True,82,62,75.61,65,44,67.69
1,10,-10,0,0,0,10,0,any,False,422,300,71.09,403,280,69.48
1,10,-10,0,0,0,10,0,any,True,311,226,72.67,309,213,68.93
1,10,-10,0,0,0,10,0,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,10,0,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,10,0,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,10,0,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,10,0,tail_2_3,False,171,125,73.1,156,108,69.23
1,10,-10,0,0,0,10,0,tail_2_3,True,139,105,75.54,128,87,67.97
1,10,-10,0,0,0,10,0,tail_ge4,False,43,30,69.77,44,28,63.64
1,10,-10,0,0,0,10,0,tail_ge4,True,35,25,71.43,38,24,63.16
1,10,-10,0,0,0,10,2,any,False,312,220,70.51,288,204,70.83
1,10,-10,0,0,0,10,2,any,True,219,158,72.15,208,146,70.19
1,10,-10,0,0,0,10,2,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,10,2,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,10,2,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,10,2,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,10,2,tail_2_3,False,104,75,72.12,85,60,70.59
1,10,-10,0,0,0,10,2,tail_2_3,True,82,62,75.61,65,44,67.69
1,10,-10,0,0,0,15,0,any,False,422,300,71.09,403,280,69.48
1,10,-10,0,0,0,15,0,any,True,311,226,72.67,309,213,68.93
1,10,-10,0,0,0,15,0,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,15,0,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,15,0,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,15,0,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,15,0,tail_2_3,False,171,125,73.1,156,108,69.23
1,10,-10,0,0,0,15,0,tail_2_3,True,139,105,75.54,128,87,67.97
1,10,-10,0,0,0,15,0,tail_ge4,False,43,30,69.77,44,28,63.64
1,10,-10,0,0,0,15,0,tail_ge4,True,35,25,71.43,38,24,63.16
1,10,-10,0,0,0,15,2,any,False,312,220,70.51,288,204,70.83
1,10,-10,0,0,0,15,2,any,True,219,158,72.15,208,146,70.19
1,10,-10,0,0,0,15,2,no_tail,False,113,82,72.57,112,80,71.43
1,10,-10,0,0,0,15,2,no_tail,True,67,50,74.63,76,57,75.0
1,10,-10,0,0,0,15,2,tail_1,False,95,63,66.32,91,64,70.33
1,10,-10,0,0,0,15,2,tail_1,True,70,46,65.71,67,45,67.16
1,10,-10,0,0,0,15,2,tail_2_3,False,104,75,72.12,85,60,70.59
1,10,-10,0,0,0,15,2,tail_2_3,True,82,62,75.61,65,44,67.69
1,10,-10,0,0,1,5,0,any,False,564,393,69.68,527,371,70.4
1,10,-10,0,0,1,5,0,any,True,432,307,71.06,421,299,71.02
1,10,-10,0,0,1,5,0,no_tail,False,147,104,70.75,145,105,72.41
1,10,-10,0,0,1,5,0,no_tail,True,93,66,70.97,107,81,75.7
1,10,-10,0,0,1,5,0,tail_1,False,133,89,66.92,123,87,70.73
1,10,-10,0,0,1,5,0,tail_1,True,104,70,67.31,95,67,70.53
