bar,time,text_time,direction,entry,length,start_order,prior50,prior24,current50,gap2450,penetration,recovery,tail,shape,early,won
30,63921366000,2026-08-02 15:00:00.616,1,7553.0,1,True,6.27118445266863,2.45144991633128,4.227994974656371,1.70898,1.928151,4.0,0.0,no_tail,True,True
32,63921366000,2026-08-02 15:00:00.660,1,7553.0,1,False,6.27118445266863,2.45144991633128,4.020821390109756,1.538422,2.013645,4.0,0.0,no_tail,True,True
34,63921366000,2026-08-02 15:00:00.756,1,7553.0,1,False,6.27118445266863,2.45144991633128,3.8295139944725376,1.387505,2.092565,4.0,0.0,no_tail,True,True
60,63921366002,2026-08-02 15:00:02.232,1,7555.5,2,True,26.978520894351256,33.08418986246898,4.716524745909339,4.122554,1.739373,3.0,1.0,tail_1,True,False
71,63921366053,2026-08-02 15:00:53.504,-1,7552.5,2,True,24.891740148318483,49.18514286618626,12.026499017645897,0.745594,-0.371412,3.0,1.0,tail_1,True,True
80,63921366063,2026-08-02 15:01:03.704,1,7555.0,2,False,17.81117319055877,36.011053819457715,11.617233792186035,0.249056,0.790397,1.0,3.0,tail_2_3,True,False
102,63921366145,2026-08-02 15:02:25.980,-1,7550.25,3,True,30.403899291851655,39.096527734954584,12.824491990509229,4.897975,0.25835,2.0,2.0,tail_2_3,True,True
110,63921366182,2026-08-02 15:03:02.564,-1,7550.75,1,False,15.402810552608353,9.402773858735227,-0.3201654834777373,2.845196,2.838576,4.0,0.0,no_tail,True,False
112,63921366189,2026-08-02 15:03:09.260,-1,7551.25,1,False,15.402810552608353,9.402773858735227,0.4827246189440621,2.348712,4.775633,2.0,2.0,tail_2_3,True,True
114,63921366202,2026-08-02 15:03:22.616,-1,7551.25,1,False,7.811081291547172,-5.580390794769155,-2.37267431921477,1.861472,4.642174,4.0,0.0,no_tail,True,True
116,63921366286,2026-08-02 15:04:46.108,-1,7551.25,1,False,0.4827246189440621,-11.656368627212062,-1.35406729340691,1.495231,4.556655,3.0,1.0,tail_1,True,True
119,63921366306,2026-08-02 15:05:06.124,-1,7551.25,1,False,5.328144919506596,3.7183093159860405,5.1203327257824,1.405777,4.825473,-1.0,5.0,tail_ge4,True,False
130,63921366367,2026-08-02 15:06:07.456,1,7552.5,1,False,13.417984543141154,28.498125230208064,6.843526510534784,0.102775,1.190081,2.0,2.0,tail_2_3,True,False
132,63921366380,2026-08-02 15:06:20.660,1,7552.5,1,True,13.417984543141154,28.498125230208064,7.089510200057541,0.30739,1.407683,2.0,2.0,tail_2_3,True,False
135,63921366472,2026-08-02 15:07:52.884,1,7552.0,2,True,7.089510200057541,14.531631496683172,0.5891326390638647,0.272401,3.438531,3.0,1.0,tail_1,True,True
138,63921366530,2026-08-02 15:08:50.664,1,7552.5,1,True,7.089510200057541,14.531631496683172,6.200749500195584,0.521276,1.764477,3.0,1.0,tail_1,True,True
144,63921366581,2026-08-02 15:09:41.120,1,7551.75,1,False,6.200749500195584,10.84678866066891,-0.44643967889714764,0.114668,4.503934,3.0,1.0,tail_1,True,True
174,63921367320,2026-08-02 15:22:00.816,1,7554.5,1,False,4.814696723281474,5.441878626814577,7.587962927107521,1.098955,0.546356,3.0,1.0,tail_1,True,True
