CandidateIndex,Tier
0,ONE_BAR_NO_TAIL
1,ONE_BAR_NO_TAIL
2,TWO_BAR_TAIL_2_3
3,ONE_BAR_NO_TAIL
4,ONE_BAR_NO_TAIL
5,ONE_BAR_STRICT_OTHER
6,ONE_BAR_STRICT_OTHER
7,THREE_BAR_CORE
8,ONE_BAR_TAIL_2_3
9,ONE_BAR_TAIL_2_3
10,ONE_BAR_TAIL_2_3
11,THREE_BAR_CORE
12,TWO_BAR_TAIL_2_3
13,TWO_BAR_TAIL_2_3
14,TWO_BAR_TAIL_2_3
15,THREE_BAR_CORE
16,ONE_BAR_NO_TAIL
17,ONE_BAR_STRICT_OTHER
18,ONE_BAR_NO_TAIL
19,ONE_BAR_NO_TAIL
20,ONE_BAR_NO_TAIL
21,ONE_BAR_STRICT_OTHER
22,ONE_BAR_NO_TAIL
23,TWO_BAR_TAIL_2_3
24,THREE_BAR_CORE
25,ONE_BAR_NO_TAIL
26,ONE_BAR_NO_TAIL
27,THREE_BAR_CORE
28,ONE_BAR_STRICT_OTHER
29,ONE_BAR_TAIL_2_3
30,THREE_BAR_CORE
31,TWO_BAR_TAIL_2_3
32,ONE_BAR_TAIL_2_3
33,ONE_BAR_STRICT_OTHER
34,THREE_BAR_CORE
35,ONE_BAR_TAIL_2_3
36,ONE_BAR_NO_TAIL
37,ONE_BAR_NO_TAIL
38,ONE_BAR_TAIL_2_3
39,ONE_BAR_TAIL_2_3
40,ONE_BAR_NO_TAIL
41,THREE_BAR_CORE
42,ONE_BAR_NO_TAIL
43,ONE_BAR_TAIL_2_3
44,ONE_BAR_NO_TAIL
45,ONE_BAR_NO_TAIL
46,THREE_BAR_CORE
47,ONE_BAR_TAIL_2_3
48,THREE_BAR_CORE
49,ONE_BAR_NO_TAIL
50,ONE_BAR_TAIL_2_3
51,ONE_BAR_NO_TAIL
52,ONE_BAR_TAIL_2_3
53,THREE_BAR_CORE
54,THREE_BAR_CORE
55,ONE_BAR_NO_TAIL
56,ONE_BAR_TAIL_2_3
57,ONE_BAR_TAIL_2_3
58,ONE_BAR_NO_TAIL
59,ONE_BAR_TAIL_2_3
60,ONE_BAR_NO_TAIL
61,TWO_BAR_TAIL_2_3
62,ONE_BAR_TAIL_2_3
63,THREE_BAR_CORE
64,ONE_BAR_NO_TAIL
65,ONE_BAR_NO_TAIL
66,THREE_BAR_CORE
67,THREE_BAR_CORE
68,ONE_BAR_NO_TAIL
69,ONE_BAR_NO_TAIL
70,ONE_BAR_TAIL_2_3
71,ONE_BAR_NO_TAIL
72,THREE_BAR_CORE
73,ONE_BAR_NO_TAIL
74,ONE_BAR_TAIL_2_3
75,THREE_BAR_CORE
76,ONE_BAR_TAIL_2_3
77,ONE_BAR_TAIL_2_3
78,ONE_BAR_TAIL_2_3
79,THREE_BAR_CORE
80,ONE_BAR_TAIL_2_3
81,TWO_BAR_TAIL_2_3
82,ONE_BAR_TAIL_2_3
83,THREE_BAR_CORE
84,ONE_BAR_TAIL_2_3
85,THREE_BAR_CORE
86,THREE_BAR_CORE
87,ONE_BAR_NO_TAIL
88,ONE_BAR_TAIL_2_3
89,ONE_BAR_NO_TAIL
90,THREE_BAR_CORE
91,ONE_BAR_NO_TAIL
92,THREE_BAR_CORE
93,ONE_BAR_NO_TAIL
94,THREE_BAR_CORE
95,THREE_BAR_CORE
96,ONE_BAR_NO_TAIL
97,ONE_BAR_NO_TAIL
98,ONE_BAR_TAIL_2_3
99,ONE_BAR_TAIL_2_3
100,ONE_BAR_NO_TAIL
101,ONE_BAR_NO_TAIL
102,ONE_BAR_NO_TAIL
103,THREE_BAR_CORE
104,ONE_BAR_STRICT_OTHER
105,ONE_BAR_NO_TAIL
106,ONE_BAR_NO_TAIL
107,TWO_BAR_TAIL_2_3
108,ONE_BAR_TAIL_2_3
109,ONE_BAR_STRICT_OTHER
110,ONE_BAR_TAIL_2_3
111,ONE_BAR_NO_TAIL
112,THREE_BAR_CORE
113,ONE_BAR_NO_TAIL
114,ONE_BAR_NO_TAIL
115,ONE_BAR_NO_TAIL
116,THREE_BAR_CORE
117,ONE_BAR_TAIL_2_3
118,TWO_BAR_TAIL_2_3
119,ONE_BAR_TAIL_2_3
120,THREE_BAR_CORE
121,ONE_BAR_NO_TAIL
122,THREE_BAR_CORE
123,ONE_BAR_NO_TAIL
124,ONE_BAR_STRICT_OTHER
125,ONE_BAR_NO_TAIL
126,THREE_BAR_CORE
127,ONE_BAR_TAIL_2_3
128,THREE_BAR_CORE
129,ONE_BAR_NO_TAIL
130,ONE_BAR_NO_TAIL
131,ONE_BAR_NO_TAIL
132,THREE_BAR_CORE
133,ONE_BAR_NO_TAIL
134,THREE_BAR_CORE
135,TWO_BAR_TAIL_2_3
136,ONE_BAR_NO_TAIL
137,ONE_BAR_NO_TAIL
138,TWO_BAR_TAIL_2_3
139,ONE_BAR_TAIL_2_3
140,TWO_BAR_TAIL_2_3
141,ONE_BAR_STRICT_OTHER
142,ONE_BAR_NO_TAIL
143,THREE_BAR_CORE
144,TWO_BAR_TAIL_2_3
145,ONE_BAR_NO_TAIL
146,ONE_BAR_STRICT_OTHER
147,ONE_BAR_TAIL_2_3
148,THREE_BAR_CORE
149,THREE_BAR_CORE
150,ONE_BAR_NO_TAIL
151,ONE_BAR_STRICT_OTHER
152,ONE_BAR_NO_TAIL
153,ONE_BAR_NO_TAIL
154,THREE_BAR_CORE
155,TWO_BAR_TAIL_2_3
156,THREE_BAR_CORE
157,ONE_BAR_STRICT_OTHER
158,TWO_BAR_TAIL_2_3
159,TWO_BAR_TAIL_2_3
160,TWO_BAR_TAIL_2_3
161,ONE_BAR_NO_TAIL
162,ONE_BAR_TAIL_2_3
163,THREE_BAR_CORE
164,THREE_BAR_CORE
165,ONE_BAR_TAIL_2_3
166,ONE_BAR_TAIL_2_3
167,THREE_BAR_CORE
168,ONE_BAR_TAIL_2_3
169,ONE_BAR_TAIL_2_3
170,ONE_BAR_TAIL_2_3
171,ONE_BAR_NO_TAIL
172,THREE_BAR_CORE
173,TWO_BAR_TAIL_2_3
174,ONE_BAR_TAIL_2_3
175,ONE_BAR_TAIL_2_3
176,THREE_BAR_CORE
177,ONE_BAR_TAIL_2_3
178,ONE_BAR_NO_TAIL
179,ONE_BAR_NO_TAIL
180,ONE_BAR_NO_TAIL
181,ONE_BAR_NO_TAIL
182,ONE_BAR_STRICT_OTHER
183,ONE_BAR_NO_TAIL
184,ONE_BAR_NO_TAIL
185,ONE_BAR_STRICT_OTHER
186,THREE_BAR_CORE
187,ONE_BAR_NO_TAIL
188,ONE_BAR_NO_TAIL
189,ONE_BAR_NO_TAIL
190,ONE_BAR_NO_TAIL
191,TWO_BAR_TAIL_2_3
192,ONE_BAR_TAIL_2_3
193,ONE_BAR_NO_TAIL
