BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
1957,2026-08-03 15:20:22.548,LONG,7634.250000,TARGET,TARGET,2026-08-03 15:34:48,7635.500000,3109,False
1972,2026-08-03 16:32:53.168,LONG,7635.250000,STOP,STOP,2026-08-03 16:38:57,7632.750000,1796,False
2009,2026-08-03 17:27:18.640,SHORT,7632.750000,TARGET,TARGET,2026-08-03 17:27:46,7631.500000,585,False
2048,2026-08-03 18:06:21.264,SHORT,7631.000000,TARGET,TARGET,2026-08-03 18:06:56,7629.750000,883,False
2071,2026-08-03 18:40:49.756,LONG,7637.250000,TARGET,TARGET,2026-08-03 18:41:30,7638.500000,1425,False
2144,2026-08-03 21:07:37.608,LONG,7644.000000,TARGET,TARGET,2026-08-03 21:19:26,7645.250000,10709,False
2169,2026-08-03 22:41:11.460,LONG,7647.250000,TARGET,TARGET,2026-08-03 23:06:48,7648.500000,18948,False
2179,2026-08-03 23:22:00.924,LONG,7648.500000,STOP,STOP,2026-08-03 23:35:17,7646.000000,9258,False
2228,2026-08-04 01:05:25.608,SHORT,7643.500000,TARGET,TARGET,2026-08-04 01:10:05,7642.250000,8040,False
2627,2026-08-04 06:42:12.316,LONG,7671.500000,TARGET,TARGET,2026-08-04 06:43:05,7673.000000,3355,False
2672,2026-08-04 06:52:25.972,LONG,7681.750000,TARGET,TARGET,2026-08-04 06:53:40,7683.000000,6692,False
2760,2026-08-04 07:16:44.524,LONG,7701.000000,TARGET,TARGET,2026-08-04 07:17:20,7702.250000,4342,False
2897,2026-08-04 07:45:16.056,LONG,7709.250000,TARGET,TARGET,2026-08-04 07:48:03,7710.500000,17509,False
2901,2026-08-04 07:47:35.392,LONG,7709.250000,TARGET,TARGET,2026-08-04 07:48:03,7710.500000,3289,False
2965,2026-08-04 08:15:16.900,LONG,7722.500000,TARGET,TARGET,2026-08-04 08:15:41,7723.750000,1970,False
3023,2026-08-04 08:41:01.868,LONG,7731.000000,TARGET,TARGET,2026-08-04 08:41:08,7732.500000,513,False
3057,2026-08-04 09:00:04.096,LONG,7737.250000,TARGET,TARGET,2026-08-04 09:00:50,7738.500000,4172,False
3098,2026-08-04 09:25:49.212,LONG,7743.750000,TARGET,TARGET,2026-08-04 09:26:04,7745.000000,561,False
3183,2026-08-04 10:19:22.564,LONG,7766.750000,STOP,STOP,2026-08-04 10:20:48,7764.250000,4931,False
3284,2026-08-04 11:01:08.712,SHORT,7765.750000,STOP,STOP,2026-08-04 11:01:35,7768.250000,4104,False
3329,2026-08-04 11:10:58.540,LONG,7771.500000,NONE,TARGET,2026-08-04 11:14:19,7772.750000,16887,True
3347,2026-08-04 11:17:06.472,LONG,7774.250000,TARGET,TARGET,2026-08-04 11:20:58,7775.500000,16699,False
3442,2026-08-04 12:00:26.588,LONG,7774.000000,TARGET,TARGET,2026-08-04 12:00:33,7775.250000,541,False
3472,2026-08-04 12:16:19.744,LONG,7781.000000,TARGET,TARGET,2026-08-04 12:16:31,7782.250000,527,False
3476,2026-08-04 12:19:58.108,LONG,7781.750000,TARGET,TARGET,2026-08-04 12:20:57,7783.000000,2185,False
3536,2026-08-04 12:45:43.596,LONG,7783.750000,TARGET,TARGET,2026-08-04 12:46:02,7785.000000,937,False
3816,2026-08-04 13:45:33.624,LONG,7771.500000,TARGET,TARGET,2026-08-04 13:46:54,7772.750000,2228,False
3825,2026-08-04 13:49:50.824,LONG,7773.750000,STOP,STOP,2026-08-04 13:51:08,7771.250000,1638,False
3961,2026-08-04 17:26:21.544,LONG,7782.750000,TARGET,TARGET,2026-08-04 17:30:03,7784.000000,3808,False
3990,2026-08-04 18:01:15.456,LONG,7783.000000,STOP,STOP,2026-08-04 18:02:47,7780.500000,2511,False
4029,2026-08-04 19:01:13.728,LONG,7786.500000,STOP,STOP,2026-08-04 19:04:58,7784.000000,5550,False
4078,2026-08-04 21:12:32.684,LONG,7792.000000,STOP,STOP,2026-08-04 21:19:07,7789.500000,4368,False
4098,2026-08-04 22:33:26.532,LONG,7794.750000,TARGET,TARGET,2026-08-04 22:44:43,7796.000000,7183,False
4107,2026-08-04 23:07:14.752,LONG,7798.250000,TARGET,TARGET,2026-08-04 23:11:05,7799.500000,1567,False
4386,2026-08-05 05:23:27.484,LONG,7802.500000,TARGET,TARGET,2026-08-05 05:23:57,7803.750000,435,False
4437,2026-08-05 06:11:31.988,LONG,7807.500000,STOP,STOP,2026-08-05 06:15:10,7805.000000,5380,False
4460,2026-08-05 06:29:22.144,LONG,7808.750000,TARGET,TARGET,2026-08-05 06:30:00,7810.000000,3427,False
4507,2026-08-05 06:32:55.532,SHORT,7806.750000,STOP,STOP,2026-08-05 06:33:04,7809.250000,3450,False
4637,2026-08-05 06:45:08.552,LONG,7816.750000,STOP,STOP,2026-08-05 06:45:15,7814.250000,1102,False
4781,2026-08-05 06:55:47.692,LONG,7808.750000,STOP,STOP,2026-08-05 06:56:24,7806.250000,10493,False
4813,2026-08-05 06:59:47.624,LONG,7816.750000,TARGET,TARGET,2026-08-05 06:59:50,7818.000000,238,False
4850,2026-08-05 07:01:22.552,SHORT,7810.750000,TARGET,TARGET,2026-08-05 07:01:28,7809.500000,1687,False
4856,2026-08-05 07:01:46.872,SHORT,7808.000000,TARGET,TARGET,2026-08-05 07:02:02,7806.750000,3804,False
4938,2026-08-05 07:08:44.312,LONG,7812.750000,TARGET,TARGET,2026-08-05 07:09:16,7814.000000,9460,False
