Prior8Min,Prior24Min,Gap824Min,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
20,10,1.5,0,4.5,-999,376,268,71.28,435,308,70.8
20,10,1.5,0,4.5,0,356,253,71.07,414,291,70.29
20,10,1.5,0,4.5,15,303,216,71.29,339,238,70.21
20,10,1.5,0.5,4.5,-999,358,256,71.51,423,299,70.69
20,10,1.5,0.5,4.5,0,338,241,71.3,402,282,70.15
20,10,1.5,0.5,4.5,15,285,204,71.58,327,229,70.03
20,10,1.5,1,4.5,-999,335,240,71.64,393,281,71.5
20,10,1.5,1,4.5,0,315,225,71.43,372,264,70.97
20,10,1.5,1,4.5,15,262,188,71.76,297,211,71.04
20,10,1.5,1,2.5,-999,145,109,75.17,145,102,70.34
20,10,1.5,1,2.5,0,145,109,75.17,145,102,70.34
20,10,1.5,1,2.5,15,145,109,75.17,145,102,70.34
20,10,3,0,4.5,-999,321,230,71.65,366,257,70.22
20,10,3,0,4.5,0,309,220,71.2,350,243,69.43
20,10,3,0,4.5,15,273,195,71.43,300,208,69.33
20,10,3,0.5,4.5,-999,303,218,71.95,354,248,70.06
20,10,3,0.5,4.5,0,291,208,71.48,338,234,69.23
20,10,3,0.5,4.5,15,255,183,71.76,288,199,69.1
20,10,3,1,4.5,-999,280,202,72.14,327,232,70.95
20,10,3,1,4.5,0,268,192,71.64,311,218,70.1
20,10,3,1,4.5,15,232,167,71.98,261,183,70.11
20,10,3,1,2.5,-999,130,99,76.15,136,93,68.38
20,10,3,1,2.5,0,130,99,76.15,136,93,68.38
20,10,3,1,2.5,15,130,99,76.15,136,93,68.38
20,10,4,0,4.5,-999,270,192,71.11,301,213,70.76
20,10,4,0,4.5,0,264,186,70.45,294,207,70.41
20,10,4,0,4.5,15,240,169,70.42,263,185,70.34
20,10,4,0.5,4.5,-999,252,180,71.43,290,205,70.69
20,10,4,0.5,4.5,0,246,174,70.73,283,199,70.32
20,10,4,0.5,4.5,15,222,157,70.72,252,177,70.24
20,10,4,1,4.5,-999,229,164,71.62,264,189,71.59
20,10,4,1,4.5,0,223,158,70.85,257,183,71.21
20,10,4,1,4.5,15,199,141,70.85,226,161,71.24
20,10,4,1,2.5,-999,115,88,76.52,123,86,69.92
20,10,4,1,2.5,0,115,88,76.52,123,86,69.92
20,10,4,1,2.5,15,115,88,76.52,123,86,69.92
20,10,5,0,4.5,-999,216,156,72.22,255,181,70.98
20,10,5,0,4.5,0,214,154,71.96,251,178,70.92
20,10,5,0,4.5,15,196,143,72.96,230,162,70.43
20,10,5,0.5,4.5,-999,199,144,72.36,244,173,70.9
20,10,5,0.5,4.5,0,197,142,72.08,240,170,70.83
20,10,5,0.5,4.5,15,179,131,73.18,219,154,70.32
20,10,5,1,4.5,-999,176,128,72.73,220,159,72.27
20,10,5,1,4.5,0,174,126,72.41,216,156,72.22
20,10,5,1,4.5,15,156,115,73.72,195,140,71.79
20,10,5,1,2.5,-999,89,71,79.78,108,79,73.15
20,10,5,1,2.5,0,89,71,79.78,108,79,73.15
20,10,5,1,2.5,15,89,71,79.78,108,79,73.15
20,20,1.5,0,4.5,-999,372,265,71.24,430,305,70.93
20,20,1.5,0,4.5,0,353,250,70.82,411,290,70.56
20,20,1.5,0,4.5,15,302,215,71.19,337,237,70.33
20,20,1.5,0.5,4.5,-999,354,253,71.47,418,296,70.81
20,20,1.5,0.5,4.5,0,335,238,71.04,399,281,70.43
20,20,1.5,0.5,4.5,15,284,203,71.48,325,228,70.15
20,20,1.5,1,4.5,-999,331,237,71.6,388,278,71.65
20,20,1.5,1,4.5,0,312,222,71.15,369,263,71.27
20,20,1.5,1,4.5,15,261,187,71.65,295,210,71.19
20,20,1.5,1,2.5,-999,144,108,75.0,145,102,70.34
20,20,1.5,1,2.5,0,144,108,75.0,145,102,70.34
20,20,1.5,1,2.5,15,144,108,75.0,145,102,70.34
20,20,3,0,4.5,-999,321,230,71.65,366,257,70.22
20,20,3,0,4.5,0,309,220,71.2,350,243,69.43
20,20,3,0,4.5,15,273,195,71.43,300,208,69.33
20,20,3,0.5,4.5,-999,303,218,71.95,354,248,70.06
20,20,3,0.5,4.5,0,291,208,71.48,338,234,69.23
20,20,3,0.5,4.5,15,255,183,71.76,288,199,69.1
20,20,3,1,4.5,-999,280,202,72.14,327,232,70.95
20,20,3,1,4.5,0,268,192,71.64,311,218,70.1
20,20,3,1,4.5,15,232,167,71.98,261,183,70.11
20,20,3,1,2.5,-999,130,99,76.15,136,93,68.38
20,20,3,1,2.5,0,130,99,76.15,136,93,68.38
20,20,3,1,2.5,15,130,99,76.15,136,93,68.38
20,20,4,0,4.5,-999,270,192,71.11,301,213,70.76
20,20,4,0,4.5,0,264,186,70.45,294,207,70.41
20,20,4,0,4.5,15,240,169,70.42,263,185,70.34
20,20,4,0.5,4.5,-999,252,180,71.43,290,205,70.69
20,20,4,0.5,4.5,0,246,174,70.73,283,199,70.32
20,20,4,0.5,4.5,15,222,157,70.72,252,177,70.24
20,20,4,1,4.5,-999,229,164,71.62,264,189,71.59
20,20,4,1,4.5,0,223,158,70.85,257,183,71.21
20,20,4,1,4.5,15,199,141,70.85,226,161,71.24
20,20,4,1,2.5,-999,115,88,76.52,123,86,69.92
20,20,4,1,2.5,0,115,88,76.52,123,86,69.92
20,20,4,1,2.5,15,115,88,76.52,123,86,69.92
20,20,5,0,4.5,-999,216,156,72.22,255,181,70.98
20,20,5,0,4.5,0,214,154,71.96,251,178,70.92
20,20,5,0,4.5,15,196,143,72.96,230,162,70.43
20,20,5,0.5,4.5,-999,199,144,72.36,244,173,70.9
20,20,5,0.5,4.5,0,197,142,72.08,240,170,70.83
20,20,5,0.5,4.5,15,179,131,73.18,219,154,70.32
20,20,5,1,4.5,-999,176,128,72.73,220,159,72.27
20,20,5,1,4.5,0,174,126,72.41,216,156,72.22
20,20,5,1,4.5,15,156,115,73.72,195,140,71.79
20,20,5,1,2.5,-999,89,71,79.78,108,79,73.15
20,20,5,1,2.5,0,89,71,79.78,108,79,73.15
20,20,5,1,2.5,15,89,71,79.78,108,79,73.15
20,30,1.5,0,4.5,-999,333,239,71.77,387,274,70.8
20,30,1.5,0,4.5,0,321,228,71.03,369,260,70.46
20,30,1.5,0,4.5,15,282,201,71.28,314,221,70.38
20,30,1.5,0.5,4.5,-999,315,227,72.06,375,265,70.67
20,30,1.5,0.5,4.5,0,303,216,71.29,357,251,70.31
20,30,1.5,0.5,4.5,15,264,189,71.59,302,212,70.2
20,30,1.5,1,4.5,-999,292,211,72.26,346,247,71.39
20,30,1.5,1,4.5,0,280,200,71.43,328,233,71.04
20,30,1.5,1,4.5,15,241,173,71.78,273,194,71.06
20,30,1.5,1,2.5,-999,132,100,75.76,138,96,69.57
20,30,1.5,1,2.5,0,132,100,75.76,138,96,69.57
20,30,1.5,1,2.5,15,132,100,75.76,138,96,69.57
20,30,3,0,4.5,-999,316,228,72.15,361,253,70.08
20,30,3,0,4.5,0,305,218,71.48,345,239,69.28
20,30,3,0,4.5,15,271,194,71.59,297,206,69.36
20,30,3,0.5,4.5,-999,298,216,72.48,349,244,69.91
20,30,3,0.5,4.5,0,287,206,71.78,333,230,69.07
20,30,3,0.5,4.5,15,253,182,71.94,285,197,69.12
20,30,3,1,4.5,-999,275,200,72.73,322,228,70.81
20,30,3,1,4.5,0,264,190,71.97,306,214,69.93
20,30,3,1,4.5,15,230,166,72.17,258,181,70.16
20,30,3,1,2.5,-999,130,99,76.15,134,92,68.66
20,30,3,1,2.5,0,130,99,76.15,134,92,68.66
20,30,3,1,2.5,15,130,99,76.15,134,92,68.66
20,30,4,0,4.5,-999,270,192,71.11,301,213,70.76
20,30,4,0,4.5,0,264,186,70.45,294,207,70.41
20,30,4,0,4.5,15,240,169,70.42,263,185,70.34
20,30,4,0.5,4.5,-999,252,180,71.43,290,205,70.69
20,30,4,0.5,4.5,0,246,174,70.73,283,199,70.32
20,30,4,0.5,4.5,15,222,157,70.72,252,177,70.24
20,30,4,1,4.5,-999,229,164,71.62,264,189,71.59
20,30,4,1,4.5,0,223,158,70.85,257,183,71.21
20,30,4,1,4.5,15,199,141,70.85,226,161,71.24
20,30,4,1,2.5,-999,115,88,76.52,123,86,69.92
20,30,4,1,2.5,0,115,88,76.52,123,86,69.92
20,30,4,1,2.5,15,115,88,76.52,123,86,69.92
20,30,5,0,4.5,-999,216,156,72.22,255,181,70.98
20,30,5,0,4.5,0,214,154,71.96,251,178,70.92
20,30,5,0,4.5,15,196,143,72.96,230,162,70.43
20,30,5,0.5,4.5,-999,199,144,72.36,244,173,70.9
20,30,5,0.5,4.5,0,197,142,72.08,240,170,70.83
20,30,5,0.5,4.5,15,179,131,73.18,219,154,70.32
20,30,5,1,4.5,-999,176,128,72.73,220,159,72.27
20,30,5,1,4.5,0,174,126,72.41,216,156,72.22
20,30,5,1,4.5,15,156,115,73.72,195,140,71.79
20,30,5,1,2.5,-999,89,71,79.78,108,79,73.15
20,30,5,1,2.5,0,89,71,79.78,108,79,73.15
