BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
2273,2026-08-04 02:16:13.028,SHORT,7633.250000,TARGET,TARGET,2026-08-04 02:17:06,7632.000000,1109,False
2277,2026-08-04 02:22:04.056,SHORT,7632.750000,STOP,STOP,2026-08-04 02:30:20,7635.250000,6564,False
2338,2026-08-04 03:45:07.924,LONG,7644.250000,TARGET,TARGET,2026-08-04 03:45:10,7645.500000,466,False
2353,2026-08-04 03:47:50.904,LONG,7647.000000,STOP,STOP,2026-08-04 03:50:02,7644.500000,6758,False
2399,2026-08-04 04:36:01.536,LONG,7648.000000,STOP,STOP,2026-08-04 04:40:37,7645.500000,5136,False
2532,2026-08-04 06:20:56.544,LONG,7662.750000,TARGET,STOP,2026-08-04 06:21:51,7658.500000,1800,False
2581,2026-08-04 06:30:59.256,LONG,7665.000000,TARGET,TARGET,2026-08-04 06:31:32,7666.250000,10212,False
2711,2026-08-04 07:01:15.116,LONG,7687.250000,TARGET,TARGET,2026-08-04 07:01:25,7688.500000,1931,False
2743,2026-08-04 07:08:25.252,LONG,7696.250000,TARGET,TARGET,2026-08-04 07:08:46,7697.500000,1994,False
2771,2026-08-04 07:19:46.872,LONG,7704.750000,STOP,STOP,2026-08-04 07:20:09,7702.250000,2844,False
2904,2026-08-04 07:48:15.420,LONG,7709.750000,TARGET,TARGET,2026-08-04 07:49:01,7711.000000,3844,False
2926,2026-08-04 07:58:03.960,LONG,7713.250000,TARGET,TARGET,2026-08-04 07:58:18,7714.500000,1282,False
3136,2026-08-04 09:53:48.332,LONG,7754.500000,TARGET,TARGET,2026-08-04 09:54:03,7755.750000,679,False
3166,2026-08-04 10:10:22.812,LONG,7763.750000,TARGET,TARGET,2026-08-04 10:12:55,7765.000000,7495,False
3417,2026-08-04 11:50:12.044,LONG,7773.750000,TARGET,TARGET,2026-08-04 11:50:58,7775.000000,1990,False
3420,2026-08-04 11:51:53.460,LONG,7774.500000,STOP,STOP,2026-08-04 11:54:26,7772.000000,10253,False
3524,2026-08-04 12:40:15.916,LONG,7780.250000,TARGET,TARGET,2026-08-04 12:41:03,7781.500000,1862,False
3530,2026-08-04 12:43:46.932,LONG,7781.250000,TARGET,TARGET,2026-08-04 12:43:50,7782.500000,216,False
3565,2026-08-04 12:51:50.464,SHORT,7775.250000,TARGET,TARGET,2026-08-04 12:52:22,7774.000000,4104,False
3660,2026-08-04 13:02:33.988,LONG,7773.250000,TARGET,TARGET,2026-08-04 13:02:44,7774.500000,558,False
3710,2026-08-04 13:15:07.048,SHORT,7766.750000,STOP,STOP,2026-08-04 13:15:19,7769.250000,1473,False
