PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
1,0,10,1.5,0,4.5,-999,628,443,70.54,625,437,69.92
1,0,10,1.5,0,4.5,0,617,437,70.83,621,436,70.21
1,0,10,1.5,0,4.5,15,568,404,71.13,575,410,71.3
1,0,10,1.5,0.5,4.5,-999,596,421,70.64,585,408,69.74
1,0,10,1.5,0.5,4.5,0,585,415,70.94,581,407,70.05
1,0,10,1.5,0.5,4.5,15,536,382,71.27,535,381,71.21
1,0,10,1.5,1,4.5,-999,538,380,70.63,528,372,70.45
1,0,10,1.5,1,4.5,0,527,374,70.97,524,371,70.8
1,0,10,1.5,1,4.5,15,478,341,71.34,478,345,72.18
1,0,10,1.5,1,2.5,-999,213,146,68.54,205,144,70.24
1,0,10,1.5,1,2.5,0,213,146,68.54,205,144,70.24
1,0,10,1.5,1,2.5,15,213,146,68.54,205,144,70.24
1,0,10,3,0,4.5,-999,518,363,70.08,517,359,69.44
1,0,10,3,0,4.5,0,513,361,70.37,515,359,69.71
1,0,10,3,0,4.5,15,479,339,70.77,482,341,70.75
1,0,10,3,0.5,4.5,-999,487,342,70.23,477,330,69.18
1,0,10,3,0.5,4.5,0,482,340,70.54,475,330,69.47
1,0,10,3,0.5,4.5,15,448,318,70.98,442,312,70.59
1,0,10,3,1,4.5,-999,431,302,70.07,424,296,69.81
1,0,10,3,1,4.5,0,426,300,70.42,422,296,70.14
1,0,10,3,1,4.5,15,392,278,70.92,389,278,71.47
1,0,10,3,1,2.5,-999,185,127,68.65,179,128,71.51
1,0,10,3,1,2.5,0,185,127,68.65,179,128,71.51
1,0,10,3,1,2.5,15,185,127,68.65,179,128,71.51
1,0,10,5,0,4.5,-999,349,250,71.63,326,233,71.47
1,0,10,5,0,4.5,0,347,248,71.47,325,233,71.69
1,0,10,5,0,4.5,15,329,238,72.34,310,225,72.58
1,0,10,5,0.5,4.5,-999,320,230,71.88,293,208,70.99
1,0,10,5,0.5,4.5,0,318,228,71.7,292,208,71.23
1,0,10,5,0.5,4.5,15,300,218,72.67,277,200,72.2
1,0,10,5,1,4.5,-999,275,198,72.0,253,181,71.54
1,0,10,5,1,4.5,0,273,196,71.79,252,181,71.83
1,0,10,5,1,4.5,15,255,186,72.94,237,173,73.0
1,0,10,5,1,2.5,-999,135,93,68.89,125,88,70.4
1,0,10,5,1,2.5,0,135,93,68.89,125,88,70.4
1,0,10,5,1,2.5,15,135,93,68.89,125,88,70.4
1,0,20,1.5,0,4.5,-999,601,424,70.55,592,414,69.93
1,0,20,1.5,0,4.5,0,591,418,70.73,588,413,70.24
1,0,20,1.5,0,4.5,15,544,386,70.96,546,390,71.43
1,0,20,1.5,0.5,4.5,-999,569,402,70.65,552,385,69.75
1,0,20,1.5,0.5,4.5,0,559,396,70.84,548,384,70.07
1,0,20,1.5,0.5,4.5,15,512,364,71.09,506,361,71.34
1,0,20,1.5,1,4.5,-999,511,361,70.65,495,349,70.51
1,0,20,1.5,1,4.5,0,501,355,70.86,491,348,70.88
1,0,20,1.5,1,4.5,15,454,323,71.15,449,325,72.38
1,0,20,1.5,1,2.5,-999,210,144,68.57,200,140,70.0
1,0,20,1.5,1,2.5,0,210,144,68.57,200,140,70.0
1,0,20,1.5,1,2.5,15,210,144,68.57,200,140,70.0
1,0,20,3,0,4.5,-999,518,363,70.08,516,359,69.57
1,0,20,3,0,4.5,0,513,361,70.37,514,359,69.84
1,0,20,3,0,4.5,15,479,339,70.77,481,341,70.89
1,0,20,3,0.5,4.5,-999,487,342,70.23,476,330,69.33
1,0,20,3,0.5,4.5,0,482,340,70.54,474,330,69.62
1,0,20,3,0.5,4.5,15,448,318,70.98,441,312,70.75
1,0,20,3,1,4.5,-999,431,302,70.07,423,296,69.98
1,0,20,3,1,4.5,0,426,300,70.42,421,296,70.31
1,0,20,3,1,4.5,15,392,278,70.92,388,278,71.65
1,0,20,3,1,2.5,-999,185,127,68.65,179,128,71.51
1,0,20,3,1,2.5,0,185,127,68.65,179,128,71.51
1,0,20,3,1,2.5,15,185,127,68.65,179,128,71.51
1,0,20,5,0,4.5,-999,349,250,71.63,326,233,71.47
1,0,20,5,0,4.5,0,347,248,71.47,325,233,71.69
1,0,20,5,0,4.5,15,329,238,72.34,310,225,72.58
1,0,20,5,0.5,4.5,-999,320,230,71.88,293,208,70.99
1,0,20,5,0.5,4.5,0,318,228,71.7,292,208,71.23
1,0,20,5,0.5,4.5,15,300,218,72.67,277,200,72.2
1,0,20,5,1,4.5,-999,275,198,72.0,253,181,71.54
1,0,20,5,1,4.5,0,273,196,71.79,252,181,71.83
1,0,20,5,1,4.5,15,255,186,72.94,237,173,73.0
1,0,20,5,1,2.5,-999,135,93,68.89,125,88,70.4
1,0,20,5,1,2.5,0,135,93,68.89,125,88,70.4
1,0,20,5,1,2.5,15,135,93,68.89,125,88,70.4
1,0,30,1.5,0,4.5,-999,520,366,70.38,502,349,69.52
1,0,30,1.5,0,4.5,0,511,361,70.65,498,348,69.88
1,0,30,1.5,0,4.5,15,471,335,71.13,464,329,70.91
1,0,30,1.5,0.5,4.5,-999,488,344,70.49,462,320,69.26
1,0,30,1.5,0.5,4.5,0,479,339,70.77,458,319,69.65
1,0,30,1.5,0.5,4.5,15,439,313,71.3,424,300,70.75
1,0,30,1.5,1,4.5,-999,432,304,70.37,408,285,69.85
1,0,30,1.5,1,4.5,0,423,299,70.69,404,284,70.3
1,0,30,1.5,1,4.5,15,383,273,71.28,370,265,71.62
1,0,30,1.5,1,2.5,-999,185,126,68.11,175,124,70.86
1,0,30,1.5,1,2.5,0,185,126,68.11,175,124,70.86
1,0,30,1.5,1,2.5,15,185,126,68.11,175,124,70.86
1,0,30,3,0,4.5,-999,495,347,70.1,480,331,68.96
1,0,30,3,0,4.5,0,490,345,70.41,478,331,69.25
1,0,30,3,0,4.5,15,458,324,70.74,449,315,70.16
1,0,30,3,0.5,4.5,-999,464,326,70.26,440,302,68.64
1,0,30,3,0.5,4.5,0,459,324,70.59,438,302,68.95
1,0,30,3,0.5,4.5,15,427,303,70.96,409,286,69.93
1,0,30,3,1,4.5,-999,408,286,70.1,387,268,69.25
1,0,30,3,1,4.5,0,403,284,70.47,385,268,69.61
1,0,30,3,1,4.5,15,371,263,70.89,356,252,70.79
1,0,30,3,1,2.5,-999,179,121,67.6,170,120,70.59
1,0,30,3,1,2.5,0,179,121,67.6,170,120,70.59
1,0,30,3,1,2.5,15,179,121,67.6,170,120,70.59
1,0,30,5,0,4.5,-999,349,250,71.63,326,233,71.47
1,0,30,5,0,4.5,0,347,248,71.47,325,233,71.69
1,0,30,5,0,4.5,15,329,238,72.34,310,225,72.58
1,0,30,5,0.5,4.5,-999,320,230,71.88,293,208,70.99
1,0,30,5,0.5,4.5,0,318,228,71.7,292,208,71.23
1,0,30,5,0.5,4.5,15,300,218,72.67,277,200,72.2
1,0,30,5,1,4.5,-999,275,198,72.0,253,181,71.54
1,0,30,5,1,4.5,0,273,196,71.79,252,181,71.83
1,0,30,5,1,4.5,15,255,186,72.94,237,173,73.0
1,0,30,5,1,2.5,-999,135,93,68.89,125,88,70.4
1,0,30,5,1,2.5,0,135,93,68.89,125,88,70.4
1,0,30,5,1,2.5,15,135,93,68.89,125,88,70.4
1,0,39,1.5,0,4.5,-999,372,265,71.24,362,258,71.27
1,0,39,1.5,0,4.5,0,369,263,71.27,360,258,71.67
1,0,39,1.5,0,4.5,15,343,248,72.3,338,244,72.19
1,0,39,1.5,0.5,4.5,-999,342,244,71.35,328,232,70.73
1,0,39,1.5,0.5,4.5,0,339,242,71.39,326,232,71.17
1,0,39,1.5,0.5,4.5,15,313,227,72.52,304,218,71.71
1,0,39,1.5,1,4.5,-999,296,211,71.28,288,205,71.18
1,0,39,1.5,1,4.5,0,293,209,71.33,286,205,71.68
1,0,39,1.5,1,4.5,15,267,194,72.66,264,191,72.35
1,0,39,1.5,1,2.5,-999,130,91,70.0,135,95,70.37
1,0,39,1.5,1,2.5,0,130,91,70.0,135,95,70.37
1,0,39,1.5,1,2.5,15,130,91,70.0,135,95,70.37
1,0,39,3,0,4.5,-999,370,264,71.35,360,256,71.11
1,0,39,3,0,4.5,0,367,262,71.39,358,256,71.51
1,0,39,3,0,4.5,15,343,248,72.3,337,243,72.11
1,0,39,3,0.5,4.5,-999,340,243,71.47,326,230,70.55
1,0,39,3,0.5,4.5,0,337,241,71.51,324,230,70.99
1,0,39,3,0.5,4.5,15,313,227,72.52,303,217,71.62
1,0,39,3,1,4.5,-999,294,210,71.43,286,203,70.98
1,0,39,3,1,4.5,0,291,208,71.48,284,203,71.48
1,0,39,3,1,4.5,15,267,194,72.66,263,190,72.24
1,0,39,3,1,2.5,-999,130,91,70.0,135,95,70.37
1,0,39,3,1,2.5,0,130,91,70.0,135,95,70.37
1,0,39,3,1,2.5,15,130,91,70.0,135,95,70.37
1,0,39,5,0,4.5,-999,330,238,72.12,314,225,71.66
1,0,39,5,0,4.5,0,328,236,71.95,313,225,71.88
1,0,39,5,0,4.5,15,310,226,72.9,299,217,72.58
1,0,39,5,0.5,4.5,-999,301,218,72.43,281,200,71.17
1,0,39,5,0.5,4.5,0,299,216,72.24,280,200,71.43
1,0,39,5,0.5,4.5,15,281,206,73.31,266,192,72.18
1,0,39,5,1,4.5,-999,257,187,72.76,243,174,71.6
1,0,39,5,1,4.5,0,255,185,72.55,242,174,71.9
1,0,39,5,1,4.5,15,237,175,73.84,228,166,72.81
1,0,39,5,1,2.5,-999,125,87,69.6,123,87,70.73
1,0,39,5,1,2.5,0,125,87,69.6,123,87,70.73
1,0,39,5,1,2.5,15,125,87,69.6,123,87,70.73
1,20,10,1.5,0,4.5,-999,616,434,70.45,604,422,69.87
1,20,10,1.5,0,4.5,0,606,428,70.63,600,421,70.17
1,20,10,1.5,0,4.5,15,559,396,70.84,562,399,71.0
1,20,10,1.5,0.5,4.5,-999,584,412,70.55,564,393,69.68
1,20,10,1.5,0.5,4.5,0,574,406,70.73,560,392,70.0
1,20,10,1.5,0.5,4.5,15,527,374,70.97,522,370,70.88
1,20,10,1.5,1,4.5,-999,526,371,70.53,507,357,70.41
1,20,10,1.5,1,4.5,0,516,365,70.74,503,356,70.78
1,20,10,1.5,1,4.5,15,469,333,71.0,465,334,71.83
1,20,10,1.5,1,2.5,-999,213,146,68.54,205,144,70.24
1,20,10,1.5,1,2.5,0,213,146,68.54,205,144,70.24
1,20,10,1.5,1,2.5,15,213,146,68.54,205,144,70.24
1,20,10,3,0,4.5,-999,513,358,69.79,507,353,69.63
1,20,10,3,0,4.5,0,508,356,70.08,505,353,69.9
1,20,10,3,0,4.5,15,474,334,70.46,477,337,70.65
1,20,10,3,0.5,4.5,-999,482,337,69.92,467,324,69.38
1,20,10,3,0.5,4.5,0,477,335,70.23,465,324,69.68
1,20,10,3,0.5,4.5,15,443,313,70.65,437,308,70.48
1,20,10,3,1,4.5,-999,426,297,69.72,414,290,70.05
1,20,10,3,1,4.5,0,421,295,70.07,412,290,70.39
1,20,10,3,1,4.5,15,387,273,70.54,384,274,71.35
1,20,10,3,1,2.5,-999,185,127,68.65,179,128,71.51
1,20,10,3,1,2.5,0,185,127,68.65,179,128,71.51
1,20,10,3,1,2.5,15,185,127,68.65,179,128,71.51
1,20,10,5,0,4.5,-999,348,249,71.55,325,233,71.69
1,20,10,5,0,4.5,0,346,247,71.39,324,233,71.91
1,20,10,5,0,4.5,15,328,237,72.26,310,225,72.58
1,20,10,5,0.5,4.5,-999,319,229,71.79,292,208,71.23
1,20,10,5,0.5,4.5,0,317,227,71.61,291,208,71.48
1,20,10,5,0.5,4.5,15,299,217,72.58,277,200,72.2
1,20,10,5,1,4.5,-999,274,197,71.9,252,181,71.83
1,20,10,5,1,4.5,0,272,195,71.69,251,181,72.11
1,20,10,5,1,4.5,15,254,185,72.83,237,173,73.0
1,20,10,5,1,2.5,-999,135,93,68.89,125,88,70.4
1,20,10,5,1,2.5,0,135,93,68.89,125,88,70.4
1,20,10,5,1,2.5,15,135,93,68.89,125,88,70.4
1,20,20,1.5,0,4.5,-999,595,418,70.25,578,405,70.07
1,20,20,1.5,0,4.5,0,585,412,70.43,574,404,70.38
1,20,20,1.5,0,4.5,15,538,380,70.63,539,384,71.24
1,20,20,1.5,0.5,4.5,-999,563,396,70.34,538,376,69.89
1,20,20,1.5,0.5,4.5,0,553,390,70.52,534,375,70.22
1,20,20,1.5,0.5,4.5,15,506,358,70.75,499,355,71.14
1,20,20,1.5,1,4.5,-999,505,355,70.3,481,340,70.69
1,20,20,1.5,1,4.5,0,495,349,70.51,477,339,71.07
1,20,20,1.5,1,4.5,15,448,317,70.76,442,319,72.17
1,20,20,1.5,1,2.5,-999,210,144,68.57,200,140,70.0
1,20,20,1.5,1,2.5,0,210,144,68.57,200,140,70.0
1,20,20,1.5,1,2.5,15,210,144,68.57,200,140,70.0
1,20,20,3,0,4.5,-999,513,358,69.79,507,353,69.63
1,20,20,3,0,4.5,0,508,356,70.08,505,353,69.9
1,20,20,3,0,4.5,15,474,334,70.46,477,337,70.65
1,20,20,3,0.5,4.5,-999,482,337,69.92,467,324,69.38
1,20,20,3,0.5,4.5,0,477,335,70.23,465,324,69.68
1,20,20,3,0.5,4.5,15,443,313,70.65,437,308,70.48
1,20,20,3,1,4.5,-999,426,297,69.72,414,290,70.05
1,20,20,3,1,4.5,0,421,295,70.07,412,290,70.39
1,20,20,3,1,4.5,15,387,273,70.54,384,274,71.35
1,20,20,3,1,2.5,-999,185,127,68.65,179,128,71.51
1,20,20,3,1,2.5,0,185,127,68.65,179,128,71.51
1,20,20,3,1,2.5,15,185,127,68.65,179,128,71.51
1,20,20,5,0,4.5,-999,348,249,71.55,325,233,71.69
1,20,20,5,0,4.5,0,346,247,71.39,324,233,71.91
1,20,20,5,0,4.5,15,328,237,72.26,310,225,72.58
1,20,20,5,0.5,4.5,-999,319,229,71.79,292,208,71.23
