BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
2169,2026-08-03 22:41:11.460,LONG,7647.250000,TARGET,TARGET,2026-08-03 23:06:48,7648.500000,18948,False
2179,2026-08-03 23:22:00.924,LONG,7648.500000,STOP,STOP,2026-08-03 23:35:17,7646.000000,9258,False
2410,2026-08-04 04:43:43.064,LONG,7651.500000,TARGET,TARGET,2026-08-04 04:43:45,7652.750000,344,False
2667,2026-08-04 06:50:54.384,LONG,7680.500000,TARGET,TARGET,2026-08-04 06:51:18,7681.750000,3602,False
2672,2026-08-04 06:52:25.972,LONG,7681.750000,TARGET,TARGET,2026-08-04 06:53:40,7683.000000,6692,False
2720,2026-08-04 07:02:48.436,LONG,7691.750000,STOP,STOP,2026-08-04 07:03:26,7689.250000,6687,False
2760,2026-08-04 07:16:44.524,LONG,7701.000000,TARGET,TARGET,2026-08-04 07:17:20,7702.250000,4342,False
2897,2026-08-04 07:45:16.056,LONG,7709.250000,TARGET,TARGET,2026-08-04 07:48:03,7710.500000,17509,False
2965,2026-08-04 08:15:16.900,LONG,7722.500000,TARGET,TARGET,2026-08-04 08:15:41,7723.750000,1970,False
3023,2026-08-04 08:41:01.868,LONG,7731.000000,TARGET,TARGET,2026-08-04 08:41:08,7732.500000,513,False
3140,2026-08-04 09:57:07.120,LONG,7754.500000,TARGET,TARGET,2026-08-04 10:00:13,7755.750000,7123,False
3183,2026-08-04 10:19:22.564,LONG,7766.750000,STOP,STOP,2026-08-04 10:20:48,7764.250000,4931,False
3284,2026-08-04 11:01:08.712,SHORT,7765.750000,STOP,STOP,2026-08-04 11:01:35,7768.250000,4104,False
3347,2026-08-04 11:17:06.472,LONG,7774.250000,TARGET,TARGET,2026-08-04 11:20:58,7775.500000,16699,False
3536,2026-08-04 12:45:43.596,LONG,7783.750000,TARGET,TARGET,2026-08-04 12:46:02,7785.000000,937,False
3816,2026-08-04 13:45:33.624,LONG,7771.500000,TARGET,TARGET,2026-08-04 13:46:54,7772.750000,2228,False
3825,2026-08-04 13:49:50.824,LONG,7773.750000,STOP,STOP,2026-08-04 13:51:08,7771.250000,1638,False
3961,2026-08-04 17:26:21.544,LONG,7782.750000,TARGET,TARGET,2026-08-04 17:30:03,7784.000000,3808,False
4029,2026-08-04 19:01:13.728,LONG,7786.500000,STOP,STOP,2026-08-04 19:04:58,7784.000000,5550,False
4078,2026-08-04 21:12:32.684,LONG,7792.000000,STOP,STOP,2026-08-04 21:19:07,7789.500000,4368,False
4098,2026-08-04 22:33:26.532,LONG,7794.750000,TARGET,TARGET,2026-08-04 22:44:43,7796.000000,7183,False
4107,2026-08-04 23:07:14.752,LONG,7798.250000,TARGET,TARGET,2026-08-04 23:11:05,7799.500000,1567,False
4386,2026-08-05 05:23:27.484,LONG,7802.500000,TARGET,TARGET,2026-08-05 05:23:57,7803.750000,435,False
4437,2026-08-05 06:11:31.988,LONG,7807.500000,STOP,STOP,2026-08-05 06:15:10,7805.000000,5380,False
4460,2026-08-05 06:29:22.144,LONG,7808.750000,TARGET,TARGET,2026-08-05 06:30:00,7810.000000,3427,False
4507,2026-08-05 06:32:55.532,SHORT,7806.750000,STOP,STOP,2026-08-05 06:33:04,7809.250000,3450,False
4653,2026-08-05 06:47:05.600,SHORT,7806.500000,STOP,STOP,2026-08-05 06:47:18,7809.000000,3058,False
4813,2026-08-05 06:59:47.624,LONG,7816.750000,TARGET,TARGET,2026-08-05 06:59:50,7818.000000,238,False
4856,2026-08-05 07:01:46.872,SHORT,7808.000000,TARGET,TARGET,2026-08-05 07:02:02,7806.750000,3804,False
5034,2026-08-05 07:20:20.652,SHORT,7807.750000,TARGET,TARGET,2026-08-05 07:20:55,7806.500000,8420,False
5049,2026-08-05 07:22:10.876,SHORT,7806.000000,TARGET,TARGET,2026-08-05 07:22:12,7804.750000,560,False
5233,2026-08-05 07:41:44.200,SHORT,7789.750000,STOP,STOP,2026-08-05 07:41:50,7792.250000,1688,False
5323,2026-08-05 07:53:38.048,SHORT,7787.250000,TARGET,TARGET,2026-08-05 07:53:39,7786.000000,1,False
5392,2026-08-05 08:01:11.040,LONG,7789.000000,STOP,STOP,2026-08-05 08:01:34,7786.250000,5453,False
5496,2026-08-05 08:17:05.192,SHORT,7777.250000,TARGET,TARGET,2026-08-05 08:17:15,7776.000000,2148,False
6189,2026-08-05 10:42:14.680,LONG,7770.000000,STOP,STOP,2026-08-05 10:45:04,7767.500000,13502,False
6477,2026-08-05 12:59:26.424,SHORT,7758.250000,TARGET,TARGET,2026-08-05 12:59:30,7757.000000,747,False
6637,2026-08-05 15:45:55.068,LONG,7769.750000,TARGET,TARGET,2026-08-05 15:47:29,7771.000000,1061,False
6769,2026-08-05 18:30:34.612,SHORT,7750.250000,STOP,STOP,2026-08-05 18:31:00,7752.750000,1126,False
6834,2026-08-05 20:10:26.804,LONG,7766.000000,STOP,STOP,2026-08-05 20:17:44,7763.500000,6184,False
7020,2026-08-06 01:05:20.780,SHORT,7752.250000,STOP,STOP,2026-08-06 01:06:01,7754.750000,1054,False
7151,2026-08-06 04:05:38.980,SHORT,7754.250000,TARGET,TARGET,2026-08-06 04:06:09,7753.000000,1417,False
7282,2026-08-06 06:00:17.320,SHORT,7753.500000,TARGET,TARGET,2026-08-06 06:00:41,7752.250000,1297,False
7564,2026-08-06 06:49:54.528,LONG,7764.000000,TARGET,TARGET,2026-08-06 06:50:08,7765.250000,3795,False
7723,2026-08-06 07:10:43.428,LONG,7766.000000,TARGET,TARGET,2026-08-06 07:11:12,7767.250000,4874,False
7791,2026-08-06 07:26:31.688,SHORT,7755.250000,TARGET,TARGET,2026-08-06 07:26:32,7754.000000,1,False
7888,2026-08-06 07:39:18.220,SHORT,7750.750000,TARGET,TARGET,2026-08-06 07:39:29,7749.500000,3047,False
7989,2026-08-06 07:58:17.552,LONG,7759.000000,STOP,STOP,2026-08-06 07:59:10,7756.500000,8428,False
8000,2026-08-06 08:00:28.804,LONG,7760.750000,TARGET,TARGET,2026-08-06 08:00:31,7762.000000,483,False
8062,2026-08-06 08:17:05.776,SHORT,7749.500000,TARGET,TARGET,2026-08-06 08:17:22,7748.250000,2260,False
8167,2026-08-06 08:33:55.708,SHORT,7737.500000,TARGET,TARGET,2026-08-06 08:34:19,7736.250000,5262,False
8269,2026-08-06 08:54:00.120,SHORT,7735.500000,TARGET,TARGET,2026-08-06 08:54:24,7734.250000,7045,False
8669,2026-08-06 11:00:34.216,LONG,7735.750000,TARGET,TARGET,2026-08-06 11:00:45,7737.000000,1032,False
8680,2026-08-06 11:07:48.048,LONG,7738.250000,TARGET,TARGET,2026-08-06 11:07:56,7739.500000,466,False
8782,2026-08-06 12:06:33.832,LONG,7744.750000,TARGET,TARGET,2026-08-06 12:08:22,7746.000000,5907,False
8906,2026-08-06 12:54:39.372,LONG,7736.500000,STOP,STOP,2026-08-06 12:56:06,7734.000000,14004,False
8967,2026-08-06 13:06:43.480,LONG,7739.750000,TARGET,TARGET,2026-08-06 13:07:52,7741.000000,1583,False
9007,2026-08-06 13:45:38.820,SHORT,7730.250000,STOP,STOP,2026-08-06 13:56:37,7732.750000,7248,False
9057,2026-08-06 16:24:31.460,LONG,7739.250000,TARGET,TARGET,2026-08-06 16:47:43,7740.500000,12670,False
9109,2026-08-06 17:17:59.260,SHORT,7733.500000,TARGET,TARGET,2026-08-06 17:18:57,7732.250000,3217,False
9116,2026-08-06 17:22:03.296,SHORT,7731.000000,TARGET,TARGET,2026-08-06 17:22:12,7729.750000,596,False
9341,2026-08-06 22:11:00.512,LONG,7735.250000,STOP,STOP,2026-08-06 22:38:59,7732.750000,21651,False
9449,2026-08-07 02:32:24.732,LONG,7747.500000,TARGET,TARGET,2026-08-07 02:33:23,7748.750000,685,False
9555,2026-08-07 05:29:54.424,LONG,7756.250000,TARGET,TARGET,2026-08-07 05:29:58,7757.500000,80,False
9864,2026-08-07 06:07:08.020,SHORT,7768.750000,TARGET,TARGET,2026-08-07 06:07:11,7767.500000,279,False
9871,2026-08-07 06:10:11.804,SHORT,7764.750000,TARGET,TARGET,2026-08-07 06:11:16,7763.500000,4496,False
9989,2026-08-07 06:33:26.204,LONG,7761.750000,STOP,STOP,2026-08-07 06:33:34,7759.250000,2378,False
10092,2026-08-07 06:41:51.860,LONG,7762.750000,STOP,STOP,2026-08-07 06:41:55,7760.250000,1511,False
10122,2026-08-07 06:44:38.264,LONG,7766.250000,TARGET,TARGET,2026-08-07 06:44:49,7767.500000,2631,False
10196,2026-08-07 06:50:36.816,LONG,7766.000000,TARGET,TARGET,2026-08-07 06:50:44,7767.250000,2501,False
10497,2026-08-07 07:17:36.376,LONG,7757.500000,STOP,STOP,2026-08-07 07:18:01,7755.000000,8365,False
10525,2026-08-07 07:20:54.020,LONG,7765.500000,NONE,NONE,,,31282,False
10548,2026-08-07 07:24:15.416,LONG,7768.750000,TARGET,TARGET,2026-08-07 07:25:04,7770.000000,11815,False
10663,2026-08-07 07:40:06.464,SHORT,7766.000000,STOP,STOP,2026-08-07 07:40:16,7768.500000,4026,False
10887,2026-08-07 08:29:13.860,LONG,7785.250000,TARGET,TARGET,2026-08-07 08:30:04,7786.500000,5720,False
10965,2026-08-07 09:00:35.392,SHORT,7777.500000,TARGET,TARGET,2026-08-07 09:00:42,7776.250000,1532,False
10969,2026-08-07 09:02:31.736,SHORT,7777.000000,TARGET,TARGET,2026-08-07 09:03:25,7775.750000,5755,False
11526,2026-08-09 15:04:37.584,SHORT,7772.500000,TARGET,TARGET,2026-08-09 15:05:14,7771.250000,372,False
11704,2026-08-09 21:00:51.896,LONG,7784.250000,TARGET,TARGET,2026-08-09 21:09:39,7785.500000,4573,False
11727,2026-08-09 21:59:50.072,LONG,7787.250000,TARGET,TARGET,2026-08-09 22:03:32,7788.500000,2856,False
11842,2026-08-10 03:54:09.140,SHORT,7786.750000,TARGET,TARGET,2026-08-10 03:55:51,7785.500000,1161,False
11847,2026-08-10 04:00:26.148,SHORT,7785.250000,TARGET,TARGET,2026-08-10 04:00:42,7784.000000,457,False
12003,2026-08-10 06:32:57.288,LONG,7781.500000,TARGET,TARGET,2026-08-10 06:33:23,7782.750000,5107,False
12131,2026-08-10 06:50:49.288,LONG,7779.000000,STOP,STOP,2026-08-10 06:50:50,7776.250000,1,True
12463,2026-08-10 08:57:03.272,LONG,7788.500000,TARGET,TARGET,2026-08-10 08:57:54,7789.750000,2857,False
12651,2026-08-10 10:13:28.088,LONG,7777.000000,TARGET,TARGET,2026-08-10 10:15:07,7778.250000,4119,False
12927,2026-08-10 18:20:21.252,LONG,7784.000000,TARGET,TARGET,2026-08-10 18:22:37,7785.250000,2278,False
12931,2026-08-10 18:28:13.296,LONG,7785.000000,TARGET,TARGET,2026-08-10 18:49:27,7786.250000,21761,False
13001,2026-08-10 23:35:47.640,SHORT,7772.500000,STOP,STOP,2026-08-10 23:37:51,7775.000000,2646,False
13319,2026-08-11 06:31:41.036,SHORT,7783.000000,TARGET,TARGET,2026-08-11 06:31:46,7781.750000,1222,False
13336,2026-08-11 06:34:22.488,SHORT,7780.500000,TARGET,TARGET,2026-08-11 06:35:00,7779.250000,8534,False
13363,2026-08-11 06:39:05.664,SHORT,7776.500000,TARGET,TARGET,2026-08-11 06:39:16,7775.250000,2139,False
13413,2026-08-11 06:48:20.660,SHORT,7773.750000,TARGET,TARGET,2026-08-11 06:48:23,7772.500000,799,False
13417,2026-08-11 06:49:09.568,SHORT,7773.250000,STOP,STOP,2026-08-11 06:49:39,7775.750000,6759,False
13656,2026-08-11 08:20:25.396,SHORT,7769.750000,STOP,STOP,2026-08-11 08:21:20,7772.250000,6298,False
13684,2026-08-11 08:34:40.572,SHORT,7766.500000,TARGET,TARGET,2026-08-11 08:34:46,7765.250000,1248,False
13689,2026-08-11 08:35:31.164,SHORT,7765.500000,TARGET,TARGET,2026-08-11 08:37:41,7764.250000,14864,False
13797,2026-08-11 09:50:22.352,SHORT,7759.750000,TARGET,TARGET,2026-08-11 09:53:33,7758.500000,9836,False
13806,2026-08-11 10:00:18.500,SHORT,7756.750000,TARGET,TARGET,2026-08-11 10:00:40,7755.500000,1057,False
13825,2026-08-11 10:14:43.040,SHORT,7749.750000,TARGET,TARGET,2026-08-11 10:14:56,7748.500000,641,False
13829,2026-08-11 10:16:03.904,SHORT,7749.000000,STOP,STOP,2026-08-11 10:17:30,7751.500000,5853,False
