EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,no_tail,20,0,3,0,2.5,0,99,75,75.76,76,52,68.42
8,1,no_tail,20,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,0,3,0,4.5,0,139,101,72.66,109,75,68.81
8,1,no_tail,20,0,3,0,4.5,1,4,3,75.0,7,4,57.14
8,1,no_tail,20,0,3,0,6,0,139,101,72.66,109,75,68.81
8,1,no_tail,20,0,3,0,6,1,4,3,75.0,7,4,57.14
8,1,no_tail,20,0,3,1,2.5,0,59,45,76.27,50,34,68.0
8,1,no_tail,20,0,3,1,4.5,0,99,71,71.72,83,57,68.67
8,1,no_tail,20,0,3,1,4.5,1,2,1,50.0,7,4,57.14
8,1,no_tail,20,0,3,1,6,0,99,71,71.72,83,57,68.67
8,1,no_tail,20,0,3,1,6,1,2,1,50.0,7,4,57.14
8,1,no_tail,20,0,5,0,2.5,0,68,48,70.59,50,36,72.0
8,1,no_tail,20,0,5,0,4.5,0,87,61,70.11,68,49,72.06
8,1,no_tail,20,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,20,0,5,0,6,0,87,61,70.11,68,49,72.06
8,1,no_tail,20,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,20,0,5,1,2.5,0,40,28,70.0,32,22,68.75
8,1,no_tail,20,0,5,1,4.5,0,59,41,69.49,50,35,70.0
8,1,no_tail,20,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,20,0,5,1,6,0,59,41,69.49,50,35,70.0
8,1,no_tail,20,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,20,15,3,0,2.5,0,99,75,75.76,76,52,68.42
8,1,no_tail,20,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,15,3,0,4.5,0,113,84,74.34,88,61,69.32
8,1,no_tail,20,15,3,0,4.5,1,2,2,100.0,3,2,66.67
8,1,no_tail,20,15,3,0,6,0,113,84,74.34,88,61,69.32
8,1,no_tail,20,15,3,0,6,1,2,2,100.0,3,2,66.67
8,1,no_tail,20,15,3,1,2.5,0,59,45,76.27,50,34,68.0
8,1,no_tail,20,15,3,1,4.5,0,73,54,73.97,62,43,69.35
8,1,no_tail,20,15,3,1,6,0,73,54,73.97,62,43,69.35
8,1,no_tail,20,15,5,0,2.5,0,68,48,70.59,50,36,72.0
8,1,no_tail,20,15,5,0,4.5,0,75,52,69.33,56,40,71.43
8,1,no_tail,20,15,5,0,6,0,75,52,69.33,56,40,71.43
8,1,no_tail,20,15,5,1,2.5,0,40,28,70.0,32,22,68.75
8,1,no_tail,20,15,5,1,4.5,0,47,32,68.09,38,26,68.42
8,1,no_tail,20,15,5,1,6,0,47,32,68.09,38,26,68.42
8,1,no_tail,20,30,3,0,2.5,0,87,65,74.71,66,47,71.21
8,1,no_tail,20,30,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,0,4.5,0,87,65,74.71,66,47,71.21
8,1,no_tail,20,30,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,0,6,0,87,65,74.71,66,47,71.21
8,1,no_tail,20,30,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,30,3,1,2.5,0,47,35,74.47,40,29,72.5
8,1,no_tail,20,30,3,1,4.5,0,47,35,74.47,40,29,72.5
8,1,no_tail,20,30,3,1,6,0,47,35,74.47,40,29,72.5
8,1,no_tail,20,30,5,0,2.5,0,59,41,69.49,45,32,71.11
8,1,no_tail,20,30,5,0,4.5,0,59,41,69.49,45,32,71.11
8,1,no_tail,20,30,5,0,6,0,59,41,69.49,45,32,71.11
8,1,no_tail,20,30,5,1,2.5,0,31,21,67.74,27,18,66.67
8,1,no_tail,20,30,5,1,4.5,0,31,21,67.74,27,18,66.67
8,1,no_tail,20,30,5,1,6,0,31,21,67.74,27,18,66.67
8,1,no_tail,30,0,3,0,2.5,0,87,65,74.71,69,46,66.67
8,1,no_tail,30,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,0,3,0,4.5,0,125,90,72.0,100,67,67.0
8,1,no_tail,30,0,3,0,4.5,1,4,3,75.0,7,4,57.14
8,1,no_tail,30,0,3,0,6,0,125,90,72.0,100,67,67.0
8,1,no_tail,30,0,3,0,6,1,4,3,75.0,7,4,57.14
8,1,no_tail,30,0,3,1,2.5,0,53,40,75.47,44,28,63.64
8,1,no_tail,30,0,3,1,4.5,0,91,65,71.43,75,49,65.33
8,1,no_tail,30,0,3,1,4.5,1,2,1,50.0,7,4,57.14
8,1,no_tail,30,0,3,1,6,0,91,65,71.43,75,49,65.33
8,1,no_tail,30,0,3,1,6,1,2,1,50.0,7,4,57.14
8,1,no_tail,30,0,5,0,2.5,0,68,48,70.59,50,36,72.0
8,1,no_tail,30,0,5,0,4.5,0,87,61,70.11,68,49,72.06
8,1,no_tail,30,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,30,0,5,0,6,0,87,61,70.11,68,49,72.06
8,1,no_tail,30,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,30,0,5,1,2.5,0,40,28,70.0,32,22,68.75
8,1,no_tail,30,0,5,1,4.5,0,59,41,69.49,50,35,70.0
8,1,no_tail,30,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,30,0,5,1,6,0,59,41,69.49,50,35,70.0
8,1,no_tail,30,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,30,15,3,0,2.5,0,87,65,74.71,69,46,66.67
8,1,no_tail,30,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,15,3,0,4.5,0,100,73,73.0,79,53,67.09
8,1,no_tail,30,15,3,0,4.5,1,2,2,100.0,3,2,66.67
8,1,no_tail,30,15,3,0,6,0,100,73,73.0,79,53,67.09
8,1,no_tail,30,15,3,0,6,1,2,2,100.0,3,2,66.67
8,1,no_tail,30,15,3,1,2.5,0,53,40,75.47,44,28,63.64
8,1,no_tail,30,15,3,1,4.5,0,66,48,72.73,54,35,64.81
8,1,no_tail,30,15,3,1,6,0,66,48,72.73,54,35,64.81
8,1,no_tail,30,15,5,0,2.5,0,68,48,70.59,50,36,72.0
8,1,no_tail,30,15,5,0,4.5,0,75,52,69.33,56,40,71.43
8,1,no_tail,30,15,5,0,6,0,75,52,69.33,56,40,71.43
8,1,no_tail,30,15,5,1,2.5,0,40,28,70.0,32,22,68.75
8,1,no_tail,30,15,5,1,4.5,0,47,32,68.09,38,26,68.42
8,1,no_tail,30,15,5,1,6,0,47,32,68.09,38,26,68.42
8,1,no_tail,30,30,3,0,2.5,0,76,56,73.68,60,42,70.0
8,1,no_tail,30,30,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,0,4.5,0,76,56,73.68,60,42,70.0
8,1,no_tail,30,30,3,0,4.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,0,6,0,76,56,73.68,60,42,70.0
8,1,no_tail,30,30,3,0,6,1,2,2,100.0,2,2,100.0
8,1,no_tail,30,30,3,1,2.5,0,42,31,73.81,35,24,68.57
8,1,no_tail,30,30,3,1,4.5,0,42,31,73.81,35,24,68.57
8,1,no_tail,30,30,3,1,6,0,42,31,73.81,35,24,68.57
8,1,no_tail,30,30,5,0,2.5,0,59,41,69.49,45,32,71.11
8,1,no_tail,30,30,5,0,4.5,0,59,41,69.49,45,32,71.11
8,1,no_tail,30,30,5,0,6,0,59,41,69.49,45,32,71.11
8,1,no_tail,30,30,5,1,2.5,0,31,21,67.74,27,18,66.67
8,1,no_tail,30,30,5,1,4.5,0,31,21,67.74,27,18,66.67
8,1,no_tail,30,30,5,1,6,0,31,21,67.74,27,18,66.67
8,1,no_tail,39,0,3,0,2.5,0,66,51,77.27,55,37,67.27
8,1,no_tail,39,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,0,3,0,4.5,0,96,72,75.0,76,52,68.42
8,1,no_tail,39,0,3,0,4.5,1,4,3,75.0,5,4,80.0
8,1,no_tail,39,0,3,0,6,0,96,72,75.0,76,52,68.42
8,1,no_tail,39,0,3,0,6,1,4,3,75.0,5,4,80.0
8,1,no_tail,39,0,3,1,2.5,0,39,30,76.92,34,22,64.71
8,1,no_tail,39,0,3,1,4.5,0,69,51,73.91,55,37,67.27
8,1,no_tail,39,0,3,1,4.5,1,2,1,50.0,5,4,80.0
8,1,no_tail,39,0,3,1,6,0,69,51,73.91,55,37,67.27
8,1,no_tail,39,0,3,1,6,1,2,1,50.0,5,4,80.0
8,1,no_tail,39,0,5,0,2.5,0,61,46,75.41,47,34,72.34
8,1,no_tail,39,0,5,0,4.5,0,80,59,73.75,64,47,73.44
8,1,no_tail,39,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,39,0,5,0,6,0,80,59,73.75,64,47,73.44
8,1,no_tail,39,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,39,0,5,1,2.5,0,35,26,74.29,29,20,68.97
8,1,no_tail,39,0,5,1,4.5,0,54,39,72.22,46,33,71.74
8,1,no_tail,39,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,39,0,5,1,6,0,54,39,72.22,46,33,71.74
8,1,no_tail,39,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,39,15,3,0,2.5,0,66,51,77.27,55,37,67.27
8,1,no_tail,39,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,39,15,3,0,4.5,0,74,56,75.68,60,41,68.33
