EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,no_tail,20,0,3,0,2.5,0,100,76,76.0,75,51,68.0
8,1,no_tail,20,0,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,0,3,0,4.5,0,140,102,72.86,108,74,68.52
8,1,no_tail,20,0,3,0,4.5,1,4,3,75.0,7,4,57.14
8,1,no_tail,20,0,3,0,6,0,140,102,72.86,108,74,68.52
8,1,no_tail,20,0,3,0,6,1,4,3,75.0,7,4,57.14
8,1,no_tail,20,0,3,1,2.5,0,60,46,76.67,49,33,67.35
8,1,no_tail,20,0,3,1,4.5,0,100,72,72.0,82,56,68.29
8,1,no_tail,20,0,3,1,4.5,1,2,1,50.0,7,4,57.14
8,1,no_tail,20,0,3,1,6,0,100,72,72.0,82,56,68.29
8,1,no_tail,20,0,3,1,6,1,2,1,50.0,7,4,57.14
8,1,no_tail,20,0,5,0,2.5,0,69,49,71.01,49,35,71.43
8,1,no_tail,20,0,5,0,4.5,0,88,62,70.45,67,48,71.64
8,1,no_tail,20,0,5,0,4.5,1,4,3,75.0,3,2,66.67
8,1,no_tail,20,0,5,0,6,0,88,62,70.45,67,48,71.64
8,1,no_tail,20,0,5,0,6,1,4,3,75.0,3,2,66.67
8,1,no_tail,20,0,5,1,2.5,0,41,29,70.73,31,21,67.74
8,1,no_tail,20,0,5,1,4.5,0,60,42,70.0,49,34,69.39
8,1,no_tail,20,0,5,1,4.5,1,2,1,50.0,3,2,66.67
8,1,no_tail,20,0,5,1,6,0,60,42,70.0,49,34,69.39
8,1,no_tail,20,0,5,1,6,1,2,1,50.0,3,2,66.67
8,1,no_tail,20,15,3,0,2.5,0,100,76,76.0,75,51,68.0
8,1,no_tail,20,15,3,0,2.5,1,2,2,100.0,2,2,100.0
8,1,no_tail,20,15,3,0,4.5,0,114,85,74.56,87,60,68.97
8,1,no_tail,20,15,3,0,4.5,1,2,2,100.0,3,2,66.67
8,1,no_tail,20,15,3,0,6,0,114,85,74.56,87,60,68.97
8,1,no_tail,20,15,3,0,6,1,2,2,100.0,3,2,66.67
8,1,no_tail,20,15,3,1,2.5,0,60,46,76.67,49,33,67.35
