CandidateIndex,Rule
0,8_TAIL1_1
1,8_NO_TAIL_1
2,8_NO_TAIL_1
3,8_NO_TAIL_1
4,8_NO_TAIL_1
5,8_NO_TAIL_1
6,8_LONG_TAIL_1
7,24_NO_TAIL_4
8,8_NO_TAIL_1
9,8_NO_TAIL_1
10,8_NO_TAIL_1
11,8_NO_TAIL_1
12,8_NO_TAIL_1
13,24_NO_TAIL_4
14,8_NO_TAIL_1
15,8_NO_TAIL_1
16,8_NO_TAIL_1
17,8_NO_TAIL_1
18,8_NO_TAIL_1
19,8_NO_TAIL_1
20,8_TAIL1_1
21,8_NO_TAIL_3
22,8_TAIL1_1
23,8_NO_TAIL_1
24,8_NO_TAIL_1
25,8_NO_TAIL_1
26,24_NO_TAIL_4
27,8_NO_TAIL_1
28,8_NO_TAIL_1
29,24_NO_TAIL_4
30,8_NO_TAIL_1
31,8_TAIL1_1
32,8_LONG_TAIL_1
33,8_NO_TAIL_1
34,8_TAIL1_1
35,8_NO_TAIL_1
36,24_NO_TAIL_4
37,8_NO_TAIL_1
38,8_LONG_TAIL_1
39,8_NO_TAIL_1
40,8_NO_TAIL_1
41,8_NO_TAIL_1
42,8_NO_TAIL_3
43,8_NO_TAIL_1
44,8_NO_TAIL_1
45,8_LONG_TAIL_1
46,8_TAIL1_1
47,8_NO_TAIL_1
48,8_NO_TAIL_1
49,8_LONG_TAIL_1
50,8_NO_TAIL_1
51,8_NO_TAIL_3
52,8_NO_TAIL_1
53,8_NO_TAIL_1
54,8_NO_TAIL_1
55,8_NO_TAIL_1
56,8_TAIL1_1
57,8_NO_TAIL_1
58,8_TAIL1_1
59,8_NO_TAIL_1
60,8_TAIL1_1
61,8_NO_TAIL_3
62,8_NO_TAIL_1
63,8_NO_TAIL_3
64,8_NO_TAIL_1
65,8_NO_TAIL_1
66,8_NO_TAIL_1
67,8_NO_TAIL_1
68,8_NO_TAIL_1
69,8_NO_TAIL_3
70,8_NO_TAIL_1
71,8_NO_TAIL_1
72,24_NO_TAIL_4
73,8_NO_TAIL_1
74,8_NO_TAIL_1
75,8_NO_TAIL_3
76,8_NO_TAIL_1
77,8_NO_TAIL_1
78,8_NO_TAIL_1
79,8_NO_TAIL_1
80,8_LONG_TAIL_1
81,8_NO_TAIL_1
82,8_TAIL1_1
83,8_NO_TAIL_1
84,8_LONG_TAIL_1
85,8_LONG_TAIL_1
86,8_NO_TAIL_1
87,8_LONG_TAIL_1
88,8_NO_TAIL_1
89,8_NO_TAIL_1
90,8_NO_TAIL_3
91,8_TAIL1_1
92,8_TAIL1_1
93,8_NO_TAIL_1
94,8_NO_TAIL_1
95,8_NO_TAIL_1
96,8_NO_TAIL_1
97,8_LONG_TAIL_1
98,8_NO_TAIL_1
99,8_NO_TAIL_1
100,8_NO_TAIL_1
101,24_NO_TAIL_4
102,8_NO_TAIL_1
103,24_NO_TAIL_4
104,8_TAIL1_1
105,8_NO_TAIL_1
106,8_NO_TAIL_1
107,8_NO_TAIL_1
108,8_NO_TAIL_1
109,8_NO_TAIL_1
110,8_TAIL1_1
111,24_NO_TAIL_4
112,8_NO_TAIL_1
113,8_NO_TAIL_1
114,8_NO_TAIL_1
115,8_NO_TAIL_3
116,8_TAIL1_1
117,8_TAIL1_1
118,8_TAIL1_1
119,8_NO_TAIL_1
120,8_TAIL1_1
121,8_TAIL1_1
122,8_TAIL1_1
123,8_TAIL1_1
124,8_TAIL1_1
125,8_TAIL1_1
126,8_TAIL1_1
127,8_NO_TAIL_1
128,8_NO_TAIL_1
129,8_NO_TAIL_1
130,8_TAIL1_1
131,8_NO_TAIL_1
132,8_NO_TAIL_3
133,8_NO_TAIL_1
134,8_LONG_TAIL_1
135,8_NO_TAIL_1
136,24_NO_TAIL_4
137,8_LONG_TAIL_1
138,8_NO_TAIL_3
139,8_TAIL1_1
140,8_NO_TAIL_1
141,8_LONG_TAIL_1
142,24_NO_TAIL_4
143,8_TAIL1_1
144,8_NO_TAIL_1
145,8_TAIL1_1
146,8_NO_TAIL_3
147,8_NO_TAIL_1
148,8_TAIL1_1
149,8_NO_TAIL_1
150,8_LONG_TAIL_1
151,8_NO_TAIL_1
152,8_NO_TAIL_1
153,8_TAIL1_1
154,24_NO_TAIL_4
155,8_NO_TAIL_1
156,8_TAIL1_1
157,8_TAIL1_1
158,8_NO_TAIL_1
159,8_NO_TAIL_1
160,8_NO_TAIL_1
161,8_TAIL1_1
162,8_TAIL1_1
163,8_NO_TAIL_1
164,8_NO_TAIL_1
165,8_NO_TAIL_1
166,24_NO_TAIL_4
167,8_NO_TAIL_3
168,8_NO_TAIL_1
169,8_NO_TAIL_1
170,8_NO_TAIL_1
171,8_TAIL1_1
172,8_TAIL1_1
173,8_NO_TAIL_1
174,8_NO_TAIL_1
175,8_NO_TAIL_1
176,8_NO_TAIL_1
177,8_NO_TAIL_1
178,8_NO_TAIL_1
179,8_TAIL1_1
180,8_NO_TAIL_1
181,8_NO_TAIL_1
182,8_NO_TAIL_1
183,8_NO_TAIL_1
184,8_TAIL1_1
185,8_NO_TAIL_1
186,8_TAIL1_1
187,8_NO_TAIL_1
188,8_TAIL1_1
189,8_TAIL1_1
190,8_NO_TAIL_1
191,8_NO_TAIL_1
192,8_NO_TAIL_1
193,8_NO_TAIL_1
