BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
556,2026-08-03 00:17:52.040,SHORT,7555.750000,TARGET,NONE,,,0,False
563,2026-08-03 00:18:30.912,SHORT,7554.000000,STOP,NONE,,,0,False
680,2026-08-03 02:05:26.260,LONG,7557.500000,TARGET,NONE,,,0,False
820,2026-08-03 05:00:44.368,SHORT,7556.250000,TARGET,NONE,,,0,False
869,2026-08-03 05:40:00.656,LONG,7562.250000,TARGET,NONE,,,0,False
925,2026-08-03 06:28:15.544,SHORT,7554.500000,TARGET,NONE,,,0,False
943,2026-08-03 06:30:01.944,SHORT,7546.500000,TARGET,NONE,,,0,False
1051,2026-08-03 06:34:29.936,LONG,7562.750000,STOP,NONE,,,0,False
1273,2026-08-03 06:52:18.056,LONG,7576.750000,TARGET,NONE,,,0,False
1288,2026-08-03 06:54:31.912,LONG,7579.250000,TARGET,NONE,,,0,False
1302,2026-08-03 06:57:14.804,LONG,7582.750000,TARGET,NONE,,,0,False
1423,2026-08-03 07:21:11.684,LONG,7595.750000,TARGET,NONE,,,0,False
1489,2026-08-03 07:58:58.816,LONG,7605.000000,TARGET,NONE,,,0,False
1532,2026-08-03 08:22:38.068,LONG,7607.000000,TARGET,NONE,,,0,False
1581,2026-08-03 08:45:02.476,LONG,7609.250000,TARGET,NONE,,,0,False
1696,2026-08-03 11:01:38.916,LONG,7629.750000,TARGET,NONE,,,0,False
1698,2026-08-03 11:03:05.052,LONG,7629.750000,TARGET,NONE,,,0,False
1862,2026-08-03 12:55:03.820,SHORT,7628.750000,TARGET,NONE,,,0,False
2264,2026-08-04 02:02:38.684,SHORT,7636.000000,TARGET,TARGET,2026-08-04 02:02:52,7634.750000,316,False
2270,2026-08-04 02:07:30.596,SHORT,7633.500000,TARGET,TARGET,2026-08-04 02:13:42,7632.250000,7734,False
2275,2026-08-04 02:17:04.848,SHORT,7632.500000,STOP,STOP,2026-08-04 02:30:14,7635.000000,11249,False
2279,2026-08-04 02:25:29.016,SHORT,7632.750000,STOP,STOP,2026-08-04 02:30:20,7635.250000,3690,False
2343,2026-08-04 03:45:57.792,LONG,7646.000000,TARGET,TARGET,2026-08-04 03:46:15,7647.250000,1519,False
2345,2026-08-04 03:46:13.976,LONG,7646.250000,TARGET,TARGET,2026-08-04 03:46:52,7647.500000,985,False
2392,2026-08-04 04:23:49.092,LONG,7645.750000,TARGET,TARGET,2026-08-04 04:27:27,7647.000000,3303,False
2402,2026-08-04 04:42:34.596,LONG,7646.500000,TARGET,TARGET,2026-08-04 04:43:29,7647.750000,876,False
2434,2026-08-04 04:45:25.624,LONG,7653.500000,TARGET,TARGET,2026-08-04 04:45:53,7654.750000,2156,False
2736,2026-08-04 07:05:50.564,LONG,7694.750000,TARGET,TARGET,2026-08-04 07:06:09,7696.000000,3070,False
2762,2026-08-04 07:17:18.796,LONG,7701.750000,TARGET,TARGET,2026-08-04 07:17:25,7703.000000,704,False
3100,2026-08-04 09:28:02.140,LONG,7744.750000,TARGET,TARGET,2026-08-04 09:32:01,7746.000000,11312,False
