CandidateIndex,Rule
0,8_LONG_TAIL_1
1,8_TAIL1_1
2,24_NO_TAIL_4
3,8_NO_TAIL_1
4,8_NO_TAIL_1
5,8_NO_TAIL_1
6,8_TAIL1_1
7,8_NO_TAIL_3
8,8_NO_TAIL_1
9,8_NO_TAIL_1
10,8_NO_TAIL_1
11,8_NO_TAIL_1
12,8_LONG_TAIL_1
13,8_NO_TAIL_1
14,8_NO_TAIL_3
15,8_NO_TAIL_1
16,8_NO_TAIL_1
17,8_TAIL1_1
18,8_TAIL1_1
19,8_NO_TAIL_1
20,8_NO_TAIL_1
21,8_NO_TAIL_1
22,8_NO_TAIL_1
23,8_NO_TAIL_1
24,8_LONG_TAIL_1
25,24_TAIL1_2
26,24_NO_TAIL_4
27,8_NO_TAIL_1
28,8_NO_TAIL_1
29,8_NO_TAIL_1
30,8_NO_TAIL_1
31,8_NO_TAIL_1
32,24_NO_TAIL_4
33,8_NO_TAIL_1
34,8_NO_TAIL_1
35,8_NO_TAIL_1
36,8_NO_TAIL_1
37,8_NO_TAIL_1
38,8_NO_TAIL_1
39,8_TAIL1_1
40,8_NO_TAIL_3
41,8_TAIL1_1
42,8_NO_TAIL_1
43,8_NO_TAIL_1
44,8_NO_TAIL_1
45,24_NO_TAIL_4
46,8_NO_TAIL_1
47,8_NO_TAIL_1
48,24_NO_TAIL_4
49,24_TAIL1_2
50,8_NO_TAIL_1
51,8_TAIL1_1
52,8_LONG_TAIL_1
53,8_NO_TAIL_1
54,8_TAIL1_1
55,24_TAIL1_2
56,8_NO_TAIL_1
57,24_NO_TAIL_4
58,8_NO_TAIL_1
59,24_TAIL1_2
60,8_LONG_TAIL_1
61,8_NO_TAIL_1
62,8_NO_TAIL_1
63,8_NO_TAIL_1
64,8_NO_TAIL_3
65,8_NO_TAIL_1
66,8_NO_TAIL_1
67,8_LONG_TAIL_1
68,8_TAIL1_1
69,8_NO_TAIL_1
70,8_NO_TAIL_1
71,8_LONG_TAIL_1
72,8_NO_TAIL_1
73,8_NO_TAIL_3
74,8_NO_TAIL_1
75,8_NO_TAIL_1
76,8_NO_TAIL_1
77,8_NO_TAIL_1
78,8_TAIL1_1
79,8_NO_TAIL_1
80,8_TAIL1_1
81,8_NO_TAIL_1
82,8_TAIL1_1
83,8_NO_TAIL_3
84,8_NO_TAIL_1
85,8_NO_TAIL_3
86,8_NO_TAIL_1
87,8_NO_TAIL_1
88,8_NO_TAIL_1
89,8_NO_TAIL_1
90,8_NO_TAIL_1
91,8_NO_TAIL_3
92,8_NO_TAIL_1
93,8_NO_TAIL_1
94,24_NO_TAIL_4
95,8_NO_TAIL_1
96,8_NO_TAIL_1
97,8_NO_TAIL_3
98,8_NO_TAIL_1
99,8_NO_TAIL_1
100,8_NO_TAIL_1
101,8_NO_TAIL_1
102,8_LONG_TAIL_1
103,8_NO_TAIL_1
104,8_TAIL1_1
105,8_NO_TAIL_1
106,8_LONG_TAIL_1
107,8_LONG_TAIL_1
108,8_NO_TAIL_1
109,8_LONG_TAIL_1
110,8_NO_TAIL_1
111,8_NO_TAIL_1
112,8_NO_TAIL_3
113,8_TAIL1_1
114,8_TAIL1_1
115,8_NO_TAIL_1
116,8_NO_TAIL_1
117,8_NO_TAIL_1
118,8_NO_TAIL_1
119,8_LONG_TAIL_1
120,8_NO_TAIL_1
121,8_NO_TAIL_1
122,8_NO_TAIL_1
123,24_NO_TAIL_4
124,8_NO_TAIL_1
125,24_NO_TAIL_4
126,8_TAIL1_1
127,8_NO_TAIL_1
128,8_NO_TAIL_1
129,24_TAIL1_2
130,8_NO_TAIL_1
131,8_NO_TAIL_1
132,8_NO_TAIL_1
133,24_TAIL1_2
134,8_TAIL1_1
135,24_NO_TAIL_4
136,8_NO_TAIL_1
137,8_NO_TAIL_1
138,8_NO_TAIL_1
139,8_NO_TAIL_3
140,8_TAIL1_1
141,8_TAIL1_1
142,8_TAIL1_1
143,8_NO_TAIL_1
144,8_TAIL1_1
145,8_TAIL1_1
146,8_TAIL1_1
147,8_TAIL1_1
148,8_TAIL1_1
149,24_TAIL1_2
150,8_TAIL1_1
151,8_TAIL1_1
152,24_TAIL1_2
153,8_NO_TAIL_1
154,8_NO_TAIL_1
155,8_NO_TAIL_1
156,8_TAIL1_1
157,8_NO_TAIL_1
158,8_NO_TAIL_3
159,8_NO_TAIL_1
160,8_LONG_TAIL_1
161,8_NO_TAIL_1
162,24_NO_TAIL_4
163,8_LONG_TAIL_1
164,8_NO_TAIL_3
165,8_TAIL1_1
166,8_NO_TAIL_1
167,8_LONG_TAIL_1
168,24_TAIL1_2
169,24_NO_TAIL_4
170,24_TAIL1_2
171,8_TAIL1_1
172,8_NO_TAIL_1
173,8_TAIL1_1
174,8_NO_TAIL_3
175,8_NO_TAIL_1
176,8_TAIL1_1
177,8_NO_TAIL_1
178,24_TAIL1_2
179,8_LONG_TAIL_1
180,8_NO_TAIL_1
181,8_NO_TAIL_1
182,8_TAIL1_1
183,24_TAIL1_2
184,24_NO_TAIL_4
185,24_TAIL1_2
186,8_NO_TAIL_1
187,8_TAIL1_1
188,8_TAIL1_1
189,8_NO_TAIL_1
190,8_NO_TAIL_1
191,8_NO_TAIL_1
192,8_TAIL1_1
193,8_TAIL1_1
194,8_NO_TAIL_1
195,8_NO_TAIL_1
196,8_NO_TAIL_1
197,24_NO_TAIL_4
198,8_NO_TAIL_3
199,8_NO_TAIL_1
200,8_NO_TAIL_1
201,8_NO_TAIL_1
