EMA,Pool,Shape,PullbackBars,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,nearby_miss,all,0,1273,917,72.03,1367,925,67.67
8,nearby_miss,long_tail,0,484,337,69.63,561,371,66.13
8,nearby_miss,long_tail,1,346,243,70.23,402,263,65.42
8,nearby_miss,long_tail,2,127,87,68.5,144,98,68.06
8,nearby_miss,long_tail,3,11,7,63.64,15,10,66.67
8,nearby_miss,no_tail,0,443,328,74.04,432,295,68.29
8,nearby_miss,no_tail,1,301,228,75.75,300,216,72.0
8,nearby_miss,no_tail,2,120,84,70.0,116,67,57.76
8,nearby_miss,no_tail,3,22,16,72.73,16,12,75.0
8,nearby_miss,one_tick_tail,0,346,252,72.83,374,259,69.25
8,nearby_miss,one_tick_tail,1,244,181,74.18,256,177,69.14
8,nearby_miss,one_tick_tail,2,89,62,69.66,103,71,68.93
8,nearby_miss,one_tick_tail,3,13,9,69.23,15,11,73.33
8,nearby_miss,tail_0.0,1,301,228,75.75,300,216,72.0
8,nearby_miss,tail_0.0,2,120,84,70.0,116,67,57.76
8,nearby_miss,tail_0.0,3,22,16,72.73,16,12,75.0
8,nearby_miss,tail_1.0,1,244,181,74.18,256,177,69.14
8,nearby_miss,tail_1.0,2,89,62,69.66,103,71,68.93
8,nearby_miss,tail_1.0,3,13,9,69.23,15,11,73.33
8,nearby_miss,tail_2.0,1,184,132,71.74,206,133,64.56
8,nearby_miss,tail_2.0,2,67,46,68.66,78,53,67.95
8,nearby_miss,tail_2.0,3,9,5,55.56,12,7,58.33
8,nearby_miss,tail_3.0,1,105,71,67.62,121,78,64.46
8,nearby_miss,tail_3.0,2,41,30,73.17,45,34,75.56
8,nearby_miss,tail_3.0,3,2,2,100.0,3,3,100.0
8,nearby_miss,tail_4.0,1,52,35,67.31,66,45,68.18
8,nearby_miss,tail_4.0,2,17,9,52.94,21,11,52.38
8,nearby_miss,tail_5.0,1,5,5,100.0,9,7,77.78
8,nearby_miss,tail_5.0,2,2,2,100.0,0,0,0
8,selected,all,0,367,271,73.84,372,276,74.19
8,selected,long_tail,0,227,167,73.57,217,158,72.81
8,selected,long_tail,1,203,150,73.89,193,140,72.54
8,selected,long_tail,2,24,17,70.83,24,18,75.0
8,selected,no_tail,0,53,41,77.36,65,50,76.92
8,selected,no_tail,1,2,2,100.0,4,3,75.0
8,selected,no_tail,2,51,39,76.47,61,47,77.05
8,selected,one_tick_tail,0,87,63,72.41,90,68,75.56
8,selected,one_tick_tail,1,50,34,68.0,41,31,75.61
8,selected,one_tick_tail,2,37,29,78.38,49,37,75.51
8,selected,tail_0.0,1,2,2,100.0,4,3,75.0
