EMA,Pool,Shape,PullbackBars,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,expanded_total,all,0,600,454,75.67,580,430,74.14
8,expanded_total,long_tail,0,248,184,74.19,244,177,72.54
8,expanded_total,long_tail,1,224,167,74.55,220,159,72.27
8,expanded_total,long_tail,2,24,17,70.83,24,18,75.0
8,expanded_total,no_tail,0,219,169,77.17,198,147,74.24
8,expanded_total,no_tail,1,141,110,78.01,126,92,73.02
8,expanded_total,no_tail,2,55,42,76.36,57,44,77.19
8,expanded_total,no_tail,3,23,17,73.91,15,11,73.33
8,expanded_total,one_tick_tail,0,133,101,75.94,138,106,76.81
8,expanded_total,one_tick_tail,1,96,72,75.0,89,69,77.53
8,expanded_total,one_tick_tail,2,37,29,78.38,49,37,75.51
8,expanded_total,tail_0.0,1,141,110,78.01,126,92,73.02
8,expanded_total,tail_0.0,2,55,42,76.36,57,44,77.19
8,expanded_total,tail_0.0,3,23,17,73.91,15,11,73.33
8,expanded_total,tail_1.0,1,96,72,75.0,89,69,77.53
8,expanded_total,tail_1.0,2,37,29,78.38,49,37,75.51
8,expanded_total,tail_2.0,1,73,55,75.34,71,49,69.01
8,expanded_total,tail_2.0,2,16,10,62.5,16,10,62.5
8,expanded_total,tail_3.0,1,73,50,68.49,68,49,72.06
8,expanded_total,tail_3.0,2,7,6,85.71,8,8,100.0
8,expanded_total,tail_4.0,1,59,46,77.97,68,50,73.53
8,expanded_total,tail_4.0,2,1,1,100.0,0,0,0
8,expanded_total,tail_5.0,1,19,16,84.21,13,11,84.62
8,nearby_miss,all,0,1294,932,72.02,1346,910,67.61
8,nearby_miss,long_tail,0,493,342,69.37,552,366,66.3
8,nearby_miss,long_tail,1,353,247,69.97,395,259,65.57
8,nearby_miss,long_tail,2,129,88,68.22,142,97,68.31
8,nearby_miss,long_tail,3,11,7,63.64,15,10,66.67
8,nearby_miss,no_tail,0,450,334,74.22,425,289,68.0
8,nearby_miss,no_tail,1,305,232,76.07,296,212,71.62
8,nearby_miss,no_tail,2,122,85,69.67,114,66,57.89
8,nearby_miss,no_tail,3,23,17,73.91,15,11,73.33
8,nearby_miss,one_tick_tail,0,351,256,72.93,369,255,69.11
8,nearby_miss,one_tick_tail,1,247,183,74.09,253,175,69.17
8,nearby_miss,one_tick_tail,2,91,64,70.33,101,69,68.32
8,nearby_miss,one_tick_tail,3,13,9,69.23,15,11,73.33
8,nearby_miss,tail_0.0,1,305,232,76.07,296,212,71.62
8,nearby_miss,tail_0.0,2,122,85,69.67,114,66,57.89
8,nearby_miss,tail_0.0,3,23,17,73.91,15,11,73.33
8,nearby_miss,tail_1.0,1,247,183,74.09,253,175,69.17
8,nearby_miss,tail_1.0,2,91,64,70.33,101,69,68.32
8,nearby_miss,tail_1.0,3,13,9,69.23,15,11,73.33
8,nearby_miss,tail_2.0,1,189,134,70.9,201,131,65.17
8,nearby_miss,tail_2.0,2,68,46,67.65,77,53,68.83
8,nearby_miss,tail_2.0,3,9,5,55.56,12,7,58.33
8,nearby_miss,tail_3.0,1,107,73,68.22,119,76,63.87
8,nearby_miss,tail_3.0,2,41,30,73.17,45,34,75.56
8,nearby_miss,tail_3.0,3,2,2,100.0,3,3,100.0
8,nearby_miss,tail_4.0,1,52,35,67.31,66,45,68.18
8,nearby_miss,tail_4.0,2,18,10,55.56,20,10,50.0
8,nearby_miss,tail_5.0,1,5,5,100.0,9,7,77.78
