Scope,Family,Segment,Rule,Eligible,Kept,RetainedPct,DeltaProxyTicks,DayBootstrapLower,DayBootstrapUpper
PRIME,COMBINED,ALL,ROOM,632,529,83.70253164556962,0.08131236390610419,-0.2118946565482709,0.3642790134217777
PRIME,COMBINED,ALL,DEPTH,583,184,31.56089193825043,-1.0500876277127302,-1.7197916666666666,-0.27982923042803276
PRIME,COMBINED,ALL,SPEED,580,289,49.827586206896555,0.2575766614962416,-0.27197430247683774,0.7451753519735915
PRIME,COMBINED,UNAMBIGUOUS,ROOM,617,516,83.63047001620745,0.08223084944655934,-0.22740329699296402,0.37809750775092255
PRIME,COMBINED,UNAMBIGUOUS,DEPTH,572,180,31.46853146853147,-1.0912975912975913,-1.7792421746293245,-0.30536972616180535
PRIME,COMBINED,UNAMBIGUOUS,SPEED,572,284,49.65034965034965,0.2510341770905151,-0.28932932744601203,0.7489679456046625
PRIME,EMA8,ALL,ROOM,351,259,73.78917378917379,-0.0032450032450033195,-0.5605233281072607,0.5347111817700052
PRIME,EMA8,ALL,DEPTH,338,165,48.81656804733728,-0.8266989420835573,-1.4669923009337167,-0.08904461874758907
PRIME,EMA8,ALL,SPEED,337,180,53.41246290801187,0.4033135509396637,-0.25512573006524764,1.0642409915665731
PRIME,EMA8,UNAMBIGUOUS,ROOM,343,253,73.76093294460641,-0.00466702773712524,-0.5770430442919526,0.5443536179231003
PRIME,EMA8,UNAMBIGUOUS,DEPTH,331,162,48.94259818731118,-0.8328671067845287,-1.4709074464877903,-0.08424372980458505
PRIME,EMA8,UNAMBIGUOUS,SPEED,331,176,53.17220543806646,0.39643985168909657,-0.27950310559006214,1.0640255509962349
PRIME,EMA24,ALL,ROOM,149,149,100.0,0.0,0.0,0.0
PRIME,EMA24,ALL,DEPTH,135,10,7.407407407407407,0.9814814814814814,-2.111801242236025,2.9914529914529915
PRIME,EMA24,ALL,SPEED,134,70,52.23880597014925,-0.10874200426439273,-0.8150851581508516,0.7142857142857144
PRIME,EMA24,UNAMBIGUOUS,ROOM,146,146,100.0,0.0,0.0,0.0
PRIME,EMA24,UNAMBIGUOUS,DEPTH,133,10,7.518796992481203,0.981203007518797,-2.111801242236025,3.0
PRIME,EMA24,UNAMBIGUOUS,SPEED,133,70,52.63157894736842,-0.09022556390977465,-0.7912507339988255,0.7330919861773904
PRIME,EMA50,ALL,ROOM,136,125,91.91176470588235,0.12705882352941167,-0.18260869565217375,0.4517374517374517
PRIME,EMA50,ALL,DEPTH,113,9,7.964601769911504,-0.9439528023598818,-4.345238095238095,2.6373626373626373
PRIME,EMA50,ALL,SPEED,112,41,36.607142857142854,0.5814459930313589,-0.4878048780487805,1.7752705503108448
PRIME,EMA50,UNAMBIGUOUS,ROOM,132,121,91.66666666666667,0.12396694214876014,-0.1995565410199558,0.4595588235294117
PRIME,EMA50,UNAMBIGUOUS,DEPTH,111,8,7.207207207207207,-1.3175675675675675,-5.0675675675675675,2.7
PRIME,EMA50,UNAMBIGUOUS,SPEED,111,40,36.03603603603604,0.5574324324324325,-0.5201672405312348,1.7717231222385865
