BarNumber,Time,Direction,Families,Entry,Segment,Prime,Ambiguous,Outcome,RoomTicks,PullbackBars,ImpulseBars,DepthRatio,SpeedRatio,ImpulseTicks,PullbackDepthTicks,ImpulseSeconds,PullbackSeconds
1968,2026-08-03 16:15:55.060,1,EMA50,7635.0,DEV,False,False,TARGET,7.0,2,1,,,,,,
2139,2026-08-03 20:46:34.952,1,EMA24+EMA50,7643.0,DEV,False,False,TARGET,10.0,3,3,1.3333333333333333,0.3483830080709799,9.0,12.0,186.904,715.32
2158,2026-08-03 22:09:34.376,1,EMA50,7644.75,DEV,False,False,TARGET,8.0,1,1,1.0,0.5145157872430599,4.0,4.0,29.136,56.628
2264,2026-08-04 02:02:38.684,-1,EMA8,7636.0,DEV,False,False,TARGET,3.0,1,3,0.25,2.0766369047619047,8.0,2.0,301.428,36.288
2270,2026-08-04 02:07:30.596,-1,EMA8,7633.5,DEV,False,False,TARGET,,1,2,0.5,1.4658185162477009,8.0,4.0,76.504,26.096
2273,2026-08-04 02:16:13.028,-1,EMA8,7633.25,DEV,False,False,TARGET,,1,2,0.42857142857142855,4.886309589429422,7.0,3.0,413.688,36.284
2275,2026-08-04 02:17:04.848,-1,EMA8,7632.5,DEV,False,False,STOP,,1,1,1.0,3.4899237162700674,1.0,1.0,122.608,35.132
2277,2026-08-04 02:22:04.056,-1,EMA8,7632.75,DEV,False,False,STOP,,1,1,0.75,0.07402938462630419,4.0,3.0,16.688,169.068
2279,2026-08-04 02:25:29.016,-1,EMA8,7632.75,DEV,False,False,STOP,3.0,1,1,2.0,5.211854225070083,2.0,4.0,130.14,49.94
2323,2026-08-04 03:37:36.624,1,EMA24,7640.0,DEV,False,False,TARGET,9.0,3,2,1.7142857142857142,1.6986213185987875,7.0,12.0,158.32,159.78
2338,2026-08-04 03:45:07.924,1,EMA8,7644.25,DEV,False,False,TARGET,,1,2,0.5,0.37770077456176115,6.0,3.0,7.412,9.812
2343,2026-08-04 03:45:57.792,1,EMA8,7646.0,DEV,False,False,TARGET,,1,2,0.5714285714285714,0.407173645320197,7.0,4.0,10.58,14.848
2345,2026-08-04 03:46:13.976,1,EMA8,7646.25,DEV,False,False,TARGET,,1,1,0.75,0.6098258383155706,4.0,3.0,12.512,15.388
2353,2026-08-04 03:47:50.904,1,EMA8,7647.0,DEV,False,False,STOP,3.0,1,2,0.5714285714285714,1.83418195792103,7.0,4.0,19.092,5.948
2357,2026-08-04 03:49:37.488,1,EMA24,7646.25,DEV,False,False,TARGET,7.0,3,1,3.0,0.34372788840594354,2.0,6.0,9.068,79.144
2392,2026-08-04 04:23:49.092,1,EMA8,7645.75,DEV,False,False,TARGET,7.0,1,3,0.0,0.0,11.0,0.0,391.196,104.756
2399,2026-08-04 04:36:01.536,1,EMA8,7648.0,DEV,False,False,STOP,,1,1,1.0,0.7487488594575165,4.0,4.0,108.32,144.668
2402,2026-08-04 04:42:34.596,1,EMA24,7646.5,DEV,False,False,TARGET,,2,1,4.5,0.887263226649249,2.0,9.0,54.336,275.58
2434,2026-08-04 04:45:25.624,1,EMA24,7653.5,DEV,False,False,TARGET,15.0,4,4,0.8235294117647058,0.561382925375394,17.0,14.0,16.952,24.868
2436,2026-08-04 04:45:40.824,1,EMA24,7653.5,DEV,False,False,TARGET,15.0,1,1,0.25,0.1512402388608176,4.0,1.0,5.268,8.708
2532,2026-08-04 06:20:56.544,1,EMA8,7662.75,DEV,False,False,STOP,8.0,1,1,,,,,,
2581,2026-08-04 06:30:59.256,1,EMA8,7665.0,DEV,False,False,TARGET,5.0,1,1,1.0,0.2918781725888325,4.0,4.0,1.38,4.728
2648,2026-08-04 06:47:04.584,1,EMA24,7673.25,DEV,False,False,TARGET,,3,1,3.25,0.4394833644449326,4.0,13.0,9.852,72.856
2672,2026-08-04 06:52:25.972,1,EMA8,7681.75,DEV,False,False,TARGET,,2,3,0.7,1.20088153085358,10.0,7.0,63.832,37.208
2711,2026-08-04 07:01:15.116,1,EMA8,7687.25,DEV,True,False,TARGET,4.0,1,1,2.0,2.691022964509395,2.0,4.0,5.156,3.832
2736,2026-08-04 07:05:50.564,1,EMA8,7694.75,DEV,True,False,TARGET,3.0,1,1,2.0,0.9393799167052289,2.0,4.0,4.06,8.644
2743,2026-08-04 07:08:25.252,1,EMA8,7696.25,DEV,True,False,TARGET,,1,2,0.6,0.4568701474463993,5.0,3.0,42.76,56.156
2760,2026-08-04 07:16:44.524,1,EMA8,7701.0,DEV,True,False,TARGET,,2,7,0.28,0.9892722681359045,25.0,7.0,246.244,69.696
2762,2026-08-04 07:17:18.796,1,EMA8,7701.75,DEV,True,False,TARGET,4.0,1,1,0.5,0.2015661252900232,2.0,1.0,8.34,20.688
2771,2026-08-04 07:19:46.872,1,EMA8,7704.75,DEV,True,False,STOP,,1,2,1.0,3.63920099875156,5.0,5.0,34.98,9.612
