Fast,Middle,Slow,BounceEMA,DevN,DevTarget,DevStop,DevRate,HoldN,HoldTarget,HoldStop,HoldRate
5,18,40,fast,360,258,101,71.67,392,279,110,71.17
5,18,40,middle,267,185,79,69.29,277,207,69,74.73
5,18,40,slow,96,68,28,70.83,83,65,18,78.31
5,18,50,fast,346,248,97,71.68,376,265,108,70.48
5,18,50,middle,253,174,76,68.77,262,193,68,73.66
5,18,50,slow,60,40,20,66.67,62,48,14,77.42
5,18,60,fast,338,242,95,71.6,364,259,102,71.15
5,18,60,middle,244,169,72,69.26,252,187,64,74.21
5,18,60,slow,42,30,12,71.43,50,40,10,80.0
5,18,75,fast,317,225,91,70.98,348,247,98,70.98
5,18,75,middle,229,158,68,69.0,234,171,62,73.08
5,18,75,slow,25,19,6,76.0,35,28,7,80.0
5,24,40,fast,334,238,95,71.26,375,265,107,70.67
5,24,40,middle,171,113,55,66.08,182,134,47,73.63
5,24,40,slow,71,49,22,69.01,70,52,18,74.29
5,24,50,fast,325,232,92,71.38,367,261,103,71.12
5,24,50,middle,167,111,53,66.47,180,134,45,74.44
5,24,50,slow,48,33,15,68.75,55,44,11,80.0
5,24,60,fast,317,225,91,70.98,351,248,100,70.66
5,24,60,middle,162,108,51,66.67,176,131,44,74.43
5,24,60,slow,35,26,9,74.29,45,36,9,80.0
5,24,75,fast,296,211,84,71.28,340,239,98,70.29
5,24,75,middle,153,101,49,66.01,165,121,43,73.33
5,24,75,slow,23,17,6,73.91,32,26,6,81.25
5,30,40,fast,318,225,92,70.75,359,255,101,71.03
5,30,40,middle,102,63,38,61.76,112,87,24,77.68
5,30,40,slow,56,37,19,66.07,63,48,15,76.19
5,30,50,fast,309,218,90,70.55,344,242,99,70.35
5,30,50,middle,99,61,37,61.62,110,85,24,77.27
5,30,50,slow,33,22,11,66.67,47,37,10,78.72
5,30,60,fast,295,208,86,70.51,339,237,99,69.91
5,30,60,middle,97,59,37,60.82,107,82,24,76.64
5,30,60,slow,25,16,9,64.0,38,29,9,76.32
5,30,75,fast,277,199,77,71.84,329,231,95,70.21
5,30,75,middle,96,59,36,61.46,98,74,23,75.51
5,30,75,slow,18,12,6,66.67,27,21,6,77.78
5,36,40,fast,298,211,86,70.81,339,240,96,70.8
5,36,40,middle,61,39,21,63.93,64,51,13,79.69
5,36,40,slow,45,29,16,64.44,48,37,11,77.08
5,36,50,fast,283,202,80,71.38,328,230,95,70.12
5,36,50,middle,59,38,20,64.41,62,49,13,79.03
5,36,50,slow,24,15,9,62.5,32,25,7,78.12
5,36,60,fast,273,197,75,72.16,324,225,96,69.44
5,36,60,middle,60,39,20,65.0,57,44,13,77.19
5,36,60,slow,21,13,8,61.9,22,15,7,68.18
5,36,75,fast,263,188,74,71.48,313,220,90,70.29
5,36,75,middle,57,38,18,66.67,56,43,13,76.79
5,36,75,slow,13,8,5,61.54,18,14,4,77.78
5,42,50,fast,266,194,71,72.93,314,219,92,69.75
5,42,50,middle,27,18,9,66.67,30,22,8,73.33
5,42,50,slow,15,10,5,66.67,18,14,4,77.78
5,42,60,fast,259,188,70,72.59,309,217,89,70.23
5,42,60,middle,26,17,9,65.38,29,21,8,72.41
5,42,60,slow,13,9,4,69.23,14,10,4,71.43
5,42,75,fast,252,182,69,72.22,296,208,85,70.27
5,42,75,middle,26,17,9,65.38,27,19,8,70.37
5,42,75,slow,9,6,3,66.67,10,8,2,80.0
8,18,40,fast,429,309,117,72.03,472,338,129,71.61
8,18,40,middle,266,188,75,70.68,277,208,68,75.09
8,18,40,slow,95,68,27,71.58,91,69,22,75.82
8,18,50,fast,410,295,112,71.95,451,319,127,70.73
8,18,50,middle,252,177,72,70.24,261,193,67,73.95
8,18,50,slow,60,41,19,68.33,66,50,16,75.76
8,18,60,fast,399,287,109,71.93,438,311,122,71.0
8,18,60,middle,243,172,68,70.78,250,186,63,74.4
8,18,60,slow,43,32,11,74.42,54,42,12,77.78
8,18,75,fast,375,268,104,71.47,416,293,118,70.43
8,18,75,middle,227,160,64,70.48,232,170,61,73.28
8,18,75,slow,25,20,5,80.0,39,30,9,76.92
8,24,40,fast,398,285,110,71.61,447,317,125,70.92
8,24,40,middle,168,115,50,68.45,181,132,48,72.93
8,24,40,slow,71,50,21,70.42,73,54,19,73.97
8,24,50,fast,388,278,107,71.65,440,312,123,70.91
8,24,50,middle,164,113,48,68.9,179,132,46,73.74
8,24,50,slow,51,36,15,70.59,57,45,12,78.95
8,24,60,fast,374,268,103,71.66,421,297,119,70.55
8,24,60,middle,158,109,46,68.99,175,129,45,73.71
8,24,60,slow,37,28,9,75.68,47,37,10,78.72
8,24,75,fast,356,255,98,71.63,405,284,116,70.12
8,24,75,middle,149,102,44,68.46,163,118,44,72.39
8,24,75,slow,24,18,6,75.0,33,26,7,78.79
8,30,40,fast,377,268,106,71.09,432,305,122,70.6
8,30,40,middle,100,65,34,65.0,115,89,25,77.39
8,30,40,slow,55,37,18,67.27,66,50,16,75.76
8,30,50,fast,363,258,102,71.07,412,289,118,70.15
8,30,50,middle,96,62,33,64.58,113,87,25,76.99
8,30,50,slow,32,22,10,68.75,50,38,12,76.0
8,30,60,fast,352,250,99,71.02,405,282,118,69.63
8,30,60,middle,94,60,33,63.83,109,83,25,76.15
8,30,60,slow,24,16,8,66.67,40,29,11,72.5
8,30,75,fast,335,240,92,71.64,392,273,114,69.64
8,30,75,middle,93,60,32,64.52,100,75,24,75.0
8,30,75,slow,17,12,5,70.59,29,21,8,72.41
8,36,40,fast,351,250,98,71.23,406,287,114,70.69
8,36,40,middle,59,38,20,64.41,67,53,14,79.1
8,36,40,slow,43,28,15,65.12,51,39,12,76.47
8,36,50,fast,339,243,93,71.68,394,276,113,70.05
8,36,50,middle,57,37,19,64.91,64,50,14,78.12
8,36,50,slow,22,14,8,63.64,34,26,8,76.47
8,36,60,fast,328,237,88,72.26,387,268,114,69.25
8,36,60,middle,58,38,19,65.52,59,45,14,76.27
8,36,60,slow,19,12,7,63.16,24,16,8,66.67
8,36,75,fast,318,227,88,71.38,372,261,106,70.16
8,36,75,middle,55,37,17,67.27,58,44,14,75.86
8,36,75,slow,12,8,4,66.67,19,14,5,73.68
8,42,50,fast,318,231,84,72.64,376,261,110,69.41
8,42,50,middle,25,17,8,68.0,30,22,8,73.33
8,42,50,slow,13,9,4,69.23,19,15,4,78.95
8,42,60,fast,310,224,83,72.26,369,257,107,69.65
8,42,60,middle,24,16,8,66.67,29,21,8,72.41
8,42,60,slow,11,8,3,72.73,15,11,4,73.33
8,42,75,fast,300,216,81,72.0,352,247,100,70.17
8,42,75,middle,24,16,8,66.67,27,19,8,70.37
8,42,75,slow,8,6,2,75.0,10,8,2,80.0
11,18,40,fast,375,267,105,71.2,416,302,108,72.6
11,18,40,middle,266,189,74,71.05,279,210,68,75.27
11,18,40,slow,97,70,27,72.16,93,71,22,76.34
11,18,50,fast,358,255,100,71.23,399,286,107,71.68
11,18,50,middle,252,178,71,70.63,263,195,67,74.14
11,18,50,slow,64,43,21,67.19,67,51,16,76.12
11,18,60,fast,350,251,96,71.71,390,280,104,71.79
11,18,60,middle,243,173,67,71.19,252,188,63,74.6
11,18,60,slow,45,32,13,71.11,55,43,12,78.18
11,18,75,fast,331,235,93,71.0,370,263,101,71.08
11,18,75,middle,228,161,64,70.61,234,172,61,73.5
11,18,75,slow,26,19,7,73.08,39,30,9,76.92
11,24,40,fast,344,243,98,70.64,394,282,106,71.57
11,24,40,middle,169,115,51,68.05,182,133,48,73.08
11,24,40,slow,70,49,21,70.0,75,56,19,74.67
11,24,50,fast,337,239,95,70.92,389,279,104,71.72
11,24,50,middle,164,112,49,68.29,180,133,46,73.89
11,24,50,slow,49,33,16,67.35,59,46,13,77.97
11,24,60,fast,327,232,92,70.95,377,269,102,71.35
11,24,60,middle,158,108,47,68.35,176,130,45,73.86
11,24,60,slow,35,25,10,71.43,49,38,11,77.55
11,24,75,fast,313,221,89,70.61,362,257,99,70.99
11,24,75,middle,149,101,45,67.79,164,119,44,72.56
11,24,75,slow,21,15,6,71.43,34,26,8,76.47
11,30,40,fast,326,230,93,70.55,381,272,103,71.39
11,30,40,middle,99,63,35,63.64,114,88,25,77.19
11,30,40,slow,55,37,18,67.27,68,52,16,76.47
11,30,50,fast,316,222,91,70.25,368,261,101,70.92
11,30,50,middle,95,60,34,63.16,111,86,24,77.48
11,30,50,slow,33,22,11,66.67,50,39,11,78.0
11,30,60,fast,311,217,91,69.77,362,256,100,70.72
11,30,60,middle,93,58,34,62.37,107,82,24,76.64
11,30,60,slow,25,16,9,64.0,40,30,10,75.0
11,30,75,fast,295,207,85,70.17,349,246,97,70.49
11,30,75,middle,93,58,34,62.37,99,75,23,75.76
11,30,75,slow,18,12,6,66.67,28,21,7,75.0
11,36,40,fast,304,213,88,70.07,360,257,97,71.39
11,36,40,middle,60,38,21,63.33,68,54,14,79.41
11,36,40,slow,44,29,15,65.91,53,41,12,77.36
11,36,50,fast,298,209,86,70.13,351,249,96,70.94
11,36,50,middle,58,37,20,63.79,65,51,14,78.46
11,36,50,slow,24,15,9,62.5,35,27,8,77.14
11,36,60,fast,288,203,82,70.49,343,241,96,70.26
11,36,60,middle,59,38,20,64.41,60,46,14,76.67
11,36,60,slow,20,12,8,60.0,25,17,8,68.0
11,36,75,fast,279,195,81,69.89,333,235,92,70.57
11,36,75,middle,57,37,19,64.91,59,45,14,76.27
