Fast,Middle,Slow,BounceEMA,DevN,DevTarget,DevStop,DevRate,HoldN,HoldTarget,HoldStop,HoldRate
5,18,40,fast,248,178,69,71.77,262,190,71,72.52
5,18,40,middle,175,124,48,70.86,197,145,51,73.6
5,18,40,slow,67,52,15,77.61,58,44,14,75.86
5,18,50,fast,237,170,66,71.73,251,180,70,71.71
5,18,50,middle,165,116,46,70.3,187,136,50,72.73
5,18,50,slow,41,32,9,78.05,44,34,10,77.27
5,18,60,fast,230,163,66,70.87,241,176,64,73.03
5,18,60,middle,160,112,45,70.0,180,132,47,73.33
5,18,60,slow,28,22,6,78.57,36,28,8,77.78
5,18,75,fast,216,152,63,70.37,232,170,61,73.28
5,18,75,middle,151,105,43,69.54,168,122,45,72.62
5,18,75,slow,17,14,3,82.35,22,17,5,77.27
5,24,40,fast,228,162,65,71.05,251,181,69,72.11
5,24,40,middle,114,78,33,68.42,122,89,32,72.95
5,24,40,slow,51,39,12,76.47,50,37,13,74.0
5,24,50,fast,222,157,64,70.72,244,178,65,72.95
5,24,50,middle,112,77,32,68.75,122,90,31,73.77
5,24,50,slow,33,26,7,78.79,42,33,9,78.57
5,24,60,fast,216,152,63,70.37,234,170,63,72.65
5,24,60,middle,111,76,32,68.47,119,88,30,73.95
5,24,60,slow,25,20,5,80.0,35,27,8,77.14
5,24,75,fast,202,143,58,70.79,230,168,61,73.04
5,24,75,middle,104,71,30,68.27,111,81,29,72.97
5,24,75,slow,15,12,3,80.0,21,16,5,76.19
5,30,40,fast,218,152,65,69.72,236,172,63,72.88
5,30,40,middle,71,47,23,66.2,73,60,12,82.19
5,30,40,slow,40,30,10,75.0,45,35,10,77.78
5,30,50,fast,211,147,63,69.67,231,167,63,72.29
5,30,50,middle,70,46,23,65.71,74,60,13,81.08
5,30,50,slow,24,19,5,79.17,37,29,8,78.38
5,30,60,fast,200,140,59,70.0,227,164,62,72.25
5,30,60,middle,68,44,23,64.71,71,57,13,80.28
5,30,60,slow,16,12,4,75.0,30,22,8,73.33
5,30,75,fast,188,135,52,71.81,222,162,59,72.97
5,30,75,middle,67,44,22,65.67,64,51,12,79.69
5,30,75,slow,11,9,2,81.82,19,14,5,73.68
5,36,40,fast,202,140,61,69.31,227,165,61,72.69
5,36,40,middle,41,28,12,68.29,46,37,9,80.43
5,36,40,slow,35,25,10,71.43,36,27,9,75.0
5,36,50,fast,190,133,56,70.0,221,160,60,72.4
5,36,50,middle,40,27,12,67.5,44,35,9,79.55
5,36,50,slow,19,14,5,73.68,25,18,7,72.0
5,36,60,fast,183,130,52,71.04,219,158,60,72.15
5,36,60,middle,41,28,12,68.29,39,30,9,76.92
5,36,60,slow,15,11,4,73.33,16,9,7,56.25
5,36,75,fast,179,127,51,70.95,212,154,57,72.64
5,36,75,middle,39,27,11,69.23,39,30,9,76.92
5,36,75,slow,8,6,2,75.0,12,8,4,66.67
5,42,50,fast,178,129,48,72.47,214,155,58,72.43
5,42,50,middle,21,15,6,71.43,23,17,6,73.91
5,42,50,slow,13,9,4,69.23,14,10,4,71.43
5,42,60,fast,174,126,47,72.41,211,154,56,72.99
5,42,60,middle,20,14,6,70.0,23,17,6,73.91
5,42,60,slow,10,7,3,70.0,11,7,4,63.64
5,42,75,fast,171,124,46,72.51,202,148,53,73.27
5,42,75,middle,21,14,7,66.67,21,15,6,71.43
5,42,75,slow,7,4,3,57.14,7,5,2,71.43
8,18,40,fast,289,207,79,71.63,324,232,89,71.6
8,18,40,middle,174,127,44,72.99,197,146,50,74.11
8,18,40,slow,66,52,14,78.79,63,47,16,74.6
8,18,50,fast,274,196,75,71.53,309,218,88,70.55
8,18,50,middle,164,119,42,72.56,187,137,49,73.26
8,18,50,slow,41,33,8,80.49,48,36,12,75.0
8,18,60,fast,267,189,75,70.79,299,213,83,71.24
8,18,60,middle,159,115,41,72.33,180,133,46,73.89
8,18,60,slow,29,24,5,82.76,40,30,10,75.0
8,18,75,fast,251,176,72,70.12,285,202,80,70.88
8,18,75,middle,149,107,39,71.81,168,123,44,73.21
