name,selected,resolved,target,stop,none,target_rate,ticks_per_selected,dev_n,dev_rate,hold_n,hold_rate,long_n,long_rate,short_n,short_rate,overlap_current,new_vs_current
CURRENT_STRICT_PIN,67,67,54,13,0,80.597,2.0896,29,72.4138,38,86.8421,32,78.125,35,82.8571,67,0
CURRENT_7_CLEAR_0_4,310,309,235,74,1,76.0518,1.4032,167,70.4819,143,82.5175,164,83.5366,146,67.5862,310,0
CURRENT_MOMENTUM_UNION,377,376,289,87,1,76.8617,1.5252,196,70.7692,181,83.4254,196,82.6531,181,70.5556,377,0
STRONG_BODY7_FULL_BODY_NO_TAIL,62,62,49,13,0,79.0323,1.8548,35,74.2857,27,85.1852,36,75.0,26,84.6154,0,62
STRONG_BODY7_TAIL_0,68,68,53,15,0,77.9412,1.6912,36,72.2222,32,84.375,37,75.6757,31,80.6452,0,68
STRONG_BODY7_TAIL_0_1,203,203,141,62,0,69.4581,0.4187,95,70.5263,108,68.5185,112,72.3214,91,65.9341,0,203
STRONG_BODY7_TAIL_1_3,247,247,165,82,0,66.8016,0.0202,109,67.8899,138,65.942,135,67.4074,112,66.0714,0,247
STRONG_BODY7_TAIL_3_5,138,138,101,37,0,73.1884,0.9783,70,64.2857,68,82.3529,75,74.6667,63,71.4286,127,11
STRONG_BODY7_ANY_TAIL,453,453,319,134,0,70.4194,0.5629,215,67.4419,238,73.1092,247,70.8502,206,69.9029,127,326
STRONG_CLOSE7_FULL_BODY_NO_TAIL,75,75,59,16,0,78.6667,1.8,41,73.1707,34,85.2941,45,75.5556,30,83.3333,0,75
STRONG_CLOSE7_TAIL_0,81,81,63,18,0,77.7778,1.6667,42,71.4286,39,84.6154,46,76.087,35,80.0,0,81
STRONG_CLOSE7_TAIL_0_1,243,243,170,73,0,69.9588,0.4938,117,70.9402,126,69.0476,133,70.6767,110,69.0909,0,243
STRONG_CLOSE7_TAIL_1_3,285,285,192,93,0,67.3684,0.1053,129,69.7674,156,65.3846,149,65.7718,136,69.1176,0,285
STRONG_CLOSE7_TAIL_3_5,150,150,109,41,0,72.6667,0.9,76,64.4737,74,81.0811,81,74.0741,69,71.0145,130,20
STRONG_CLOSE7_ANY_TAIL,516,516,364,152,0,70.5426,0.5814,247,68.4211,269,72.4907,276,69.9275,240,71.25,130,386
MODERATE_BODY7_FULL_BODY_NO_TAIL,101,101,76,25,0,75.2475,1.2871,46,73.913,55,76.3636,55,76.3636,46,73.913,0,101
MODERATE_BODY7_TAIL_0,118,118,89,29,0,75.4237,1.3136,56,76.7857,62,74.1935,63,77.7778,55,72.7273,0,118
MODERATE_BODY7_TAIL_0_1,432,432,303,129,0,70.1389,0.5208,208,70.1923,224,70.0893,223,71.7489,209,68.4211,0,432
MODERATE_BODY7_TAIL_1_3,562,561,391,170,1,69.697,0.4537,272,69.0037,290,70.3448,294,69.6246,268,69.7761,0,562
MODERATE_BODY7_TAIL_3_5,350,349,263,86,1,75.3582,1.3,171,67.6471,179,82.6816,181,81.6667,169,68.6391,303,47
MODERATE_BODY7_ANY_TAIL,1030,1028,743,285,2,72.2763,0.8398,499,69.4165,531,74.9529,538,74.6269,492,69.7154,303,727
MODERATE_CLOSE7_FULL_BODY_NO_TAIL,151,151,114,37,0,75.4967,1.3245,69,71.0145,82,79.2683,86,76.7442,65,73.8462,0,151
MODERATE_CLOSE7_TAIL_0,168,168,127,41,0,75.5952,1.3393,79,73.4177,89,77.5281,94,77.6596,74,72.973,0,168
MODERATE_CLOSE7_TAIL_0_1,658,654,462,192,4,70.6422,0.5927,318,69.7161,340,71.5134,345,71.4286,313,69.7749,0,658
MODERATE_CLOSE7_TAIL_1_3,825,820,568,252,5,69.2683,0.3879,411,69.6822,414,68.8564,429,68.0751,396,70.5584,0,825
MODERATE_CLOSE7_TAIL_3_5,422,421,315,106,1,74.8219,1.2204,200,67.8392,222,81.0811,222,80.543,200,68.5,306,116
MODERATE_CLOSE7_ANY_TAIL,1415,1409,1010,399,6,71.682,0.7491,690,69.5779,725,73.6842,745,73.0094,670,70.2096,306,1109
