bar,time,direction,tail,body_ticks,distance8,close_extension,slope8,slope24,slope50,gap824,gap2450,body_depth,close_depth,strong_fan,moderate_fan,segment,outcome
985,2026-08-03 06:31:05.924,-1,3.0,2.0,-1.5480400000014924,1.0,53.732044,29.493803,17.536389,2.239208000002691,1.4361639999988256,0,0,False,False,DEV,TARGET
989,2026-08-03 06:31:14.652,-1,2.0,3.0,0.24815600000147242,4.0,39.084673,26.518248,17.324486,3.490780000000086,2.1730919999972684,1,2,False,False,DEV,NONE
991,2026-08-03 06:31:19.488,-1,0.0,0.0,1.187155999999959,-1.0,40.480467,29.755284,19.992234,3.5966799999987416,2.482132000001002,0,0,False,False,DEV,TARGET
998,2026-08-03 06:31:28.404,-1,2.0,3.0,-0.6958679999988817,4.0,24.612951,18.617129,14.669993,2.7236559999983,2.7044040000000678,1,6,False,False,DEV,STOP
1020,2026-08-03 06:32:35.808,1,2.0,3.0,1.3142159999988507,2.0,62.648807,42.658283,24.095998,4.688959999999497,0.825328000002628,0,0,False,False,DEV,TARGET
1021,2026-08-03 06:32:38.928,1,1.0,4.0,3.7999479999998584,5.0,63.686398,45.968145,27.528631,5.9229720000003,1.4456439999994473,1,10,False,False,DEV,NONE
1023,2026-08-03 06:32:45.956,1,2.0,3.0,1.274040000000241,2.0,63.58759,49.784671,32.411965,7.181039999999484,2.4686880000008387,0,0,False,True,DEV,STOP
1025,2026-08-03 06:32:55.424,1,3.0,2.0,-1.6366920000000391,1.0,50.989594,45.090645,30.396067,7.25227200000154,3.1983239999972284,0,0,False,True,DEV,TARGET
1032,2026-08-03 06:33:19.428,1,2.0,3.0,-1.7036520000001474,4.0,4.577784,20.757915,18.194108,4.176400000000285,3.8329999999987194,1,3,False,False,DEV,TARGET
1033,2026-08-03 06:33:22.224,1,3.0,2.0,-0.10283999999955995,3.0,38.765012,31.606846,24.060728,4.7377679999990505,4.109811999998783,6,8,False,False,DEV,TARGET
1034,2026-08-03 06:33:27.268,1,1.0,4.0,2.69778800000131,5.0,56.545701,41.545415,30.364001,5.766343999999663,4.545519999999669,9,10,False,True,DEV,TARGET
1035,2026-08-03 06:33:28.280,1,3.0,2.0,3.320503999999346,3.0,63.342379,47.947845,35.247645,6.826499999999214,5.038739999999962,10,10,False,True,DEV,TARGET
1036,2026-08-03 06:33:31.456,1,1.0,4.0,5.360391999998683,5.0,68.295038,53.804695,40.327616,8.1748520000001,5.662824000002729,10,10,True,True,DEV,TARGET
1038,2026-08-03 06:33:41.112,1,1.0,4.0,1.1809759999996459,3.0,63.95815,53.702465,41.545473,8.881652000000031,6.464692000001378,0,0,True,True,DEV,TARGET
1040,2026-08-03 06:33:49.164,1,2.0,3.0,-0.31027199999880395,2.0,54.828365,50.426652,40.203549,9.052879999999277,7.127863999998226,0,0,False,True,DEV,TARGET
1042,2026-08-03 06:33:56.740,1,2.0,3.0,-1.817323999999644,2.0,43.500814,46.475862,38.441421,8.596268000001146,7.562079999999696,0,0,False,False,DEV,TARGET
1043,2026-08-03 06:34:01.108,1,2.0,3.0,0.5865239999984624,4.0,45.968755,47.078715,39.177535,8.930104000002757,7.909059999998135,1,10,False,True,DEV,TARGET
1044,2026-08-03 06:34:02.156,1,0.0,5.0,4.011740000001737,6.0,59.437302,52.62862,43.223427,9.86355999999796,8.435656000001472,10,10,False,True,DEV,TARGET
1045,2026-08-03 06:34:04.996,1,1.0,4.0,5.8980200000005425,5.0,67.616927,58.067802,47.701787,11.067255999998451,9.078584000002593,10,10,True,True,DEV,TARGET
1046,2026-08-03 06:34:06.032,1,0.0,5.0,8.142904000000271,6.0,72.376258,62.604002,51.961634,12.585147999998298,9.863108000001375,10,10,True,True,DEV,TARGET
1047,2026-08-03 06:34:11.036,1,3.0,2.0,7.555592000000615,3.0,73.991151,65.040766,54.675263,13.87421600000016,10.647971999998845,10,10,True,True,DEV,STOP
1061,2026-08-03 06:35:08.932,1,1.0,4.0,-0.24993199999880744,5.0,22.180839,19.435212,27.754204,3.0848799999985204,8.771735999998782,1,7,False,False,DEV,TARGET
1062,2026-08-03 06:35:16.396,1,2.0,3.0,1.805607999998756,4.0,50.334689,32.806589,33.522316,4.08254400000078,8.910427999999229,8,9,False,True,DEV,TARGET
1064,2026-08-03 06:35:31.372,1,1.0,4.0,0.24042800000097486,3.0,56.366483,40.386883,37.408124,5.04250399999728,9.029404000000795,0,0,False,True,DEV,TARGET
1067,2026-08-03 06:35:37.224,1,2.0,3.0,1.1144959999983257,4.0,46.17769,37.774351,36.206196,5.843548000000737,9.158124000001408,1,10,False,True,DEV,TARGET
1068,2026-08-03 06:35:37.732,1,1.0,4.0,3.644607999998698,5.0,60.58171,46.658418,41.130129,6.95679200000086,9.490608000000066,10,10,True,True,DEV,TARGET
1069,2026-08-03 06:35:44.004,1,3.0,2.0,4.056916000001365,3.0,66.208291,52.321695,44.882257,8.0563719999991,9.877071999999316,10,10,True,True,DEV,TARGET
1073,2026-08-03 06:36:10.576,1,2.0,3.0,0.499415999998746,4.0,39.050615,42.188216,39.919946,7.845700000001671,10.233496000000741,1,2,False,False,DEV,TARGET
1075,2026-08-03 06:36:20.456,1,1.0,4.0,-0.5497360000008484,3.0,50.353671,46.334017,42.399146,7.912240000001475,10.439203999998426,0,0,False,True,DEV,TARGET
1079,2026-08-03 06:36:34.412,1,1.0,4.0,-0.54304399999819,5.0,16.580893,32.341023,35.380429,6.337019999999029,10.139963999998145,1,2,False,False,DEV,TARGET
1080,2026-08-03 06:36:45.672,1,3.0,2.0,0.7998520000001008,3.0,46.298846,41.213677,39.559803,6.890608000001521,10.304895999997825,5,10,False,True,DEV,TARGET
1081,2026-08-03 06:36:52.268,1,3.0,2.0,1.844332000000577,3.0,58.450318,47.703498,43.151964,7.590887999998813,10.54070800000045,10,10,False,True,DEV,TARGET
1083,2026-08-03 06:36:58.132,1,1.0,4.0,0.26385600000139675,3.0,56.520317,48.620494,44.066199,8.021315999998478,10.806412000001728,0,0,False,True,DEV,TARGET
1084,2026-08-03 06:37:09.768,1,1.0,4.0,2.9829959999988205,5.0,58.320655,50.294905,45.239569,8.839360000001761,11.128379999998288,1,10,False,True,DEV,TARGET
1085,2026-08-03 06:37:22.084,1,2.0,3.0,4.320107999999891,4.0,65.048291,54.996171,48.384547,9.836459999998624,11.541196000001946,10,10,True,True,DEV,STOP
1103,2026-08-03 06:38:55.400,1,4.0,1.0,-0.37004000000160886,2.0,45.446496,16.715757,21.186109,0.7349240000003192,6.020712000001367,10,10,False,False,DEV,TARGET
1106,2026-08-03 06:39:22.868,1,2.0,3.0,0.6928320000006352,4.0,44.393249,23.495824,24.003436,2.3678760000002512,5.988983999999618,1,10,False,False,DEV,TARGET
1108,2026-08-03 06:39:51.832,1,4.0,1.0,-1.5561879999986559,0.0,52.257092,32.876681,28.866292,3.378767999998672,6.14678400000048,0,0,False,True,DEV,TARGET
1109,2026-08-03 06:39:56.208,1,1.0,4.0,1.5674120000003313,5.0,53.975425,36.053758,30.7528,4.309364000000642,6.387903999999253,1,1,False,True,DEV,STOP
1111,2026-08-03 06:40:05.352,1,0.0,0.0,0.7753479999992123,-1.0,41.652732,32.647406,29.327757,4.12515600000188,6.38342399999965,0,0,False,False,DEV,STOP
1127,2026-08-03 06:41:05.012,1,1.0,4.0,3.0835320000005595,5.0,58.906688,26.157598,16.047294,1.2111999999979162,1.6989560000001802,1,10,False,False,DEV,STOP
1148,2026-08-03 06:42:27.084,-1,2.0,3.0,0.4739679999984219,2.0,61.059922,38.153673,20.012272,3.48372400000153,0.2773320000014792,0,0,False,False,DEV,TARGET
1152,2026-08-03 06:42:47.524,-1,1.0,4.0,-0.4842239999998128,3.0,48.64666,36.063054,21.31603,4.780623999999079,1.5234960000016144,0,0,False,True,DEV,TARGET
1155,2026-08-03 06:43:01.660,-1,1.0,4.0,0.8119479999986652,5.0,42.02756,35.000593,22.363028,5.383784000001469,2.3899160000000848,1,10,False,False,DEV,STOP
1168,2026-08-03 06:43:52.160,-1,3.0,2.0,-1.3091679999997723,3.0,19.315387,14.330439,12.770411,2.145096000000194,2.7365239999999176,1,7,False,False,DEV,STOP
1315,2026-08-03 07:00:00.304,1,2.0,3.0,0.6509200000000419,2.0,60.667942,53.449875,47.638569,9.559064000000944,11.576259999998001,0,0,True,True,DEV,STOP
1317,2026-08-03 07:00:01.372,1,0.0,5.0,0.9246319999983825,4.0,55.351227,51.89432,47.140579,9.782700000003388,11.939251999996486,0,0,False,True,DEV,STOP
1333,2026-08-03 07:02:07.568,1,2.0,3.0,-1.2302920000001905,4.0,9.224137,7.9639,20.550507,1.4848999999994703,7.458644000002096,1,2,False,False,DEV,TARGET
1335,2026-08-03 07:02:14.248,1,0.0,5.0,0.39155200000095647,4.0,49.033755,27.834502,28.859709,2.735947999997734,7.4513240000014775,0,0,False,False,DEV,TARGET
1337,2026-08-03 07:02:21.004,1,2.0,3.0,-1.9977040000012494,2.0,44.320734,28.874143,29.271088,3.1776200000022072,7.353243999998085,0,0,False,False,DEV,TARGET
1340,2026-08-03 07:02:55.292,1,2.0,3.0,1.0024520000006305,4.0,44.99851,31.791538,30.523111,4.3179999999993015,7.443943999998737,1,10,False,False,DEV,TARGET
1341,2026-08-03 07:03:06.748,1,1.0,4.0,3.557464000001346,5.0,60.123432,42.517796,36.368005,5.537351999999373,7.776859999998123,10,10,False,True,DEV,TARGET
1342,2026-08-03 07:03:19.096,1,2.0,3.0,4.766916000000492,4.0,66.6539,49.963601,41.265596,6.88031200000114,8.20987199999945,10,10,True,True,DEV,STOP
1364,2026-08-03 07:06:02.236,1,4.0,1.0,-0.1531119999999646,2.0,47.650587,15.549563,12.151542,0.28516400000080466,2.2005319999989297,7,7,False,False,DEV,NONE
1367,2026-08-03 07:06:34.428,1,4.0,1.0,-1.365591999998287,2.0,36.408543,17.380966,13.535576,1.5585959999989427,2.4173759999976028,1,1,False,False,DEV,STOP
1376,2026-08-03 07:07:41.732,1,4.0,1.0,-3.1733039999999164,2.0,-2.053463,3.561758,6.860196,1.0252399999990303,2.245284000000538,1,1,False,False,DEV,STOP
1384,2026-08-03 07:09:10.280,1,0.0,5.0,0.377916000001278,4.0,48.907463,17.568011,10.942708,0.5180839999993623,1.2656959999985702,0,0,False,False,DEV,TARGET
1387,2026-08-03 07:10:17.404,1,4.0,1.0,-0.5108040000013716,2.0,43.917377,22.810323,14.570168,2.1450839999997697,1.747644000002765,1,1,False,False,DEV,TARGET
