BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
1044,2026-08-03 06:34:02.156,LONG,7561.250000,TARGET,NONE,,,0,False
1046,2026-08-03 06:34:06.032,LONG,7564.000000,TARGET,NONE,,,0,False
1776,2026-08-03 12:01:20.468,LONG,7636.250000,TARGET,NONE,,,0,False
2588,2026-08-04 06:32:26.700,LONG,7668.250000,TARGET,TARGET,2026-08-04 06:32:44,7669.500000,3093,False
2698,2026-08-04 07:00:01.304,LONG,7684.750000,TARGET,TARGET,2026-08-04 07:00:09,7686.000000,554,False
2707,2026-08-04 07:01:01.464,LONG,7688.000000,TARGET,TARGET,2026-08-04 07:01:38,7689.250000,8543,True
2853,2026-08-04 07:38:19.736,LONG,7706.500000,TARGET,TARGET,2026-08-04 07:38:20,7708.500000,1,True
2854,2026-08-04 07:38:19.736,LONG,7708.000000,TARGET,TARGET,2026-08-04 07:38:20,7709.250000,406,True
3580,2026-08-04 12:55:17.188,SHORT,7768.000000,TARGET,TARGET,2026-08-04 12:55:19,7766.750000,190,False
4529,2026-08-05 06:35:55.316,LONG,7815.500000,STOP,STOP,2026-08-05 06:36:04,7813.000000,2868,False
4903,2026-08-05 07:05:26.148,LONG,7815.500000,TARGET,TARGET,2026-08-05 07:05:28,7816.750000,573,False
5065,2026-08-05 07:23:22.464,SHORT,7800.750000,STOP,STOP,2026-08-05 07:24:10,7803.250000,15669,False
5117,2026-08-05 07:29:07.060,SHORT,7803.750000,TARGET,TARGET,2026-08-05 07:29:10,7802.500000,951,False
5189,2026-08-05 07:36:36.600,SHORT,7794.250000,TARGET,TARGET,2026-08-05 07:36:46,7793.000000,2689,False
5319,2026-08-05 07:52:26.776,SHORT,7787.500000,TARGET,TARGET,2026-08-05 07:52:34,7786.250000,3053,False
5326,2026-08-05 07:53:42.092,SHORT,7783.000000,TARGET,TARGET,2026-08-05 07:53:43,7781.250000,1,True
5327,2026-08-05 07:53:42.116,SHORT,7781.500000,TARGET,TARGET,2026-08-05 07:53:43,7780.250000,466,True
6483,2026-08-05 12:59:41.384,SHORT,7752.500000,TARGET,TARGET,2026-08-05 12:59:44,7750.750000,608,False
6485,2026-08-05 12:59:44.976,SHORT,7750.250000,TARGET,TARGET,2026-08-05 12:59:45,7749.000000,69,False
7787,2026-08-06 07:26:24.348,SHORT,7755.000000,TARGET,TARGET,2026-08-06 07:26:32,7753.750000,3234,True
7788,2026-08-06 07:26:24.348,SHORT,7753.500000,STOP,STOP,2026-08-06 07:26:29,7756.000000,1672,True
10494,2026-08-07 07:17:34.668,LONG,7758.000000,STOP,STOP,2026-08-07 07:18:00,7755.500000,9615,True
10516,2026-08-07 07:20:00.788,LONG,7766.000000,STOP,STOP,2026-08-07 07:20:15,7763.500000,7237,False
10554,2026-08-07 07:25:25.212,LONG,7772.250000,TARGET,TARGET,2026-08-07 07:25:42,7773.500000,4656,False
10574,2026-08-07 07:28:48.560,LONG,7780.000000,STOP,STOP,2026-08-07 07:29:30,7777.500000,10404,False
11319,2026-08-07 12:01:27.460,LONG,7770.500000,TARGET,TARGET,2026-08-07 12:01:29,7771.750000,768,False
11441,2026-08-07 12:59:00.868,LONG,7784.000000,TARGET,TARGET,2026-08-07 12:59:14,7785.250000,3927,False
12259,2026-08-10 07:29:36.656,LONG,7790.000000,TARGET,TARGET,2026-08-10 07:30:53,7791.250000,13540,False
12294,2026-08-10 07:45:48.472,LONG,7795.250000,TARGET,TARGET,2026-08-10 07:47:17,7796.500000,7719,False
12715,2026-08-10 11:30:56.704,SHORT,7771.250000,TARGET,TARGET,2026-08-10 11:37:10,7770.000000,16269,False
14779,2026-08-12 06:32:59.960,SHORT,7773.000000,STOP,STOP,2026-08-12 06:33:28,7775.500000,12418,False
15029,2026-08-12 07:18:23.192,LONG,7772.750000,TARGET,TARGET,2026-08-12 07:18:49,7774.000000,3306,False
15090,2026-08-12 07:31:09.848,SHORT,7762.500000,TARGET,TARGET,2026-08-12 07:31:10,7760.750000,77,True
16031,2026-08-13 06:36:59.040,LONG,7805.000000,TARGET,TARGET,2026-08-13 06:37:03,7806.250000,1334,False
16149,2026-08-13 07:22:16.768,LONG,7833.500000,TARGET,TARGET,2026-08-13 07:22:57,7834.750000,3796,False
16201,2026-08-13 07:49:13.060,SHORT,7821.000000,TARGET,TARGET,2026-08-13 07:49:29,7819.750000,3919,False
16552,2026-08-13 11:41:51.624,LONG,7820.750000,TARGET,TARGET,2026-08-13 11:47:15,7822.000000,14181,False
17739,2026-08-17 06:34:48.320,SHORT,7797.000000,TARGET,TARGET,2026-08-17 06:35:00,7795.750000,2840,False
17825,2026-08-17 07:00:20.040,SHORT,7791.500000,TARGET,STOP,2026-08-17 07:00:31,7794.000000,2208,True
17826,2026-08-17 07:00:20.040,SHORT,7791.250000,STOP,STOP,2026-08-17 07:00:23,7793.750000,668,True
19306,2026-08-18 07:11:58.900,SHORT,7717.250000,STOP,STOP,2026-08-18 07:12:40,7719.750000,10304,True
21235,2026-08-19 07:32:21.424,LONG,7742.250000,TARGET,TARGET,2026-08-19 07:33:29,7743.500000,10858,False
21254,2026-08-19 07:37:13.856,LONG,7747.250000,TARGET,TARGET,2026-08-19 07:37:32,7748.500000,2243,False
21310,2026-08-19 07:56:23.180,LONG,7757.250000,TARGET,TARGET,2026-08-19 07:57:04,7758.500000,4005,False
21318,2026-08-19 07:59:27.248,LONG,7762.250000,TARGET,TARGET,2026-08-19 08:01:29,7763.500000,16065,False
21701,2026-08-19 11:01:40.212,LONG,7739.250000,TARGET,TARGET,2026-08-19 11:01:59,7740.500000,1104,False
21864,2026-08-19 12:33:13.924,LONG,7743.000000,STOP,STOP,2026-08-19 12:35:09,7740.500000,6072,False
22990,2026-08-20 06:31:21.396,LONG,7702.250000,TARGET,TARGET,2026-08-20 06:31:29,7703.500000,2503,False
22993,2026-08-20 06:31:37.696,LONG,7706.000000,STOP,STOP,2026-08-20 06:32:17,7703.500000,11532,False
23034,2026-08-20 06:35:35.292,LONG,7715.000000,STOP,STOP,2026-08-20 06:37:11,7712.500000,28383,False
23092,2026-08-20 06:42:39.916,LONG,7714.250000,TARGET,TARGET,2026-08-20 06:43:49,7715.500000,17372,False
24140,2026-08-20 11:05:44.656,SHORT,7677.000000,TARGET,TARGET,2026-08-20 11:05:47,7675.750000,946,False
24316,2026-08-20 12:54:57.388,SHORT,7667.000000,TARGET,TARGET,2026-08-20 12:55:00,7665.750000,248,False
25199,2026-08-21 07:05:21.960,LONG,7687.750000,TARGET,TARGET,2026-08-21 07:06:03,7689.000000,7174,False
25204,2026-08-21 07:06:43.960,LONG,7690.750000,STOP,STOP,2026-08-21 07:07:30,7688.250000,8219,False
25810,2026-08-21 12:59:45.032,SHORT,7691.000000,TARGET,TARGET,2026-08-21 12:59:50,7689.750000,1508,False
26824,2026-08-24 06:31:03.340,SHORT,7670.500000,STOP,STOP,2026-08-24 06:31:09,7673.000000,2382,False
26883,2026-08-24 06:38:26.700,SHORT,7666.500000,TARGET,TARGET,2026-08-24 06:38:27,7665.250000,553,True
27660,2026-08-24 12:52:14.084,SHORT,7668.750000,STOP,STOP,2026-08-24 12:54:51,7671.250000,12480,False
28632,2026-08-25 07:30:27.824,SHORT,7677.250000,TARGET,TARGET,2026-08-25 07:30:28,7675.250000,1,True
28633,2026-08-25 07:30:28.000,SHORT,7675.750000,TARGET,NONE,,,0,True
28634,2026-08-25 07:30:28.124,SHORT,7674.250000,TARGET,NONE,,,0,True
28635,2026-08-25 07:30:28.156,SHORT,7674.000000,TARGET,NONE,,,0,True
28640,2026-08-25 07:30:28.284,SHORT,7671.250000,TARGET,TARGET,2026-08-25 07:30:29,7668.500000,1,True
28641,2026-08-25 07:30:28.312,SHORT,7671.000000,TARGET,TARGET,2026-08-25 07:30:29,7668.500000,1,True
28649,2026-08-25 07:30:29.008,SHORT,7666.500000,TARGET,TARGET,2026-08-25 07:30:30,7665.250000,1,True
29072,2026-08-25 12:53:48.736,LONG,7691.750000,TARGET,TARGET,2026-08-25 12:54:00,7693.000000,1507,False
29828,2026-08-26 06:43:34.524,LONG,7694.000000,TARGET,TARGET,2026-08-26 06:43:35,7695.750000,1,True
29829,2026-08-26 06:43:34.524,LONG,7695.500000,TARGET,TARGET,2026-08-26 06:43:35,7696.750000,557,True
29830,2026-08-26 06:43:34.524,LONG,7697.000000,TARGET,TARGET,2026-08-26 06:44:24,7698.250000,15929,True
31471,2026-08-27 06:39:55.444,LONG,7713.750000,TARGET,TARGET,2026-08-27 06:41:05,7715.000000,22541,False
