BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
1046,2026-08-03 06:34:06.032,LONG,7564.000000,TARGET,NONE,,,0,False
2588,2026-08-04 06:32:26.700,LONG,7668.250000,TARGET,TARGET,2026-08-04 06:32:44,7669.500000,3093,False
2599,2026-08-04 06:36:01.640,LONG,7672.250000,STOP,STOP,2026-08-04 06:37:02,7669.750000,11134,False
2707,2026-08-04 07:01:01.464,LONG,7688.000000,TARGET,TARGET,2026-08-04 07:01:38,7689.250000,8543,True
2853,2026-08-04 07:38:19.736,LONG,7706.500000,TARGET,TARGET,2026-08-04 07:38:20,7708.500000,1,True
2854,2026-08-04 07:38:19.736,LONG,7708.000000,TARGET,TARGET,2026-08-04 07:38:20,7709.250000,406,True
3580,2026-08-04 12:55:17.188,SHORT,7768.000000,TARGET,TARGET,2026-08-04 12:55:19,7766.750000,190,False
4584,2026-08-05 06:39:54.732,LONG,7819.500000,STOP,STOP,2026-08-05 06:39:59,7817.000000,4141,True
4903,2026-08-05 07:05:26.148,LONG,7815.500000,TARGET,TARGET,2026-08-05 07:05:28,7816.750000,573,False
5319,2026-08-05 07:52:26.776,SHORT,7787.500000,TARGET,TARGET,2026-08-05 07:52:34,7786.250000,3053,False
5326,2026-08-05 07:53:42.092,SHORT,7783.000000,TARGET,TARGET,2026-08-05 07:53:43,7781.250000,1,True
5327,2026-08-05 07:53:42.116,SHORT,7781.500000,TARGET,TARGET,2026-08-05 07:53:43,7780.250000,466,True
5330,2026-08-05 07:53:42.204,SHORT,7780.250000,TARGET,TARGET,2026-08-05 07:53:52,7779.000000,5378,True
6483,2026-08-05 12:59:41.384,SHORT,7752.500000,TARGET,TARGET,2026-08-05 12:59:44,7750.750000,608,False
6485,2026-08-05 12:59:44.976,SHORT,7750.250000,TARGET,TARGET,2026-08-05 12:59:45,7749.000000,69,False
7787,2026-08-06 07:26:24.348,SHORT,7755.000000,TARGET,TARGET,2026-08-06 07:26:32,7753.750000,3234,True
7788,2026-08-06 07:26:24.348,SHORT,7753.500000,STOP,STOP,2026-08-06 07:26:29,7756.000000,1672,True
7985,2026-08-06 07:57:41.688,LONG,7759.250000,TARGET,TARGET,2026-08-06 07:57:48,7760.500000,1563,False
10494,2026-08-07 07:17:34.668,LONG,7758.000000,STOP,STOP,2026-08-07 07:18:00,7755.500000,9615,True
10515,2026-08-07 07:19:57.472,LONG,7764.500000,TARGET,TARGET,2026-08-07 07:19:58,7765.750000,229,False
10516,2026-08-07 07:20:00.788,LONG,7766.000000,STOP,STOP,2026-08-07 07:20:15,7763.500000,7237,False
10554,2026-08-07 07:25:25.212,LONG,7772.250000,TARGET,TARGET,2026-08-07 07:25:42,7773.500000,4656,False
10574,2026-08-07 07:28:48.560,LONG,7780.000000,STOP,STOP,2026-08-07 07:29:30,7777.500000,10404,False
