Group,Horizon,Mode,Selected,Completed,Positive,BreakEven,Negative,AveragePnlTicks,MedianPnlTicks
ALL,12,BREAK_EVEN,1032,992,291,488,213,1.1230,0.0000
ALL,12,NO_BREAK_EVEN,1032,992,417,181,394,1.6210,-0.0000
ALL,24,BREAK_EVEN,1032,993,286,492,215,1.2004,0.0000
ALL,24,NO_BREAK_EVEN,1032,993,409,185,399,1.6203,-0.0000
ALL,48,BREAK_EVEN,1031,992,286,491,215,1.1885,0.0000
ALL,48,NO_BREAK_EVEN,1031,992,408,185,399,1.5907,-0.0000
EMA_BOUNCE,12,BREAK_EVEN,655,631,177,325,129,1.2203,0.0000
EMA_BOUNCE,12,NO_BREAK_EVEN,655,631,262,124,245,1.8130,-0.0000
EMA_BOUNCE,24,BREAK_EVEN,655,632,173,329,130,1.2690,0.0000
EMA_BOUNCE,24,NO_BREAK_EVEN,655,632,256,128,248,1.7595,0.0000
EMA_BOUNCE,48,BREAK_EVEN,654,631,173,328,130,1.2472,0.0000
EMA_BOUNCE,48,NO_BREAK_EVEN,654,631,255,128,248,1.7211,-0.0000
PIN_STRICT,12,BREAK_EVEN,67,61,22,28,11,2.7049,0.0000
PIN_STRICT,12,NO_BREAK_EVEN,67,61,27,13,21,2.6230,-0.0000
PIN_STRICT,24,BREAK_EVEN,67,61,22,28,11,3.2623,0.0000
PIN_STRICT,24,NO_BREAK_EVEN,67,61,27,13,21,3.1803,-0.0000
PIN_STRICT,48,BREAK_EVEN,67,61,22,28,11,3.2623,0.0000
PIN_STRICT,48,NO_BREAK_EVEN,67,61,27,13,21,3.1803,-0.0000
PIN7,12,BREAK_EVEN,310,300,92,135,73,0.5967,0.0000
PIN7,12,NO_BREAK_EVEN,310,300,128,44,128,1.0133,-0.0000
PIN7,24,BREAK_EVEN,310,300,91,135,74,0.6367,0.0000
PIN7,24,NO_BREAK_EVEN,310,300,126,44,130,1.0100,0.0000
PIN7,48,BREAK_EVEN,310,300,91,135,74,0.6433,0.0000
PIN7,48,NO_BREAK_EVEN,310,300,126,44,130,0.9933,0.0000
