BarNumber,Time,Group,Families,Direction,Horizon,Mode,Armed,ExitReason,PnlTicks
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,12,BREAK_EVEN,False,NO_TICK_WINDOW,
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,12,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,24,BREAK_EVEN,False,NO_TICK_WINDOW,
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,24,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,48,BREAK_EVEN,False,NO_TICK_WINDOW,
1025,2026-08-03 06:32:55.424,EMA_BOUNCE,EMA8,1,48,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,12,BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,12,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,24,BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,24,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,48,BREAK_EVEN,False,NO_TICK_WINDOW,
1027,2026-08-03 06:33:01.816,EMA_BOUNCE,EMA8,1,48,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,12,BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,12,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,24,BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,24,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,48,BREAK_EVEN,False,NO_TICK_WINDOW,
1029,2026-08-03 06:33:05.364,EMA_BOUNCE,EMA24,1,48,NO_BREAK_EVEN,False,NO_TICK_WINDOW,
1031,2026-08-03 06:33:11.392,EMA_BOUNCE,EMA24,1,12,BREAK_EVEN,False,NO_TICK_WINDOW,
