name,n,resolved,target,stop,none,rate,expectancy,dev_n,dev_rate,hold_n,hold_rate
ALL:CURRENT_STRICT,206,206,162,44,0,78.64077669902913,1.796116504854369,87,79.3103448275862,119,78.15126050420169
ALL:CORE_NO_DISTANCE,412,412,301,111,0,73.05825242718447,0.9587378640776699,181,70.7182320441989,231,74.89177489177489
ALL:ANY_BODY:close_depth>=1,412,412,301,111,0,73.05825242718447,0.9587378640776699,181,70.7182320441989,231,74.89177489177489
ALL:RESCUE:ANY_BODY:close_depth>=1,206,206,139,67,0,67.47572815533981,0.12135922330097088,94,62.765957446808514,112,71.42857142857143
ALL:ANY_BODY:close_depth>=2,397,397,292,105,0,73.55163727959697,1.0327455919395465,174,70.6896551724138,223,75.7847533632287
ALL:RESCUE:ANY_BODY:close_depth>=2,191,191,130,61,0,68.06282722513089,0.2094240837696335,87,62.06896551724138,104,73.07692307692308
ALL:ANY_BODY:close_depth>=3,395,395,291,104,0,73.67088607594937,1.0506329113924051,173,70.52023121387283,222,76.12612612612612
ALL:RESCUE:ANY_BODY:close_depth>=3,189,189,129,60,0,68.25396825396825,0.23809523809523808,86,61.627906976744185,103,73.7864077669903
ALL:ANY_BODY:close_depth>=5,394,394,290,104,0,73.60406091370558,1.0406091370558375,173,70.52023121387283,221,76.01809954751131
ALL:RESCUE:ANY_BODY:close_depth>=5,188,188,128,60,0,68.08510638297872,0.2127659574468085,86,61.627906976744185,102,73.52941176470588
ALL:ANY_BODY:close_depth>=7,394,394,290,104,0,73.60406091370558,1.0406091370558375,173,70.52023121387283,221,76.01809954751131
ALL:RESCUE:ANY_BODY:close_depth>=7,188,188,128,60,0,68.08510638297872,0.2127659574468085,86,61.627906976744185,102,73.52941176470588
ALL:ANY_BODY:close_depth>=10,393,393,289,104,0,73.53689567430025,1.0305343511450382,172,70.34883720930233,221,76.01809954751131
ALL:RESCUE:ANY_BODY:close_depth>=10,187,187,127,60,0,67.9144385026738,0.18716577540106952,85,61.1764705882353,102,73.52941176470588
ALL:ANY_BODY:body_depth>=1,412,412,301,111,0,73.05825242718447,0.9587378640776699,181,70.7182320441989,231,74.89177489177489
ALL:RESCUE:ANY_BODY:body_depth>=1,206,206,139,67,0,67.47572815533981,0.12135922330097088,94,62.765957446808514,112,71.42857142857143
ALL:ANY_BODY:body_depth>=2,367,367,268,99,0,73.02452316076294,0.9536784741144414,163,69.32515337423312,204,75.98039215686275
ALL:RESCUE:ANY_BODY:body_depth>=2,167,167,111,56,0,66.46706586826348,-0.029940119760479042,76,57.89473684210526,91,73.62637362637362
ALL:ANY_BODY:body_depth>=3,365,365,268,97,0,73.42465753424658,1.0136986301369864,162,69.75308641975309,203,76.35467980295566
ALL:RESCUE:ANY_BODY:body_depth>=3,165,165,111,54,0,67.27272727272727,0.09090909090909091,75,58.666666666666664,90,74.44444444444444
ALL:ANY_BODY:body_depth>=5,360,360,264,96,0,73.33333333333333,1.0,160,70.0,200,76.0
ALL:RESCUE:ANY_BODY:body_depth>=5,160,160,107,53,0,66.875,0.03125,73,58.9041095890411,87,73.5632183908046
ALL:ANY_BODY:body_depth>=7,359,359,263,96,0,73.25905292479109,0.9888579387186629,160,70.0,199,75.87939698492463
ALL:RESCUE:ANY_BODY:body_depth>=7,159,159,106,53,0,66.66666666666667,0.0,73,58.9041095890411,86,73.25581395348837
ALL:ANY_BODY:body_depth>=10,357,357,262,95,0,73.38935574229691,1.0084033613445378,158,70.25316455696202,199,75.87939698492463
ALL:RESCUE:ANY_BODY:body_depth>=10,157,157,105,52,0,66.87898089171975,0.03184713375796178,71,59.15492957746479,86,73.25581395348837
ALL:BODY_1_2:close_depth>=1,412,412,301,111,0,73.05825242718447,0.9587378640776699,181,70.7182320441989,231,74.89177489177489
ALL:RESCUE:BODY_1_2:close_depth>=1,206,206,139,67,0,67.47572815533981,0.12135922330097088,94,62.765957446808514,112,71.42857142857143
ALL:BODY_1_2:close_depth>=2,397,397,292,105,0,73.55163727959697,1.0327455919395465,174,70.6896551724138,223,75.7847533632287
ALL:RESCUE:BODY_1_2:close_depth>=2,191,191,130,61,0,68.06282722513089,0.2094240837696335,87,62.06896551724138,104,73.07692307692308
ALL:BODY_1_2:close_depth>=3,395,395,291,104,0,73.67088607594937,1.0506329113924051,173,70.52023121387283,222,76.12612612612612
ALL:RESCUE:BODY_1_2:close_depth>=3,189,189,129,60,0,68.25396825396825,0.23809523809523808,86,61.627906976744185,103,73.7864077669903
ALL:BODY_1_2:close_depth>=5,394,394,290,104,0,73.60406091370558,1.0406091370558375,173,70.52023121387283,221,76.01809954751131
ALL:RESCUE:BODY_1_2:close_depth>=5,188,188,128,60,0,68.08510638297872,0.2127659574468085,86,61.627906976744185,102,73.52941176470588
ALL:BODY_1_2:close_depth>=7,394,394,290,104,0,73.60406091370558,1.0406091370558375,173,70.52023121387283,221,76.01809954751131
ALL:RESCUE:BODY_1_2:close_depth>=7,188,188,128,60,0,68.08510638297872,0.2127659574468085,86,61.627906976744185,102,73.52941176470588
ALL:BODY_1_2:close_depth>=10,393,393,289,104,0,73.53689567430025,1.0305343511450382,172,70.34883720930233,221,76.01809954751131
ALL:RESCUE:BODY_1_2:close_depth>=10,187,187,127,60,0,67.9144385026738,0.18716577540106952,85,61.1764705882353,102,73.52941176470588
ALL:BODY_1_2:body_depth>=1,412,412,301,111,0,73.05825242718447,0.9587378640776699,181,70.7182320441989,231,74.89177489177489
ALL:RESCUE:BODY_1_2:body_depth>=1,206,206,139,67,0,67.47572815533981,0.12135922330097088,94,62.765957446808514,112,71.42857142857143
ALL:BODY_1_2:body_depth>=2,367,367,268,99,0,73.02452316076294,0.9536784741144414,163,69.32515337423312,204,75.98039215686275
ALL:RESCUE:BODY_1_2:body_depth>=2,167,167,111,56,0,66.46706586826348,-0.029940119760479042,76,57.89473684210526,91,73.62637362637362
ALL:BODY_1_2:body_depth>=3,365,365,268,97,0,73.42465753424658,1.0136986301369864,162,69.75308641975309,203,76.35467980295566
ALL:RESCUE:BODY_1_2:body_depth>=3,165,165,111,54,0,67.27272727272727,0.09090909090909091,75,58.666666666666664,90,74.44444444444444
ALL:BODY_1_2:body_depth>=5,360,360,264,96,0,73.33333333333333,1.0,160,70.0,200,76.0
