bar,time,direction,body,tail,bar_distance8,close_depth,body_depth,core,strict,prime,segment,outcome
35,2026-08-02 15:00:00.844,1,1.0,4.0,-2.1699,9,1,False,False,False,DEV,TARGET
40,2026-08-02 15:00:01.168,1,0.0,5.0,-0.9214,1,1,False,False,False,DEV,TARGET
44,2026-08-02 15:00:01.508,1,1.0,4.0,-1.3096,2,1,False,False,False,DEV,TARGET
68,2026-08-02 15:00:51.156,-1,2.0,3.0,0.4722,1,1,False,False,False,DEV,STOP
85,2026-08-02 15:01:18.536,-1,1.0,4.0,2.9943,10,10,False,False,False,DEV,TARGET
86,2026-08-02 15:01:21.820,-1,2.0,3.0,3.5511,10,10,False,False,False,DEV,TARGET
91,2026-08-02 15:01:34.096,-1,2.0,3.0,-0.1113,0,0,False,False,False,DEV,STOP
136,2026-08-02 15:08:23.084,1,2.0,3.0,-2.2628,2,1,False,False,False,DEV,STOP
148,2026-08-02 15:11:21.932,1,1.0,4.0,1.0399,10,1,False,False,False,DEV,TARGET
150,2026-08-02 15:11:43.740,1,2.0,3.0,4.0118,10,10,False,False,False,DEV,TARGET
154,2026-08-02 15:12:51.592,1,0.0,5.0,-2.9056,0,0,False,False,False,DEV,TARGET
183,2026-08-02 15:28:10.304,-1,2.0,3.0,0.0229,0,0,False,False,False,DEV,STOP
203,2026-08-02 15:52:58.932,-1,2.0,3.0,0.7903,10,1,False,False,False,DEV,TARGET
204,2026-08-02 15:56:12.608,-1,1.0,4.0,1.0591,10,10,False,False,False,DEV,TARGET
205,2026-08-02 15:57:24.772,-1,2.0,3.0,2.046,10,10,False,False,False,DEV,TARGET
276,2026-08-02 17:00:28.616,-1,2.0,3.0,0.3338,6,5,False,False,False,DEV,TARGET
307,2026-08-02 17:10:16.752,1,2.0,3.0,1.1153,10,10,False,False,False,DEV,TARGET
310,2026-08-02 17:11:22.868,1,0.0,5.0,-2.3628,0,0,False,False,False,DEV,STOP
319,2026-08-02 17:14:34.928,1,2.0,3.0,0.8755,9,7,False,False,False,DEV,TARGET
338,2026-08-02 17:28:14.140,-1,2.0,3.0,0.8191,10,1,False,False,False,DEV,TARGET
340,2026-08-02 17:28:52.100,-1,0.0,5.0,2.9276,10,10,False,False,False,DEV,STOP
373,2026-08-02 17:48:49.340,1,1.0,4.0,-0.1912,10,10,False,False,False,DEV,STOP
376,2026-08-02 17:51:03.216,1,2.0,3.0,0.1336,10,1,False,False,False,DEV,STOP
392,2026-08-02 18:03:54.660,1,2.0,3.0,-1.248,2,1,False,False,False,DEV,TARGET
396,2026-08-02 18:09:42.308,1,1.0,4.0,-3.4776,0,0,False,False,False,DEV,STOP
397,2026-08-02 18:10:18.468,1,1.0,4.0,-2.2603,1,1,False,False,False,DEV,STOP
411,2026-08-02 18:30:29.476,1,2.0,3.0,3.7171,10,10,False,False,False,DEV,STOP
416,2026-08-02 18:41:38.936,1,2.0,3.0,0.4916,3,3,False,False,False,DEV,TARGET
432,2026-08-02 19:13:44.360,1,0.0,5.0,-3.019,1,1,False,False,False,DEV,TARGET
448,2026-08-02 20:01:25.904,1,1.0,4.0,0.3907,10,10,False,False,False,DEV,STOP
449,2026-08-02 20:20:01.088,1,1.0,4.0,0.7483,10,10,False,False,False,DEV,STOP
456,2026-08-02 20:38:35.664,1,1.0,4.0,-2.0424,5,2,False,False,False,DEV,TARGET
467,2026-08-02 21:15:56.936,1,2.0,3.0,-2.5098,2,1,False,False,False,DEV,TARGET
469,2026-08-02 21:31:54.552,1,2.0,3.0,1.2595,10,5,False,False,False,DEV,TARGET
489,2026-08-02 22:41:24.200,1,1.0,4.0,-3.746,1,1,False,False,False,DEV,STOP
517,2026-08-02 23:39:41.628,-1,2.0,3.0,0.8696,4,4,False,False,False,DEV,TARGET
518,2026-08-02 23:45:00.084,-1,2.0,3.0,1.8986,10,10,False,False,False,DEV,TARGET
519,2026-08-02 23:48:22.224,-1,0.0,5.0,1.1433,10,10,False,False,False,DEV,TARGET
520,2026-08-02 23:51:33.964,-1,2.0,3.0,2.1115,10,10,False,False,False,DEV,TARGET
521,2026-08-02 23:55:31.264,-1,1.0,4.0,2.0867,10,10,False,False,False,DEV,TARGET
556,2026-08-03 00:17:52.040,-1,1.0,4.0,-1.1546,0,0,False,False,False,DEV,TARGET
609,2026-08-03 01:03:02.184,-1,2.0,3.0,2.8852,10,10,False,False,False,DEV,TARGET
614,2026-08-03 01:07:27.480,-1,2.0,3.0,-0.69,0,0,False,False,False,DEV,TARGET
627,2026-08-03 01:18:04.776,-1,1.0,4.0,0.5078,9,9,False,False,False,DEV,TARGET
633,2026-08-03 01:23:58.944,-1,2.0,3.0,-0.0191,10,1,False,False,False,DEV,TARGET
634,2026-08-03 01:24:29.168,-1,1.0,4.0,0.4296,10,10,False,False,False,DEV,TARGET
635,2026-08-03 01:27:05.620,-1,0.0,5.0,0.0008,10,10,False,False,False,DEV,TARGET
671,2026-08-03 01:56:55.056,1,2.0,3.0,3.0,10,10,False,False,False,DEV,TARGET
673,2026-08-03 01:58:59.788,1,2.0,3.0,-0.5926,0,0,False,False,False,DEV,TARGET
699,2026-08-03 02:35:39.172,1,0.0,5.0,-1.3446,6,6,False,False,False,DEV,TARGET
700,2026-08-03 02:36:11.460,1,1.0,4.0,-0.6013,7,7,False,False,False,DEV,STOP
706,2026-08-03 02:42:14.500,1,1.0,4.0,-2.853,3,3,False,False,False,DEV,STOP
721,2026-08-03 03:06:44.752,1,1.0,4.0,-0.3085,10,10,False,False,False,DEV,TARGET
726,2026-08-03 03:18:35.608,1,2.0,3.0,0.6229,10,1,False,False,False,DEV,STOP
743,2026-08-03 03:40:39.484,1,0.0,5.0,1.2036,10,10,False,False,False,DEV,TARGET
750,2026-08-03 03:56:44.452,1,1.0,4.0,-2.4886,1,1,False,False,False,DEV,STOP
751,2026-08-03 04:00:00.692,1,2.0,3.0,-0.7134,10,2,False,False,False,DEV,STOP
771,2026-08-03 04:17:50.488,1,2.0,3.0,2.9097,10,10,False,False,False,DEV,TARGET
793,2026-08-03 04:35:10.716,1,2.0,3.0,-1.6337,1,1,False,False,False,DEV,STOP
812,2026-08-03 04:54:48.412,-1,1.0,4.0,4.6631,10,10,False,False,False,DEV,TARGET
816,2026-08-03 04:59:05.860,-1,0.0,5.0,2.2565,1,1,False,False,False,DEV,TARGET
823,2026-08-03 05:03:57.448,-1,1.0,4.0,-0.1507,1,1,False,False,False,DEV,TARGET
827,2026-08-03 05:07:18.176,-1,2.0,3.0,0.5344,10,10,False,False,False,DEV,STOP
847,2026-08-03 05:23:59.032,-1,1.0,4.0,0.9192,7,7,False,False,False,DEV,STOP
851,2026-08-03 05:27:22.084,-1,1.0,4.0,-2.2044,2,1,False,False,False,DEV,TARGET
866,2026-08-03 05:38:35.320,1,0.0,5.0,-1.9922,1,1,False,False,False,DEV,TARGET
867,2026-08-03 05:39:05.728,1,1.0,4.0,-1.105,3,3,False,False,False,DEV,TARGET
901,2026-08-03 06:17:10.180,1,1.0,4.0,-0.8207,7,4,False,False,False,DEV,TARGET
916,2026-08-03 06:26:14.928,-1,2.0,3.0,6.0226,10,10,False,False,False,DEV,TARGET
917,2026-08-03 06:26:35.488,-1,2.0,3.0,5.9064,10,10,False,False,False,DEV,TARGET
918,2026-08-03 06:27:11.172,-1,1.0,4.0,5.0383,10,10,False,False,False,DEV,TARGET
931,2026-08-03 06:29:43.092,-1,2.0,3.0,3.6304,10,10,True,False,False,DEV,TARGET
935,2026-08-03 06:29:59.028,-1,0.0,5.0,6.3821,10,10,False,False,False,DEV,TARGET
941,2026-08-03 06:30:01.516,-1,2.0,3.0,-2.785,1,1,False,False,False,DEV,TARGET
985,2026-08-03 06:31:05.924,-1,2.0,3.0,-1.548,0,0,False,False,True,DEV,TARGET
1025,2026-08-03 06:32:55.424,1,2.0,3.0,-1.6367,0,0,False,False,True,DEV,TARGET
1033,2026-08-03 06:33:22.224,1,2.0,3.0,-0.1028,8,6,False,False,True,DEV,TARGET
1035,2026-08-03 06:33:28.280,1,2.0,3.0,3.3205,10,10,False,False,True,DEV,TARGET
1047,2026-08-03 06:34:11.036,1,2.0,3.0,7.5556,10,10,True,True,True,DEV,STOP
1069,2026-08-03 06:35:44.004,1,2.0,3.0,4.0569,10,10,True,True,True,DEV,TARGET
1080,2026-08-03 06:36:45.672,1,2.0,3.0,0.7999,10,5,False,False,True,DEV,TARGET
1081,2026-08-03 06:36:52.268,1,2.0,3.0,1.8443,10,10,False,False,True,DEV,TARGET
1103,2026-08-03 06:38:55.400,1,1.0,4.0,-0.37,10,10,False,False,True,DEV,TARGET
1108,2026-08-03 06:39:51.832,1,1.0,4.0,-1.5562,0,0,False,False,True,DEV,TARGET
1168,2026-08-03 06:43:52.160,-1,2.0,3.0,-1.3092,7,1,False,False,True,DEV,STOP
1235,2026-08-03 06:49:26.124,1,2.0,3.0,-0.1539,9,1,False,False,False,DEV,STOP
1262,2026-08-03 06:51:28.664,1,2.0,3.0,3.3205,10,10,False,False,False,DEV,TARGET
1267,2026-08-03 06:51:53.524,1,2.0,3.0,0.6692,10,1,False,False,False,DEV,TARGET
1274,2026-08-03 06:52:27.472,1,1.0,4.0,0.2476,4,1,False,False,False,DEV,TARGET
1278,2026-08-03 06:53:12.048,1,1.0,4.0,1.4483,10,10,False,False,False,DEV,TARGET
1283,2026-08-03 06:53:56.108,1,2.0,3.0,1.5188,10,10,False,False,False,DEV,TARGET
1292,2026-08-03 06:55:16.712,1,1.0,4.0,-2.2485,1,1,False,False,False,DEV,TARGET
1293,2026-08-03 06:55:25.964,1,1.0,4.0,-1.3044,2,2,False,False,False,DEV,TARGET
1295,2026-08-03 06:55:33.108,1,2.0,3.0,2.5936,10,10,False,False,False,DEV,TARGET
1296,2026-08-03 06:56:03.312,1,2.0,3.0,3.2395,10,10,True,False,False,DEV,STOP
1307,2026-08-03 06:58:17.140,1,0.0,5.0,-4.1565,0,0,False,False,False,DEV,TARGET
1311,2026-08-03 06:59:38.576,1,1.0,4.0,-1.5845,0,0,False,False,False,DEV,TARGET
1312,2026-08-03 06:59:46.552,1,2.0,3.0,-0.0101,1,1,False,False,False,DEV,TARGET
1364,2026-08-03 07:06:02.236,1,1.0,4.0,-0.1531,7,7,False,False,True,DEV,NONE
1367,2026-08-03 07:06:34.428,1,1.0,4.0,-1.3656,1,1,False,False,True,DEV,STOP
1376,2026-08-03 07:07:41.732,1,1.0,4.0,-3.1733,1,1,False,False,True,DEV,STOP
1387,2026-08-03 07:10:17.404,1,1.0,4.0,-0.5108,1,1,False,False,True,DEV,TARGET
1389,2026-08-03 07:10:26.840,1,2.0,3.0,3.0737,10,10,False,False,True,DEV,TARGET
1397,2026-08-03 07:12:16.724,1,1.0,4.0,-0.7029,5,5,False,False,True,DEV,STOP
1399,2026-08-03 07:12:51.456,1,1.0,4.0,-3.0054,0,0,False,False,True,DEV,STOP
1408,2026-08-03 07:15:07.836,1,1.0,4.0,0.2096,7,7,False,False,True,DEV,TARGET
1409,2026-08-03 07:15:32.676,1,1.0,4.0,0.6075,10,8,False,False,True,DEV,TARGET
1410,2026-08-03 07:16:00.104,1,1.0,4.0,0.9169,10,10,False,False,True,DEV,TARGET
1413,2026-08-03 07:16:53.480,1,2.0,3.0,4.4191,10,10,True,True,True,DEV,TARGET
1424,2026-08-03 07:21:53.416,1,2.0,3.0,-0.9735,5,1,False,False,True,DEV,TARGET
1428,2026-08-03 07:23:56.052,1,0.0,5.0,1.4261,10,10,False,False,True,DEV,TARGET
1444,2026-08-03 07:31:12.984,1,0.0,5.0,-3.991,1,1,False,False,True,DEV,TARGET
1477,2026-08-03 07:51:38.272,1,2.0,3.0,-1.3028,10,1,False,False,True,DEV,TARGET
1485,2026-08-03 07:55:36.664,1,2.0,3.0,-1.9686,1,1,False,False,True,DEV,TARGET
1489,2026-08-03 07:58:58.816,1,1.0,4.0,-0.6793,0,0,False,False,True,DEV,TARGET
1490,2026-08-03 07:59:47.844,1,1.0,4.0,-0.0839,1,1,False,False,True,DEV,STOP
1491,2026-08-03 08:00:47.420,1,2.0,3.0,1.157,2,2,False,False,False,DEV,STOP
1520,2026-08-03 08:15:06.628,1,1.0,4.0,-2.1855,2,1,False,False,False,DEV,TARGET
1525,2026-08-03 08:20:00.136,1,2.0,3.0,2.1051,10,10,False,False,False,DEV,TARGET
1528,2026-08-03 08:20:47.176,1,2.0,3.0,0.734,0,0,False,False,False,DEV,TARGET
1530,2026-08-03 08:21:42.040,1,2.0,3.0,-1.9634,0,0,False,False,False,DEV,TARGET
1546,2026-08-03 08:26:34.156,1,2.0,3.0,-1.367,4,1,False,False,False,DEV,STOP
1572,2026-08-03 08:38:33.744,1,1.0,4.0,-1.8104,1,1,False,False,False,DEV,TARGET
1582,2026-08-03 08:45:40.208,1,2.0,3.0,-0.2357,2,1,False,False,False,DEV,TARGET
1586,2026-08-03 08:49:20.752,1,1.0,4.0,1.3387,1,1,False,False,False,DEV,TARGET
1589,2026-08-03 08:50:45.028,1,1.0,4.0,1.0167,10,1,False,False,False,DEV,STOP
1592,2026-08-03 08:53:56.200,1,0.0,5.0,-1.4585,1,1,False,False,False,DEV,STOP
1618,2026-08-03 09:21:26.720,1,2.0,3.0,-0.1334,0,0,False,False,False,DEV,TARGET
1619,2026-08-03 09:22:57.660,1,1.0,4.0,0.3407,1,1,False,False,False,DEV,TARGET
1620,2026-08-03 09:25:05.868,1,2.0,3.0,1.4872,10,2,False,False,False,DEV,TARGET
1621,2026-08-03 09:26:25.376,1,1.0,4.0,1.6011,10,10,False,False,False,DEV,TARGET
