BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
1081,2026-08-03 06:36:52.268,LONG,7568.250000,TARGET,NONE,,,0,False
1410,2026-08-03 07:16:00.104,LONG,7592.500000,TARGET,NONE,,,0,False
1428,2026-08-03 07:23:56.052,LONG,7598.500000,TARGET,NONE,,,0,False
1700,2026-08-03 11:04:03.352,LONG,7631.500000,TARGET,NONE,,,0,False
1802,2026-08-03 12:28:02.888,LONG,7637.250000,STOP,NONE,,,0,False
2587,2026-08-04 06:32:26.700,LONG,7666.750000,TARGET,TARGET,2026-08-04 06:32:27,7668.750000,1,True
2713,2026-08-04 07:01:37.220,LONG,7688.750000,TARGET,TARGET,2026-08-04 07:02:00,7690.000000,3981,False
2890,2026-08-04 07:42:47.812,LONG,7707.000000,TARGET,TARGET,2026-08-04 07:43:43,7708.250000,6325,False
2891,2026-08-04 07:43:36.808,LONG,7707.500000,TARGET,TARGET,2026-08-04 07:43:46,7708.750000,1480,False
2928,2026-08-04 07:59:01.968,LONG,7715.000000,TARGET,TARGET,2026-08-04 07:59:12,7716.250000,1473,False
3302,2026-08-04 11:04:26.876,SHORT,7767.250000,TARGET,TARGET,2026-08-04 11:04:30,7766.000000,388,False
3560,2026-08-04 12:50:30.808,SHORT,7776.000000,TARGET,TARGET,2026-08-04 12:51:05,7774.750000,5782,False
5129,2026-08-05 07:30:09.948,SHORT,7798.250000,TARGET,TARGET,2026-08-05 07:30:22,7797.000000,5136,False
5188,2026-08-05 07:36:22.976,SHORT,7795.750000,TARGET,TARGET,2026-08-05 07:36:24,7794.500000,724,False
6243,2026-08-05 11:03:24.612,LONG,7770.250000,TARGET,TARGET,2026-08-05 11:03:36,7771.500000,631,False
6461,2026-08-05 12:56:23.544,SHORT,7763.750000,TARGET,TARGET,2026-08-05 12:56:31,7762.500000,459,False
7509,2026-08-06 06:43:23.676,LONG,7756.250000,TARGET,TARGET,2026-08-06 06:43:30,7757.500000,2368,False
8677,2026-08-06 11:05:36.956,LONG,7739.000000,STOP,STOP,2026-08-06 11:09:31,7736.500000,16441,False
8842,2026-08-06 12:39:00.620,SHORT,7735.750000,TARGET,TARGET,2026-08-06 12:40:34,7734.500000,6349,False
8843,2026-08-06 12:40:00.680,SHORT,7735.250000,TARGET,TARGET,2026-08-06 12:41:19,7734.000000,6236,False
8844,2026-08-06 12:40:34.152,SHORT,7734.750000,TARGET,TARGET,2026-08-06 12:41:30,7733.500000,4212,False
10114,2026-08-07 06:43:30.996,LONG,7762.750000,TARGET,TARGET,2026-08-07 06:43:48,7764.000000,4531,False
10115,2026-08-07 06:43:45.948,LONG,7763.250000,TARGET,TARGET,2026-08-07 06:43:51,7764.500000,1190,False
10416,2026-08-07 07:09:46.176,SHORT,7752.750000,TARGET,TARGET,2026-08-07 07:09:49,7751.500000,1122,False
10542,2026-08-07 07:23:37.936,LONG,7766.500000,TARGET,TARGET,2026-08-07 07:23:47,7767.750000,2554,False
10573,2026-08-07 07:28:43.944,LONG,7778.500000,TARGET,TARGET,2026-08-07 07:28:44,7779.750000,412,False
10695,2026-08-07 07:43:47.252,SHORT,7766.750000,TARGET,TARGET,2026-08-07 07:44:41,7765.500000,13053,False
10787,2026-08-07 07:58:15.320,LONG,7775.250000,TARGET,TARGET,2026-08-07 07:58:49,7776.500000,4563,False
11240,2026-08-07 11:06:26.044,SHORT,7766.750000,TARGET,TARGET,2026-08-07 11:12:17,7765.500000,14919,False
11274,2026-08-07 11:31:12.824,SHORT,7761.250000,STOP,STOP,2026-08-07 11:33:51,7763.750000,9151,False
12056,2026-08-10 06:39:22.584,SHORT,7771.750000,STOP,STOP,2026-08-10 06:39:55,7774.250000,7696,False
13344,2026-08-11 06:35:35.276,SHORT,7777.250000,TARGET,TARGET,2026-08-11 06:36:02,7776.000000,6481,False
13345,2026-08-11 06:35:49.752,SHORT,7776.750000,STOP,STOP,2026-08-11 06:36:39,7779.250000,13478,False
13389,2026-08-11 06:44:24.384,SHORT,7778.500000,STOP,STOP,2026-08-11 06:44:39,7781.000000,2762,False
15020,2026-08-12 07:16:09.928,LONG,7771.000000,TARGET,TARGET,2026-08-12 07:18:00,7772.250000,16477,False
15028,2026-08-12 07:18:18.288,LONG,7772.500000,TARGET,TARGET,2026-08-12 07:18:20,7774.000000,329,False
15548,2026-08-12 12:42:11.932,SHORT,7772.000000,TARGET,TARGET,2026-08-12 12:42:27,7770.750000,895,False
16030,2026-08-13 06:36:43.512,LONG,7803.500000,TARGET,TARGET,2026-08-13 06:36:57,7804.750000,2348,False
17326,2026-08-14 11:10:46.004,LONG,7804.250000,TARGET,TARGET,2026-08-14 11:13:15,7805.500000,4671,False
17881,2026-08-17 07:22:17.260,SHORT,7792.500000,NONE,NONE,,,36712,False
17908,2026-08-17 07:37:05.388,SHORT,7793.500000,TARGET,TARGET,2026-08-17 07:37:36,7792.250000,2588,False
19883,2026-08-18 12:00:01.880,SHORT,7716.750000,STOP,STOP,2026-08-18 12:08:51,7719.250000,20392,False
21042,2026-08-19 07:03:58.088,SHORT,7735.500000,STOP,STOP,2026-08-19 07:04:19,7738.000000,5948,False
22989,2026-08-20 06:31:16.112,LONG,7702.000000,TARGET,TARGET,2026-08-20 06:31:17,7703.250000,201,False
23061,2026-08-20 06:39:36.900,LONG,7713.000000,STOP,STOP,2026-08-20 06:40:02,7710.500000,7626,False
23100,2026-08-20 06:44:03.852,LONG,7716.000000,STOP,STOP,2026-08-20 06:44:45,7713.500000,9021,False
23490,2026-08-20 07:34:10.376,LONG,7705.250000,TARGET,TARGET,2026-08-20 07:34:11,7706.500000,163,False
25710,2026-08-21 11:30:21.212,SHORT,7687.750000,TARGET,TARGET,2026-08-21 11:30:44,7686.500000,1054,False
27097,2026-08-24 07:09:28.340,SHORT,7660.750000,STOP,STOP,2026-08-24 07:09:55,7663.250000,3862,False
27110,2026-08-24 07:13:01.032,SHORT,7659.750000,STOP,STOP,2026-08-24 07:13:44,7662.250000,7177,False
27581,2026-08-24 11:28:57.680,LONG,7681.750000,TARGET,TARGET,2026-08-24 11:30:01,7683.000000,4193,False
28706,2026-08-25 07:32:14.608,LONG,7679.500000,TARGET,TARGET,2026-08-25 07:32:17,7680.750000,498,False
29760,2026-08-26 06:34:08.404,LONG,7687.500000,TARGET,TARGET,2026-08-26 06:34:20,7688.750000,3035,False
