BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
2078,2026-08-03 18:52:39.188,LONG,7645.000000,TARGET,TARGET,2026-08-03 18:53:04,7646.500000,724,False
2406,2026-08-04 04:43:31.736,LONG,7651.250000,TARGET,TARGET,2026-08-04 04:43:33,7652.500000,500,False
2407,2026-08-04 04:43:33.032,LONG,7652.000000,TARGET,TARGET,2026-08-04 04:43:46,7653.750000,2149,False
2528,2026-08-04 06:20:52.280,LONG,7663.750000,STOP,STOP,2026-08-04 06:21:00,7661.250000,1995,True
2600,2026-08-04 06:36:28.908,LONG,7673.000000,STOP,STOP,2026-08-04 06:36:53,7670.500000,4062,False
2676,2026-08-04 06:54:41.728,LONG,7684.750000,TARGET,TARGET,2026-08-04 06:54:54,7686.000000,1470,False
2715,2026-08-04 07:02:09.032,LONG,7690.500000,TARGET,TARGET,2026-08-04 07:02:24,7691.750000,3487,False
2716,2026-08-04 07:02:24.164,LONG,7691.250000,TARGET,TARGET,2026-08-04 07:02:25,7692.500000,1,True
2755,2026-08-04 07:14:56.764,LONG,7700.000000,TARGET,TARGET,2026-08-04 07:15:12,7701.250000,1923,False
2859,2026-08-04 07:38:20.468,LONG,7708.750000,STOP,STOP,2026-08-04 07:38:21,7706.250000,2,True
2894,2026-08-04 07:44:59.916,LONG,7710.250000,NONE,TARGET,2026-08-04 07:49:50,7711.500000,32418,True
2941,2026-08-04 08:04:34.324,LONG,7720.750000,STOP,STOP,2026-08-04 08:06:01,7718.250000,8955,False
2962,2026-08-04 08:13:51.356,LONG,7723.500000,TARGET,TARGET,2026-08-04 08:16:07,7724.750000,10377,False
2980,2026-08-04 08:24:00.780,LONG,7728.750000,TARGET,TARGET,2026-08-04 08:24:55,7730.000000,2806,False
2982,2026-08-04 08:25:28.668,LONG,7730.750000,STOP,STOP,2026-08-04 08:27:11,7728.250000,6058,False
3030,2026-08-04 08:45:31.028,LONG,7736.250000,TARGET,TARGET,2026-08-04 08:45:48,7737.500000,1335,False
3032,2026-08-04 08:47:01.148,LONG,7738.250000,TARGET,TARGET,2026-08-04 08:48:05,7739.500000,4597,False
3090,2026-08-04 09:21:35.684,LONG,7742.000000,TARGET,TARGET,2026-08-04 09:21:42,7743.250000,649,False
3091,2026-08-04 09:21:42.636,LONG,7742.750000,TARGET,TARGET,2026-08-04 09:22:57,7744.000000,3281,False
3095,2026-08-04 09:23:55.476,LONG,7744.250000,TARGET,TARGET,2026-08-04 09:28:30,7745.500000,11814,False
3107,2026-08-04 09:33:57.348,LONG,7748.000000,TARGET,TARGET,2026-08-04 09:37:13,7749.250000,7691,False
3123,2026-08-04 09:45:13.000,LONG,7753.250000,TARGET,TARGET,2026-08-04 09:45:27,7754.500000,908,False
3147,2026-08-04 10:01:02.944,LONG,7758.750000,TARGET,TARGET,2026-08-04 10:01:08,7760.000000,671,False
3151,2026-08-04 10:03:35.912,LONG,7761.250000,TARGET,TARGET,2026-08-04 10:04:18,7762.500000,2880,False
3154,2026-08-04 10:05:18.740,LONG,7764.250000,TARGET,TARGET,2026-08-04 10:05:22,7765.500000,422,False
3213,2026-08-04 10:38:34.280,LONG,7770.500000,TARGET,TARGET,2026-08-04 10:39:50,7771.750000,3948,False
3217,2026-08-04 10:40:54.488,LONG,7772.750000,TARGET,TARGET,2026-08-04 10:41:27,7774.000000,2569,False
3219,2026-08-04 10:42:01.324,LONG,7774.500000,TARGET,TARGET,2026-08-04 10:44:30,7775.750000,7359,False
3223,2026-08-04 10:45:02.088,LONG,7776.500000,TARGET,TARGET,2026-08-04 10:45:08,7777.750000,547,False
