TailMin,Slope8Min,Slope24Min,Slope50Min,Gap824Min,Gap2450Min,BodyDistance8Min,BarDistance8Min,CloseExtensionMin,PriorStreakMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
3,20,20,0,1.5,1.5,0,-5,0,0,1312,943,71.88,1414,1023,72.35
3,20,20,0,1.5,1.5,0,-5,0,1,1071,779,72.74,1162,847,72.89
3,20,20,0,1.5,1.5,0,-5,0,2,736,524,71.2,805,602,74.78
3,20,20,0,1.5,1.5,0,-5,1,0,1217,875,71.9,1315,957,72.78
3,20,20,0,1.5,1.5,0,-5,1,1,1066,775,72.7,1156,842,72.84
3,20,20,0,1.5,1.5,0,-5,1,2,735,523,71.16,802,600,74.81
3,20,20,0,1.5,1.5,0,-5,2,0,875,643,73.49,967,696,71.98
3,20,20,0,1.5,1.5,0,-5,2,1,875,643,73.49,967,696,71.98
3,20,20,0,1.5,1.5,0,-5,2,2,616,444,72.08,678,503,74.19
3,20,20,0,1.5,1.5,0,0,0,0,809,582,71.94,878,662,75.4
3,20,20,0,1.5,1.5,0,0,0,1,768,549,71.48,833,625,75.03
3,20,20,0,1.5,1.5,0,0,0,2,622,442,71.06,670,512,76.42
3,20,20,0,1.5,1.5,0,0,1,0,800,573,71.62,866,651,75.17
3,20,20,0,1.5,1.5,0,0,1,1,768,549,71.48,833,625,75.03
3,20,20,0,1.5,1.5,0,0,1,2,622,442,71.06,670,512,76.42
3,20,20,0,1.5,1.5,0,0,2,0,655,473,72.21,730,540,73.97
3,20,20,0,1.5,1.5,0,0,2,1,655,473,72.21,730,540,73.97
3,20,20,0,1.5,1.5,0,0,2,2,528,382,72.35,588,444,75.51
3,20,20,0,1.5,1.5,0,1,0,0,619,442,71.41,660,497,75.3
3,20,20,0,1.5,1.5,0,1,0,1,596,422,70.81,642,481,74.92
3,20,20,0,1.5,1.5,0,1,0,2,511,364,71.23,552,419,75.91
3,20,20,0,1.5,1.5,0,1,1,0,615,438,71.22,659,496,75.27
3,20,20,0,1.5,1.5,0,1,1,1,596,422,70.81,642,481,74.92
3,20,20,0,1.5,1.5,0,1,1,2,511,364,71.23,552,419,75.91
3,20,20,0,1.5,1.5,0,1,2,0,512,367,71.68,573,424,74.0
3,20,20,0,1.5,1.5,0,1,2,1,512,367,71.68,573,424,74.0
3,20,20,0,1.5,1.5,0,1,2,2,437,318,72.77,492,371,75.41
3,20,20,0,1.5,1.5,0,3,0,0,263,192,73.0,307,233,75.9
3,20,20,0,1.5,1.5,0,3,0,1,260,190,73.08,307,233,75.9
3,20,20,0,1.5,1.5,0,3,0,2,250,182,72.8,289,220,76.12
3,20,20,0,1.5,1.5,0,3,1,0,263,192,73.0,307,233,75.9
3,20,20,0,1.5,1.5,0,3,1,1,260,190,73.08,307,233,75.9
3,20,20,0,1.5,1.5,0,3,1,2,250,182,72.8,289,220,76.12
3,20,20,0,1.5,1.5,0,3,2,0,228,169,74.12,277,209,75.45
3,20,20,0,1.5,1.5,0,3,2,1,228,169,74.12,277,209,75.45
