bar,time,text_time,direction,entry,early,result,won,tail,body,finish,s8,s24,s50,gap824,gap2450,body_distance8,bar_distance8,close_extension,prior_streak
35,63921366000,2026-08-02 15:00:00.844,1,7553.5,True,TARGET,True,4.0,1.0,0.0,13.782476,3.99651,5.168689,0.40825199999744655,1.4766520000011951,1.8300840000010794,-2.1699159999989206,2.0,1
40,63921366001,2026-08-02 15:00:01.168,1,7555.0,True,TARGET,True,5.0,0.0,0.0,42.9633,25.841041,17.302688,2.8958519999978307,2.288140000000567,4.078568000000814,-0.9214319999991858,1.0,1
44,63921366001,2026-08-02 15:00:01.508,1,7555.5,True,TARGET,True,4.0,1.0,0.0,29.597326,23.85977,17.476142,3.4791800000020885,2.8244479999993928,2.690387999999075,-1.309612000000925,2.0,1
68,63921366051,2026-08-02 15:00:51.156,-1,7551.0,True,STOP,False,3.0,2.0,0.0,50.409343,41.392271,21.801299,6.3587120000011055,0.1796439999998256,3.4721759999993083,0.47217599999930826,3.0,1
85,63921366078,2026-08-02 15:01:18.536,-1,7551.0,True,TARGET,True,4.0,1.0,0.0,63.343288,34.226265,18.219888,2.2990959999988263,0.6778759999979229,6.9942880000016885,2.9942880000016885,2.0,4
86,63921366081,2026-08-02 15:01:21.820,-1,7550.25,True,TARGET,True,3.0,2.0,0.0,67.07253,42.588644,24.704806,3.678799999997864,1.1934560000008787,6.551112000001012,3.5511120000010123,3.0,4
91,63921366094,2026-08-02 15:01:34.096,-1,7548.25,True,STOP,False,3.0,2.0,0.0,61.035091,51.817444,36.789367,8.559959999998682,4.157759999998234,2.88872800000172,-0.11127199999828008,1.0,0
136,63921366503,2026-08-02 15:08:23.084,1,7552.75,True,STOP,False,3.0,2.0,0.0,5.028701,6.016554,3.557318,1.2087800000008428,0.4366440000012517,0.7371639999983017,-2.2628360000016983,3.0,1
148,63921366681,2026-08-02 15:11:21.932,1,7554.5,True,TARGET,True,4.0,1.0,0.0,55.396265,31.93791,18.145709,3.040868000000046,1.2165359999999055,5.039927999998326,1.0399279999983264,2.0,1
150,63921366703,2026-08-02 15:11:43.740,1,7556.5,True,TARGET,True,3.0,2.0,0.0,66.04952,46.780028,29.743819,5.6661760000024515,2.325435999999172,7.0118079999992915,4.0118079999992915,3.0,3
154,63921366771,2026-08-02 15:12:51.592,1,7556.0,True,TARGET,True,5.0,0.0,0.0,50.048806,43.788771,30.695711,6.77357999999731,3.805319999999483,2.0944000000017695,-2.9055999999982305,-1.0,0
183,63921367690,2026-08-02 15:28:10.304,-1,7550.75,True,STOP,False,3.0,2.0,0.0,60.419769,39.586664,21.520994,4.037851999997656,0.5498000000006869,3.0228600000009465,0.022860000000946457,1.0,0
203,63921369178,2026-08-02 15:52:58.932,-1,7548.5,True,TARGET,True,3.0,2.0,0.0,48.69416,33.817136,23.341273,4.419996000000538,3.1821120000022347,3.7902719999983674,0.7902719999983674,3.0,1
204,63921369372,2026-08-02 15:56:12.608,-1,7548.0,True,TARGET,True,4.0,1.0,0.0,57.201922,40.572944,28.024001,5.174344000002748,3.555312000000413,5.05909999999858,1.0590999999985797,2.0,2
205,63921369444,2026-08-02 15:57:24.772,-1,7547.25,True,TARGET,True,3.0,2.0,0.0,60.9394,45.031936,31.630977,6.048800000000483,3.996392000000924,5.045967999998538,2.0459679999985383,3.0,3
276,63921373228,2026-08-02 17:00:28.616,-1,7548.25,True,TARGET,True,3.0,2.0,0.0,49.170136,26.578628,13.273126,2.4745440000006056,0.34137600000030943,3.333815999998478,0.3338159999984782,3.0,4
307,63921373816,2026-08-02 17:10:16.752,1,7552.25,True,TARGET,True,3.0,2.0,0.0,51.561761,31.533778,16.265379,3.501108000000386,0.48796799999763607,4.115276000000449,1.1152760000004491,3.0,2
310,63921373882,2026-08-02 17:11:22.868,1,7552.5,True,STOP,False,5.0,0.0,0.0,56.18049,41.923637,25.614791,5.285171999999875,1.743640000000596,2.6372279999995953,-2.3627720000004047,-1.0,0
319,63921374074,2026-08-02 17:14:34.928,1,7553.25,True,TARGET,True,3.0,2.0,0.0,44.407405,25.347301,16.719254,2.8760680000013963,2.1957000000002154,3.875471999999718,0.8754719999997178,3.0,2
338,63921374894,2026-08-02 17:28:14.140,-1,7547.75,True,TARGET,True,3.0,2.0,0.0,48.962352,37.476857,20.260692,5.413088000001153,0.6923800000004121,3.8190639999993437,0.8190639999993437,3.0,2
340,63921374932,2026-08-02 17:28:52.100,-1,7546.0,True,STOP,False,5.0,-0.0,0.0,65.404979,50.991498,32.404814,7.577711999998428,2.0017399999996996,7.927584000000934,2.927584000000934,1.0,4
373,63921376129,2026-08-02 17:48:49.340,1,7552.0,True,STOP,False,4.0,1.0,0.0,41.743377,14.782654,7.752002,0.783476000000519,0.5173240000003716,3.808819999998377,-0.19118000000162283,2.0,3
376,63921376263,2026-08-02 17:51:03.216,1,7552.75,True,STOP,False,3.0,2.0,0.0,41.724206,21.913183,12.476735,2.251860000000306,1.0603159999991476,3.133640000000014,0.13364000000001397,3.0,1
392,63921377034,2026-08-02 18:03:54.660,1,7554.25,True,TARGET,True,3.0,2.0,0.0,20.477878,23.664585,17.666802,4.013151999999536,2.9682400000019697,1.7520079999994778,-1.2479920000005222,3.0,1
396,63921377382,2026-08-02 18:09:42.308,1,7554.75,True,STOP,False,4.0,1.0,0.0,37.291699,34.612973,25.682748,5.150964000000386,4.0003319999996165,0.5224159999997937,-3.4775840000002063,0.0,0
397,63921377418,2026-08-02 18:10:18.468,1,7555.25,True,STOP,False,4.0,1.0,0.0,30.639525,32.414444,24.798732,5.239856000000145,4.197191999999632,1.7396560000015597,-2.2603439999984403,2.0,1
411,63921378629,2026-08-02 18:30:29.476,1,7555.75,True,STOP,False,3.0,2.0,0.0,64.961167,35.368525,22.197411,2.2209440000005998,2.2219640000002983,6.717096000000311,3.7170960000003106,3.0,4
416,63921379298,2026-08-02 18:41:38.936,1,7556.0,True,TARGET,True,3.0,2.0,0.0,45.735294,30.482917,21.285806,3.8612319999992906,3.053223999999318,3.491595999999845,0.49159599999984493,3.0,2
432,63921381224,2026-08-02 19:13:44.360,1,7558.75,True,TARGET,True,5.0,0.0,0.0,18.518717,30.340739,28.086692,5.447639999998501,6.419816000001447,1.9810160000015458,-3.0189839999984542,1.0,1
448,63921384085,2026-08-02 20:01:25.904,1,7561.5,True,STOP,False,4.0,1.0,0.0,50.330993,35.388964,30.738974,4.608552000001509,6.57839199999944,4.390675999999075,0.39067599999907543,2.0,3
449,63921385201,2026-08-02 20:20:01.088,1,7562.0,True,STOP,False,4.0,1.0,0.0,56.839505,40.921253,34.055998,5.290983999999298,6.80979600000137,4.748304000000644,0.748304000000644,2.0,4
456,63921386315,2026-08-02 20:38:35.664,1,7561.25,True,TARGET,True,4.0,1.0,0.0,16.33778,18.132328,21.911132,2.9999280000010913,6.092287999999826,1.9576080000006186,-2.0423919999993814,2.0,2
467,63921388556,2026-08-02 21:15:56.936,1,7563.25,True,TARGET,True,3.0,2.0,0.0,-5.704551,18.00042,23.516588,4.078988000001118,6.908715999998094,0.4901800000006915,-2.5098199999993085,3.0,1
469,63921389514,2026-08-02 21:31:54.552,1,7565.0,True,TARGET,True,3.0,2.0,0.0,52.728776,39.061134,33.844497,5.446251999997912,7.310560000001715,4.259492000001046,1.259492000001046,3.0,3
489,63921393684,2026-08-02 22:41:24.200,1,7564.0,True,STOP,False,4.0,1.0,0.0,-8.836584,-0.271753,11.579176,0.584923999998864,4.928203999999823,0.25396399999954156,-3.7460360000004584,2.0,1
517,63921397181,2026-08-02 23:39:41.628,-1,7559.0,True,TARGET,True,3.0,2.0,0.0,47.004977,34.632093,20.092712,4.866256000001158,1.4304959999972198,3.8695840000000317,0.8695840000000317,3.0,2
518,63921397500,2026-08-02 23:45:00.084,-1,7558.25,True,TARGET,True,3.0,2.0,0.0,58.766578,42.884695,26.346886,5.738412000002427,1.9345999999968626,4.898563999999169,1.898563999999169,3.0,3
519,63921397702,2026-08-02 23:48:22.224,-1,7558.0,True,TARGET,True,5.0,-0.0,0.0,60.960162,46.154267,29.567591,6.402688000001945,2.414912000000186,6.1433279999982915,1.1433279999982915,1.0,4
520,63921397893,2026-08-02 23:51:33.964,-1,7557.25,True,TARGET,True,3.0,2.0,0.0,62.480279,48.854913,32.480264,7.190856000001077,2.9542399999991176,5.111479999999574,2.111479999999574,3.0,4
521,63921398131,2026-08-02 23:55:31.264,-1,7556.75,True,TARGET,True,4.0,1.0,0.0,62.697859,50.496407,34.607745,7.911443999997573,3.5032680000003893,6.086704000001191,2.086704000001191,2.0,4
556,63921399472,2026-08-03 00:17:52.040,-1,7555.75,True,TARGET,True,4.0,1.0,0.0,58.517558,41.129179,28.339289,4.760311999998521,3.4427120000000286,2.845416000000114,-1.1545839999998861,-0.0,0
609,63921402182,2026-08-03 01:03:02.184,-1,7554.75,True,TARGET,True,3.0,2.0,0.0,61.328129,26.132042,12.281554,0.7385319999993953,0.05813599999964936,5.885232000000542,2.885232000000542,3.0,4
614,63921402447,2026-08-03 01:07:27.480,-1,7553.0,True,TARGET,True,3.0,2.0,0.0,57.825937,44.364591,28.657901,6.040552000002208,2.5205079999977897,2.3100159999994503,-0.6899840000005497,1.0,0
627,63921403084,2026-08-03 01:18:04.776,-1,7551.75,True,TARGET,True,4.0,1.0,0.0,46.649541,29.523456,22.561511,3.5826840000008815,3.9111879999982193,4.5078319999993255,0.5078319999993255,2.0,3
633,63921403438,2026-08-03 01:23:58.944,-1,7550.0,True,TARGET,True,3.0,2.0,0.0,42.912063,37.763184,29.866252,6.02942400000029,5.419731999998476,2.9808520000005956,-0.01914799999940442,3.0,1
634,63921403469,2026-08-03 01:24:29.168,-1,7549.5,True,TARGET,True,4.0,1.0,0.0,52.762314,42.80006,33.276805,6.539899999999761,5.737811999999394,4.429552000001422,0.42955200000142213,2.0,2
635,63921403625,2026-08-03 01:27:05.620,-1,7549.25,True,TARGET,True,5.0,-0.0,0.0,55.732457,45.339771,35.336338,6.931131999997888,6.041748000003281,5.000764000000345,0.0007640000003448222,1.0,3
671,63921405415,2026-08-03 01:56:55.056,1,7558.25,True,TARGET,True,3.0,2.0,0.0,63.05139,45.346508,29.905747,5.823331999999937,2.9483079999990878,6.000031999999919,3.000031999999919,3.0,3
673,63921405539,2026-08-03 01:58:59.788,1,7558.0,True,TARGET,True,3.0,2.0,0.0,58.409948,45.921636,31.793662,6.519864000001689,3.66932000000088,2.4074279999986175,-0.5925720000013825,1.0,0
699,63921407739,2026-08-03 02:35:39.172,1,7558.25,True,TARGET,True,5.0,0.0,0.0,37.689415,16.165638,14.404233,1.2667120000005525,3.053936000000249,3.6554360000009183,-1.3445639999990817,1.0,2
700,63921407771,2026-08-03 02:36:11.460,1,7558.75,True,STOP,False,4.0,1.0,0.0,48.225057,24.387313,18.688952,1.969703999999183,3.2164880000018456,3.398671999999351,-0.6013280000006489,2.0,3
