Group,HorizonBars,Selected,Completed,Positive,BreakEven,Negative,FivePlus,PositiveRate,BreakEvenRate,NegativeRate,FivePlusRate,AveragePnlTicks,MedianPnlTicks
ALL,12,2183,2170,595,1055,520,449,27.4194,48.6175,23.9631,20.6912,0.7627,0.0000
ALL,24,2183,2175,585,1072,518,443,26.8966,49.2874,23.8161,20.3678,0.7848,0.0000
ALL,48,2182,2178,587,1072,519,444,26.9513,49.2195,23.8292,20.3857,0.8131,0.0000
EMA8,12,1130,1124,278,560,286,199,24.7331,49.8221,25.4448,17.7046,0.1450,0.0000
EMA8,24,1130,1125,272,569,284,195,24.1778,50.5778,25.2444,17.3333,0.1893,0.0000
EMA8,48,1130,1127,273,570,284,196,24.2236,50.5768,25.1996,17.3913,0.2325,0.0000
EMA24,12,508,504,151,233,120,120,29.9603,46.2302,23.8095,23.8095,1.2024,0.0000
EMA24,24,508,508,149,238,121,119,29.3307,46.8504,23.8189,23.4252,1.2028,0.0000
EMA24,48,507,507,149,237,121,118,29.3886,46.7456,23.8659,23.2742,1.1874,0.0000
EMA50,12,358,357,106,177,74,77,29.6919,49.5798,20.7283,21.5686,1.0644,0.0000
EMA50,24,358,357,105,179,73,77,29.4118,50.1401,20.4482,21.5686,1.0756,0.0000
EMA50,48,358,357,105,179,73,77,29.4118,50.1401,20.4482,21.5686,1.0868,0.0000
PIN,12,200,198,63,93,42,54,31.8182,46.9697,21.2121,27.2727,2.5505,0.0000
PIN,24,200,198,62,94,42,53,31.3131,47.4747,21.2121,26.7677,2.6061,0.0000
PIN,48,200,200,63,94,43,54,31.5000,47.0000,21.5000,27.0000,2.6800,0.0000
