Group,HorizonBars,Selected,Completed,Positive,BreakEven,Negative,FivePlus,PositiveRate,BreakEvenRate,NegativeRate,FivePlusRate,AveragePnlTicks,MedianPnlTicks
ALL,12,2338,2325,634,1122,569,480,27.2688,48.2581,24.4731,20.6452,0.7140,0.0000
ALL,24,2338,2330,622,1141,567,474,26.6953,48.9700,24.3348,20.3433,0.7455,0.0000
ALL,48,2337,2333,624,1141,568,475,26.7467,48.9070,24.3463,20.3601,0.7673,0.0000
EMA8,12,1130,1124,278,560,286,199,24.7331,49.8221,25.4448,17.7046,0.1450,0.0000
EMA8,24,1130,1125,272,569,284,195,24.1778,50.5778,25.2444,17.3333,0.1893,0.0000
EMA8,48,1130,1127,273,570,284,196,24.2236,50.5768,25.1996,17.3913,0.2325,0.0000
EMA24,12,508,504,151,233,120,120,29.9603,46.2302,23.8095,23.8095,1.2024,0.0000
EMA24,24,508,508,149,238,121,119,29.3307,46.8504,23.8189,23.4252,1.2028,0.0000
EMA24,48,507,507,149,237,121,118,29.3886,46.7456,23.8659,23.2742,1.1874,0.0000
EMA50,12,358,357,106,177,74,77,29.6919,49.5798,20.7283,21.5686,1.0644,0.0000
EMA50,24,358,357,105,179,73,77,29.4118,50.1401,20.4482,21.5686,1.0756,0.0000
EMA50,48,358,357,105,179,73,77,29.4118,50.1401,20.4482,21.5686,1.0868,0.0000
PIN,12,355,353,102,160,91,85,28.8952,45.3258,25.7790,24.0793,1.4448,0.0000
PIN,24,355,353,99,163,91,84,28.0453,46.1756,25.7790,23.7960,1.5467,0.0000
PIN,48,355,355,100,163,92,85,28.1690,45.9155,25.9155,23.9437,1.5634,0.0000
