Group,HorizonBars,TargetTicks,Selected,Completed,Targets,BreakEven,Losses,TargetRate,AveragePnlTicks,MedianPnlTicks
ALL,12,5,2183,2170,1645,3,518,75.8065,1.4240,5.0000
ALL,12,10,2183,2170,702,936,518,32.3502,0.8963,0.0000
ALL,12,15,2183,2170,434,1180,518,20.0000,0.7622,0.0000
ALL,12,20,2183,2170,268,1242,518,12.3502,0.7447,0.0000
ALL,12,25,2183,2170,148,1260,518,6.8203,0.6991,0.0000
ALL,12,30,2183,2170,78,1260,518,3.5945,0.6954,0.0000
ALL,24,5,2183,2175,1657,0,518,76.1839,1.4276,5.0000
ALL,24,10,2183,2175,709,948,518,32.5977,0.8782,0.0000
ALL,24,15,2183,2175,448,1208,518,20.5977,0.7094,0.0000
ALL,24,20,2183,2175,325,1320,518,14.9425,0.6713,0.0000
ALL,24,25,2183,2175,238,1371,518,10.9425,0.6400,0.0000
ALL,24,30,2183,2175,168,1383,518,7.7241,0.6469,0.0000
ALL,48,5,2182,2178,1659,0,519,76.1708,1.4256,5.0000
ALL,48,10,2182,2178,712,947,519,32.6905,0.8861,0.0000
ALL,48,15,2182,2178,450,1209,519,20.6612,0.7163,0.0000
ALL,48,20,2182,2178,335,1324,519,15.3811,0.6933,0.0000
ALL,48,25,2182,2178,264,1393,519,12.1212,0.6598,0.0000
ALL,48,30,2182,2178,210,1436,519,9.6419,0.6015,0.0000
EMA8,12,5,1130,1124,834,2,285,74.1993,1.1975,5.0000
EMA8,12,10,1130,1124,334,497,285,29.7153,0.4849,0.0000
EMA8,12,15,1130,1124,192,630,285,17.0819,0.1423,0.0000
EMA8,12,20,1130,1124,115,665,285,10.2313,-0.0133,0.0000
EMA8,12,25,1130,1124,63,670,285,5.6050,-0.0302,0.0000
EMA8,12,30,1130,1124,31,670,285,2.7580,-0.0534,0.0000
EMA8,24,5,1130,1125,841,0,284,74.7556,1.2133,5.0000
EMA8,24,10,1130,1125,337,504,284,29.9556,0.4711,0.0000
EMA8,24,15,1130,1125,195,645,284,17.3333,0.0782,0.0000
EMA8,24,20,1130,1125,131,702,284,11.6444,-0.1076,0.0000
EMA8,24,25,1130,1125,98,717,284,8.7111,-0.0489,0.0000
EMA8,24,30,1130,1125,65,724,284,5.7778,-0.1449,0.0000
EMA8,48,5,1130,1127,843,0,284,74.8004,1.2201,5.0000
EMA8,48,10,1130,1127,339,504,284,30.0799,0.4880,0.0000
EMA8,48,15,1130,1127,196,647,284,17.3913,0.0887,0.0000
EMA8,48,20,1130,1127,138,705,284,12.2449,-0.0710,0.0000
EMA8,48,25,1130,1127,113,728,284,10.0266,0.0106,0.0000
EMA8,48,30,1130,1127,88,747,284,7.8083,-0.0488,0.0000
EMA24,12,5,508,504,384,1,119,76.1905,1.4524,5.0000
EMA24,12,10,508,504,179,203,119,35.5159,1.2341,0.0000
EMA24,12,15,508,504,116,261,119,23.0159,1.2302,0.0000
EMA24,12,20,508,504,74,273,119,14.6825,1.4167,0.0000
EMA24,12,25,508,504,41,279,119,8.1349,1.4405,0.0000
EMA24,12,30,508,504,20,279,119,3.9683,1.4008,0.0000
EMA24,24,5,508,508,387,0,121,76.1811,1.4272,5.0000
EMA24,24,10,508,508,181,206,121,35.6299,1.1811,0.0000
EMA24,24,15,508,508,119,268,121,23.4252,1.1319,0.0000
EMA24,24,20,508,508,92,293,121,18.1102,1.2697,0.0000
EMA24,24,25,508,508,68,308,121,13.3858,1.2067,0.0000
