BarNumber,Time,Families,Direction,Horizon,TargetTicks,ExitReason,PnlTicks
1968,2026-08-03 16:15:55.060,EMA50,1,12,5,TARGET,5.0000
1968,2026-08-03 16:15:55.060,EMA50,1,12,10,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,12,15,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,12,20,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,12,25,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,12,30,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,5,TARGET,5.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,10,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,15,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,20,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,25,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,24,30,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,5,TARGET,5.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,10,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,15,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,20,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,25,BREAK_EVEN,0.0000
1968,2026-08-03 16:15:55.060,EMA50,1,48,30,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,5,TARGET,5.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,10,TARGET,10.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,15,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,20,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,25,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,12,30,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,5,TARGET,5.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,10,TARGET,10.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,15,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,20,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,25,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,24,30,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,5,TARGET,5.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,10,TARGET,10.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,15,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,20,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,25,BREAK_EVEN,0.0000
2078,2026-08-03 18:52:39.188,PIN,1,48,30,BREAK_EVEN,0.0000
2139,2026-08-03 20:46:34.952,EMA24+EMA50,1,12,5,TARGET,5.0000
