Group,TriggerTicks,StopTicks,Signals,Triggered,Resolved,Targets,Stops,TargetRate,ExpectancyPerTrade,ExpectancyPerSignal
ALL,1,1,2183,1943,1943,229,1714,11.7859,-0.2928,-0.2607
ALL,1,2,2183,1943,1943,521,1422,26.8142,-0.1230,-0.1095
ALL,1,3,2183,1943,1943,718,1225,36.9532,-0.0437,-0.0389
ALL,1,4,2183,1943,1943,889,1054,45.7540,0.1179,0.1049
ALL,1,5,2183,1943,1943,996,947,51.2609,0.1261,0.1122
ALL,1,6,2183,1943,1943,1112,831,57.2311,0.2954,0.2629
ALL,1,7,2183,1943,1940,1193,747,61.4948,0.3794,0.3372
ALL,1,8,2183,1943,1939,1263,676,65.1367,0.4678,0.4155
ALL,1,9,2183,1943,1936,1328,608,68.5950,0.6033,0.5350
ALL,1,10,2183,1943,1930,1365,565,70.7254,0.6088,0.5383
ALL,2,1,2183,1707,1707,108,1599,6.3269,-0.6204,-0.4851
ALL,2,2,2183,1707,1707,396,1311,23.1986,-0.3761,-0.2941
ALL,2,3,2183,1707,1707,576,1131,33.7434,-0.3005,-0.2350
ALL,2,4,2183,1707,1707,711,996,41.6520,-0.2513,-0.1965
ALL,2,5,2183,1707,1707,846,861,49.5606,-0.0439,-0.0344
ALL,2,6,2183,1707,1707,921,786,53.9543,-0.0650,-0.0508
ALL,2,7,2183,1707,1706,1007,699,59.0270,0.0832,0.0650
ALL,2,8,2183,1707,1703,1075,628,63.1239,0.2061,0.1608
ALL,2,9,2183,1707,1697,1127,570,66.4113,0.2976,0.2313
ALL,2,10,2183,1707,1692,1172,520,69.2671,0.3901,0.3023
EMA8,1,1,1130,1000,1000,123,877,12.3000,-0.2620,-0.2319
EMA8,1,2,1130,1000,1000,274,726,27.4000,-0.0820,-0.0726
EMA8,1,3,1130,1000,1000,365,635,36.5000,-0.0800,-0.0708
EMA8,1,4,1130,1000,1000,455,545,45.5000,0.0950,0.0841
EMA8,1,5,1130,1000,1000,514,486,51.4000,0.1400,0.1239
EMA8,1,6,1130,1000,1000,572,428,57.2000,0.2920,0.2584
EMA8,1,7,1130,1000,1000,614,386,61.4000,0.3680,0.3257
EMA8,1,8,1130,1000,1000,646,354,64.6000,0.3980,0.3522
EMA8,1,9,1130,1000,999,683,316,68.3684,0.5716,0.5053
EMA8,1,10,1130,1000,996,699,297,70.1807,0.5271,0.4646
EMA8,2,1,1130,876,876,62,814,7.0776,-0.5753,-0.4460
