Group,HorizonBars,Selected,Completed,Positive,BreakEven,Negative,FivePlus,PositiveRate,BreakEvenRate,NegativeRate,FivePlusRate,AveragePnlTicks,MedianPnlTicks
ALL,12,2183,2170,1348,304,518,552,62.1198,14.0092,23.8710,25.4378,0.7917,1.0000
ALL,24,2183,2175,1350,307,518,550,62.0690,14.1149,23.8161,25.2874,0.7715,1.0000
ALL,48,2182,2178,1352,307,519,552,62.0753,14.0955,23.8292,25.3444,0.8095,1.0000
EMA8,12,1130,1124,684,155,285,272,60.8541,13.7900,25.3559,24.1993,0.4342,1.0000
EMA8,24,1130,1125,686,155,284,272,60.9778,13.7778,25.2444,24.1778,0.4284,1.0000
EMA8,48,1130,1127,688,155,284,273,61.0470,13.7533,25.1996,24.2236,0.4818,1.0000
EMA24,12,508,504,318,67,119,141,63.0952,13.2937,23.6111,27.9762,1.1349,2.0000
EMA24,24,508,508,319,68,121,140,62.7953,13.3858,23.8189,27.5591,1.0748,2.0000
EMA24,48,507,507,318,68,121,140,62.7219,13.4122,23.8659,27.6134,1.0730,2.0000
EMA50,12,358,357,233,50,74,92,65.2661,14.0056,20.7283,25.7703,1.3249,2.0000
EMA50,24,358,357,232,52,73,92,64.9860,14.5658,20.4482,25.7703,1.3053,2.0000
EMA50,48,358,357,232,52,73,92,64.9860,14.5658,20.4482,25.7703,1.3053,2.0000
PIN,12,200,198,122,34,42,49,61.6162,17.1717,21.2121,24.7475,1.0101,1.0000
PIN,24,200,198,122,34,42,48,61.6162,17.1717,21.2121,24.2424,1.0051,1.0000
PIN,48,200,200,123,34,43,49,61.5000,17.0000,21.5000,24.5000,1.1250,1.0000
