Group,StopTicks,Selected,Resolved,Targets,Stops,TargetRate,ExpectancyTicks
ALL,1,2183,2170,579,1591,26.6820,0.6009
ALL,2,2183,2170,825,1345,38.0184,0.6613
ALL,3,2183,2170,1017,1153,46.8664,0.7493
ALL,4,2183,2170,1148,1022,52.9032,0.7613
ALL,5,2183,2170,1286,884,59.2627,0.9263
ALL,6,2183,2170,1380,790,63.5945,0.9954
ALL,7,2183,2170,1463,707,67.4194,1.0903
ALL,8,2183,2170,1538,632,70.8756,1.2138
ALL,9,2183,2164,1583,581,73.1516,1.2412
ALL,10,2183,2156,1645,511,76.2987,1.4448
EMA8,1,1130,1124,298,826,26.5125,0.5907
EMA8,2,1130,1124,422,702,37.5445,0.6281
EMA8,3,1130,1124,517,607,45.9964,0.6797
EMA8,4,1130,1124,582,542,51.7794,0.6601
EMA8,5,1130,1124,654,470,58.1851,0.8185
EMA8,6,1130,1124,701,423,62.3665,0.8603
EMA8,7,1130,1124,741,383,65.9253,0.9110
EMA8,8,1130,1124,779,345,69.3060,1.0098
EMA8,9,1130,1121,800,321,71.3649,0.9911
EMA8,10,1130,1115,834,281,74.7982,1.2197
EMA24,1,508,504,136,368,26.9841,0.6190
EMA24,2,508,504,191,313,37.8968,0.6528
EMA24,3,508,504,241,263,47.8175,0.8254
EMA24,4,508,504,271,233,53.7698,0.8393
EMA24,5,508,504,304,200,60.3175,1.0317
EMA24,6,508,504,328,176,65.0794,1.1587
EMA24,7,508,504,346,158,68.6508,1.2381
EMA24,8,508,504,359,145,71.2302,1.2599
EMA24,9,508,504,371,133,73.6111,1.3056
EMA24,10,508,502,384,118,76.4940,1.4741
EMA50,1,358,357,97,260,27.1709,0.6303
EMA50,2,358,357,146,211,40.8964,0.8627
EMA50,3,358,357,174,183,48.7395,0.8992
EMA50,4,358,357,197,160,55.1821,0.9664
EMA50,5,358,357,219,138,61.3445,1.1345
EMA50,6,358,357,238,119,66.6667,1.3333
EMA50,7,358,357,249,108,69.7479,1.3697
EMA50,8,358,357,265,92,74.2297,1.6499
EMA50,9,358,354,273,81,77.1186,1.7966
EMA50,10,358,354,282,72,79.6610,1.9492
PIN,1,200,198,51,147,25.7576,0.5455
PIN,2,200,198,71,127,35.8586,0.5101
PIN,3,200,198,90,108,45.4545,0.6364
PIN,4,200,198,104,94,52.5253,0.7273
PIN,5,200,198,117,81,59.0909,0.9091
PIN,6,200,198,122,76,61.6162,0.7778
PIN,7,200,198,136,62,68.6869,1.2424
PIN,8,200,198,145,53,73.2323,1.5202
PIN,9,200,198,149,49,75.2525,1.5354
PIN,10,200,198,156,42,78.7879,1.8182
