BarNumber,Time,Direction,Entry,Families,SignalBarStopPlus1,TicksSeen,SameSecondAmbiguous,Stop1,Stop2,Stop3,Stop4,Stop5,Stop6,Stop7,Stop8,Stop9,Stop10
1968,2026-08-03 16:15:55.060,1,7635.0,EMA50,6,847,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2078,2026-08-03 18:52:39.188,1,7645.0,PIN,6,724,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2139,2026-08-03 20:46:34.952,1,7643.0,EMA24+EMA50,6,3009,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2158,2026-08-03 22:09:34.376,1,7644.75,EMA50,6,20017,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
2264,2026-08-04 02:02:38.684,-1,7636.0,EMA8,6,316,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2270,2026-08-04 02:07:30.596,-1,7633.5,EMA8,6,7734,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2273,2026-08-04 02:16:13.028,-1,7633.25,EMA8,6,1109,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2275,2026-08-04 02:17:04.848,-1,7632.5,EMA8,6,11249,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2277,2026-08-04 02:22:04.056,-1,7632.75,EMA8,6,6564,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2279,2026-08-04 02:25:29.016,-1,7632.75,EMA8,6,3690,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2323,2026-08-04 03:37:36.624,1,7640.0,EMA24,6,7240,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
2338,2026-08-04 03:45:07.924,1,7644.25,EMA8,6,466,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2343,2026-08-04 03:45:57.792,1,7646.0,EMA8,6,1519,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2345,2026-08-04 03:46:13.976,1,7646.25,EMA8,6,985,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2353,2026-08-04 03:47:50.904,1,7647.0,EMA8,6,6758,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2357,2026-08-04 03:49:37.488,1,7646.25,EMA24,6,595,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2392,2026-08-04 04:23:49.092,1,7645.75,EMA8,6,3303,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2399,2026-08-04 04:36:01.536,1,7648.0,EMA8,6,5136,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2402,2026-08-04 04:42:34.596,1,7646.5,EMA24,6,876,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2407,2026-08-04 04:43:33.032,1,7652.0,PIN,6,2149,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET
2434,2026-08-04 04:45:25.624,1,7653.5,EMA24,6,2156,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
2436,2026-08-04 04:45:40.824,1,7653.5,EMA24,6,930,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2532,2026-08-04 06:20:56.544,1,7662.75,EMA8,6,1800,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2581,2026-08-04 06:30:59.256,1,7665.0,EMA8,6,10212,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
2600,2026-08-04 06:36:28.908,1,7673.0,PIN,6,4062,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2648,2026-08-04 06:47:04.584,1,7673.25,EMA24,6,872,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2672,2026-08-04 06:52:25.972,1,7681.75,EMA8,6,6692,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2711,2026-08-04 07:01:15.116,1,7687.25,EMA8,6,1931,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2736,2026-08-04 07:05:50.564,1,7694.75,EMA8,6,3070,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2743,2026-08-04 07:08:25.252,1,7696.25,EMA8,6,1994,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2760,2026-08-04 07:16:44.524,1,7701.0,EMA8,6,4342,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2762,2026-08-04 07:17:18.796,1,7701.75,EMA8,6,704,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2771,2026-08-04 07:19:46.872,1,7704.75,EMA8,6,2844,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2847,2026-08-04 07:37:29.576,1,7701.0,EMA24,6,538,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2872,2026-08-04 07:38:25.464,1,7704.5,EMA50,6,10450,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET
2874,2026-08-04 07:38:26.496,1,7704.75,EMA50,6,5676,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
2897,2026-08-04 07:45:16.056,1,7709.25,EMA8,6,17509,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
2904,2026-08-04 07:48:15.420,1,7709.75,EMA8,6,3844,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2926,2026-08-04 07:58:03.960,1,7713.25,EMA8,6,1282,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2962,2026-08-04 08:13:51.356,1,7723.5,PIN,6,10377,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET
2965,2026-08-04 08:15:16.900,1,7722.5,EMA8,6,1970,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
2982,2026-08-04 08:25:28.668,1,7730.75,PIN,6,6058,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
3030,2026-08-04 08:45:31.028,1,7736.25,PIN,6,1335,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
3032,2026-08-04 08:47:01.148,1,7738.25,PIN,6,4597,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
