Analysis,Window,Segment,Selected,Resolved,Targets,TargetRate,PnlTicksPerSelected
OPEN_BUCKET,06:30-06:31,ALL,28,28,19,67.8571,0.1786
OPEN_BUCKET,06:30-06:31,DEVELOPMENT,16,16,12,75.0000,1.2500
OPEN_BUCKET,06:30-06:31,LATER,12,12,7,58.3333,-1.2500
OPEN_BUCKET,06:31-06:35,ALL,52,52,43,82.6923,2.4038
OPEN_BUCKET,06:31-06:35,DEVELOPMENT,30,30,25,83.3333,2.5000
OPEN_BUCKET,06:31-06:35,LATER,22,22,18,81.8182,2.2727
OPEN_BUCKET,06:35-06:40,ALL,34,34,27,79.4118,1.9118
OPEN_BUCKET,06:35-06:40,DEVELOPMENT,20,20,17,85.0000,2.7500
OPEN_BUCKET,06:35-06:40,LATER,14,14,10,71.4286,0.7143
OPEN_BUCKET,06:40-06:45,ALL,43,42,32,76.1905,1.3953
OPEN_BUCKET,06:40-06:45,DEVELOPMENT,18,18,12,66.6667,0.0000
OPEN_BUCKET,06:40-06:45,LATER,25,24,20,83.3333,2.4000
RTH_BLOCK,06:30-06:45,ALL,157,156,121,77.5641,1.6242
RTH_BLOCK,06:30-06:45,DEVELOPMENT,84,84,66,78.5714,1.7857
RTH_BLOCK,06:30-06:45,LATER,73,72,55,76.3889,1.4384
RTH_BLOCK,06:45-07:00,ALL,110,109,74,67.8899,0.1818
RTH_BLOCK,06:45-07:00,DEVELOPMENT,64,64,46,71.8750,0.7812
RTH_BLOCK,06:45-07:00,LATER,46,45,28,62.2222,-0.6522
RTH_BLOCK,07:00-08:00,ALL,358,357,285,79.8319,1.9693
RTH_BLOCK,07:00-08:00,DEVELOPMENT,163,163,128,78.5276,1.7791
RTH_BLOCK,07:00-08:00,LATER,195,194,157,80.9278,2.1282
RTH_BLOCK,08:00-09:00,ALL,205,202,141,69.8020,0.4634
RTH_BLOCK,08:00-09:00,DEVELOPMENT,102,99,69,69.6970,0.4412
RTH_BLOCK,08:00-09:00,LATER,103,103,72,69.9029,0.4854
RTH_BLOCK,09:00-11:00,ALL,246,242,186,76.8595,1.5041
RTH_BLOCK,09:00-11:00,DEVELOPMENT,127,124,96,77.4194,1.5748
RTH_BLOCK,09:00-11:00,LATER,119,118,90,76.2712,1.4286
RTH_BLOCK,11:00-13:00,ALL,206,206,164,79.6117,1.9417
RTH_BLOCK,11:00-13:00,DEVELOPMENT,98,98,76,77.5510,1.6327
RTH_BLOCK,11:00-13:00,LATER,108,108,88,81.4815,2.2222
RTH_AFTER_WAIT,0,ALL,1282,1272,971,76.3365,1.4392
RTH_AFTER_WAIT,0,DEVELOPMENT,638,632,481,76.1076,1.4028
RTH_AFTER_WAIT,0,LATER,644,640,490,76.5625,1.4752
FIRST_AFTER_WAIT,0,ALL,29,29,20,68.9655,0.3448
FIRST_AFTER_WAIT,0,DEVELOPMENT,14,14,12,85.7143,2.8571
FIRST_AFTER_WAIT,0,LATER,15,15,8,53.3333,-2.0000
RTH_AFTER_WAIT,1,ALL,1254,1244,952,76.5273,1.4673
RTH_AFTER_WAIT,1,DEVELOPMENT,622,616,469,76.1364,1.4068
RTH_AFTER_WAIT,1,LATER,632,628,483,76.9108,1.5269
FIRST_AFTER_WAIT,1,ALL,29,29,23,79.3103,1.8966
FIRST_AFTER_WAIT,1,DEVELOPMENT,14,14,11,78.5714,1.7857
FIRST_AFTER_WAIT,1,LATER,15,15,12,80.0000,2.0000
RTH_AFTER_WAIT,2,ALL,1236,1226,936,76.3458,1.4401
RTH_AFTER_WAIT,2,DEVELOPMENT,611,605,458,75.7025,1.3421
RTH_AFTER_WAIT,2,LATER,625,621,478,76.9726,1.5360
FIRST_AFTER_WAIT,2,ALL,29,29,22,75.8621,1.3793
FIRST_AFTER_WAIT,2,DEVELOPMENT,14,14,9,64.2857,-0.3571
FIRST_AFTER_WAIT,2,LATER,15,15,13,86.6667,3.0000
RTH_AFTER_WAIT,3,ALL,1226,1216,927,76.2336,1.4233
RTH_AFTER_WAIT,3,DEVELOPMENT,604,598,452,75.5853,1.3245
RTH_AFTER_WAIT,3,LATER,622,618,475,76.8608,1.5193
FIRST_AFTER_WAIT,3,ALL,29,29,21,72.4138,0.8621
FIRST_AFTER_WAIT,3,DEVELOPMENT,14,14,9,64.2857,-0.3571
FIRST_AFTER_WAIT,3,LATER,15,15,12,80.0000,2.0000
RTH_AFTER_WAIT,5,ALL,1202,1192,909,76.2584,1.4268
RTH_AFTER_WAIT,5,DEVELOPMENT,592,586,444,75.7679,1.3514
RTH_AFTER_WAIT,5,LATER,610,606,465,76.7327,1.5000
FIRST_AFTER_WAIT,5,ALL,29,29,21,72.4138,0.8621
FIRST_AFTER_WAIT,5,DEVELOPMENT,14,14,11,78.5714,1.7857
FIRST_AFTER_WAIT,5,LATER,15,15,10,66.6667,0.0000
RTH_AFTER_WAIT,7,ALL,1187,1177,900,76.4656,1.4575
RTH_AFTER_WAIT,7,DEVELOPMENT,581,575,436,75.8261,1.3597
RTH_AFTER_WAIT,7,LATER,606,602,464,77.0764,1.5512
FIRST_AFTER_WAIT,7,ALL,29,29,23,79.3103,1.8966
FIRST_AFTER_WAIT,7,DEVELOPMENT,14,14,11,78.5714,1.7857
FIRST_AFTER_WAIT,7,LATER,15,15,12,80.0000,2.0000
RTH_AFTER_WAIT,10,ALL,1168,1158,882,76.1658,1.4127
RTH_AFTER_WAIT,10,DEVELOPMENT,572,566,427,75.4417,1.3024
RTH_AFTER_WAIT,10,LATER,596,592,455,76.8581,1.5185
FIRST_AFTER_WAIT,10,ALL,29,29,19,65.5172,-0.1724
FIRST_AFTER_WAIT,10,DEVELOPMENT,14,14,9,64.2857,-0.3571
FIRST_AFTER_WAIT,10,LATER,15,15,10,66.6667,0.0000
RTH_AFTER_WAIT,15,ALL,1125,1116,850,76.1649,1.4133
RTH_AFTER_WAIT,15,DEVELOPMENT,554,548,415,75.7299,1.3448
RTH_AFTER_WAIT,15,LATER,571,568,435,76.5845,1.4799
