name,setups,triggered,trigger_rate,resolved,targets,stops,none,target_rate,ticks_per_trigger,ticks_per_setup,dev_n,dev_rate,hold_n,hold_rate,long_n,long_rate,short_n,short_rate
STRONG_GAPS_TRIGGER_WITHIN_1,251,101,40.239,99,58,41,2,58.5859,-1.1881,-0.4781,47,61.7021,54,55.7692,56,60.0,45,56.8182
STRONG_GAPS_TRIGGER_WITHIN_2,251,122,48.6056,120,73,47,2,60.8333,-0.8607,-0.4183,56,62.5,66,59.375,67,63.6364,55,57.4074
STRONG_GAPS_TRIGGER_WITHIN_3,251,139,55.3785,137,85,52,2,62.0438,-0.6835,-0.3785,65,64.6154,74,59.7222,76,66.6667,63,56.4516
STRONG_GAPS_TRIGGER_WITHIN_4,251,147,58.5657,145,90,55,2,62.069,-0.6803,-0.3984,69,62.3188,78,61.8421,81,65.0,66,58.4615
STRONG_GAPS_TRIGGER_WITHIN_6,251,156,62.1514,154,96,58,2,62.3377,-0.641,-0.3984,72,62.5,84,62.1951,85,66.6667,71,57.1429
STRONG_SLOPES_TRIGGER_WITHIN_1,259,106,40.9266,104,61,43,2,58.6538,-1.1792,-0.4826,49,61.2245,57,56.3636,58,59.6491,48,57.4468
STRONG_SLOPES_TRIGGER_WITHIN_2,259,127,49.0347,125,76,49,2,60.8,-0.8661,-0.4247,58,62.069,69,59.7015,69,63.2353,58,57.8947
STRONG_SLOPES_TRIGGER_WITHIN_3,259,145,55.9846,143,88,55,2,61.5385,-0.7586,-0.4247,67,64.1791,78,59.2105,78,66.2338,67,56.0606
STRONG_SLOPES_TRIGGER_WITHIN_4,259,154,59.4595,152,94,58,2,61.8421,-0.7143,-0.4247,72,62.5,82,61.25,83,64.6341,71,58.5714
STRONG_SLOPES_TRIGGER_WITHIN_6,259,163,62.9344,161,100,61,2,62.1118,-0.6748,-0.4247,75,62.6667,88,61.6279,87,66.2791,76,57.3333
MODERATE_GAPS_TRIGGER_WITHIN_1,666,262,39.3393,256,154,102,6,60.1562,-0.9542,-0.3754,129,61.4173,133,58.9147,137,58.9552,125,61.4754
MODERATE_GAPS_TRIGGER_WITHIN_2,666,311,46.6967,305,190,115,6,62.2951,-0.6431,-0.3003,154,63.1579,157,61.4379,163,62.5,148,62.069
MODERATE_GAPS_TRIGGER_WITHIN_3,666,347,52.1021,341,218,123,6,63.9296,-0.4035,-0.2102,171,64.497,176,63.3721,184,65.1934,163,62.5
MODERATE_GAPS_TRIGGER_WITHIN_4,666,366,54.955,360,228,132,6,63.3333,-0.4918,-0.2703,181,63.1285,185,63.5359,195,64.0625,171,62.5
MODERATE_GAPS_TRIGGER_WITHIN_6,666,382,57.3574,376,238,138,6,63.2979,-0.4974,-0.2853,188,62.9032,194,63.6842,201,64.1414,181,62.3596
MODERATE_SLOPES_TRIGGER_WITHIN_1,746,292,39.1421,285,170,115,7,59.6491,-1.0274,-0.4021,150,59.1837,142,60.1449,148,56.5517,144,62.8571
MODERATE_SLOPES_TRIGGER_WITHIN_2,746,350,46.9169,343,210,133,7,61.2245,-0.8,-0.3753,181,60.6742,169,61.8182,177,59.7701,173,62.7219
MODERATE_SLOPES_TRIGGER_WITHIN_3,746,390,52.2788,383,239,144,7,62.4021,-0.6282,-0.3284,198,62.0513,192,62.766,199,62.2449,191,62.5668
MODERATE_SLOPES_TRIGGER_WITHIN_4,746,412,55.2279,405,250,155,7,61.7284,-0.7282,-0.4021,210,60.3865,202,63.1313,210,61.3527,202,62.1212
MODERATE_SLOPES_TRIGGER_WITHIN_6,746,430,57.6408,423,261,162,7,61.7021,-0.7326,-0.4223,218,60.4651,212,62.9808,216,61.5023,214,61.9048
