ident,anchor_index,arm_index,side,anchor_time,arm_time,arm_key,trigger_deadline_key,trigger_price,clear_depth,strong_slopes,strong_gaps,moderate_slopes,moderate_gaps,triggered,trigger_key,trigger_bar_index,trigger_lag_bars,fill_price,outcome_end_key,outcome,outcome_key,outcome_price,ticks_seen,second_ambiguous
0,2579,2580,1,2026-08-04 06:32:26.700,2026-08-04 06:32:50.260,63921508370,63921508490,7668.75,10,True,True,True,True,True,63921508372,2580,0,7668.75,63921508604,TARGET,63921508378,7670.0,1188,False
1,2591,2592,1,2026-08-04 06:36:28.908,2026-08-04 06:36:44.172,63921508604,63921508674,7673.5,10,True,True,True,True,False,,,,,,NOT_TRIGGERED,,,16359,False
2,2615,2616,1,2026-08-04 06:41:15.464,2026-08-04 06:41:38.724,63921508898,63921509032,7673.25,10,False,True,True,True,True,63921509024,2621,5,7673.25,63921509129,STOP,63921509050,7670.75,18613,False
3,2689,2690,1,2026-08-04 07:00:01.304,2026-08-04 07:00:05.704,63921510005,63921510052,7686.5,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,5206,False
4,2698,2699,1,2026-08-04 07:01:01.464,2026-08-04 07:01:01.464,63921510061,63921510120,7688.5,10,True,True,True,True,True,63921510085,2702,3,7688.5,63921510208,TARGET,63921510106,7689.75,10552,False
5,2708,2709,1,2026-08-04 07:02:24.268,2026-08-04 07:02:25.188,63921510145,63921510210,7693.0,10,True,True,True,True,False,,,,,,NOT_TRIGGERED,,,12321,False
6,2723,2724,1,2026-08-04 07:05:19.428,2026-08-04 07:05:24.320,63921510324,63921510395,7695.25,10,False,True,True,True,True,63921510356,2727,3,7695.25,63921510624,TARGET,63921510376,7696.5,8037,False
7,2729,2730,1,2026-08-04 07:06:28.284,2026-08-04 07:06:35.624,63921510395,63921510557,7697.0,10,False,True,True,True,True,63921510438,2731,1,7697.0,63921510750,NONE,,,36869,False
8,2748,2749,1,2026-08-04 07:15:26.488,2026-08-04 07:16:23.532,63921510983,63921511062,7702.75,10,True,True,True,True,True,63921511045,2753,4,7702.75,63921511210,TARGET,63921511061,7704.0,10545,False
9,2755,2756,1,2026-08-04 07:17:42.084,2026-08-04 07:18:28.996,63921511108,63921511186,7704.5,10,True,True,True,True,True,63921511113,2756,0,7704.5,63921511242,TARGET,63921511149,7705.75,5570,False
10,2760,2761,1,2026-08-04 07:19:23.068,2026-08-04 07:19:32.680,63921511172,63921511234,7707.0,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,10749,False
11,2815,2816,-1,2026-08-04 07:30:58.148,2026-08-04 07:31:05.020,63921511865,63921511957,7692.75,10,False,False,True,True,False,,,,,,NOT_TRIGGERED,,,10375,False
12,2831,2832,1,2026-08-04 07:34:49.544,2026-08-04 07:34:54.872,63921512094,63921512249,7702.75,10,False,False,True,True,True,63921512103,2832,0,7702.75,63921512299,STOP,63921512238,7700.25,17504,False
13,2845,2846,1,2026-08-04 07:38:19.736,2026-08-04 07:38:19.748,63921512299,63921512300,7708.5,10,True,True,True,True,True,63921512300,2848,2,7708.5,63921512303,TARGET,63921512301,7709.75,1440,True
14,2885,2886,1,2026-08-04 07:44:59.916,2026-08-04 07:45:00.104,63921512700,63921512855,7710.75,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,17246,False
15,2898,2899,1,2026-08-04 07:50:15.316,2026-08-04 07:50:20.588,63921513020,63921513203,7713.0,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,19881,False
16,2915,2916,1,2026-08-04 07:57:39.788,2026-08-04 07:57:58.296,63921513478,63921513622,7714.25,10,False,True,True,True,True,63921513497,2917,1,7714.25,63921513753,TARGET,63921513544,7715.5,6354,False
17,3266,3267,-1,2026-08-04 11:00:00.292,2026-08-04 11:00:10.172,63921524410,63921524458,7767.75,10,False,False,True,False,True,63921524418,3268,1,7767.75,63921524522,TARGET,63921524425,7766.5,2983,False
18,3272,3273,-1,2026-08-04 11:00:49.780,2026-08-04 11:00:58.212,63921524458,63921524513,7763.75,10,True,True,True,True,False,,,,,,NOT_TRIGGERED,,,10524,False
19,3295,3296,-1,2026-08-04 11:04:45.436,2026-08-04 11:05:09.036,63921524709,63921524761,7765.0,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,8323,False
20,3335,3336,1,2026-08-04 11:15:10.536,2026-08-04 11:15:36.432,63921525336,63921525555,7776.0,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,15651,False
21,3352,3353,1,2026-08-04 11:22:44.472,2026-08-04 11:22:46.616,63921525766,63921525994,7777.0,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,12494,False
22,3383,3384,-1,2026-08-04 11:40:25.776,2026-08-04 11:40:49.588,63921526849,63921526943,7768.0,10,False,False,True,False,True,63921526863,3384,0,7768.0,63921527072,STOP,63921526907,7770.5,5143,False
23,3392,3393,-1,2026-08-04 11:43:31.520,2026-08-04 11:43:48.692,63921527028,63921527158,7766.25,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,12357,False
24,3439,3440,1,2026-08-04 12:02:06.900,2026-08-04 12:02:26.732,63921528146,63921528338,7781.25,10,True,True,True,True,True,63921528201,3441,1,7781.25,63921528539,STOP,63921528362,7778.75,17009,False
25,3442,3443,1,2026-08-04 12:03:42.048,2026-08-04 12:04:27.132,63921528267,63921528410,7781.75,10,True,True,True,True,True,63921528317,3444,1,7781.75,63921528726,STOP,63921528341,7779.25,6077,False
26,3517,3518,1,2026-08-04 12:41:24.380,2026-08-04 12:42:34.156,63921530554,63921530654,7782.5,10,False,False,True,True,True,63921530578,3519,1,7782.5,63921530827,STOP,63921530609,7780.0,2452,False
27,3524,3525,1,2026-08-04 12:44:14.112,2026-08-04 12:44:29.768,63921530669,63921530827,7785.25,10,False,True,True,True,True,63921530762,3527,2,7785.25,63921531000,STOP,63921530830,7782.75,12082,False
28,3529,3530,1,2026-08-04 12:46:23.004,2026-08-04 12:46:49.412,63921530809,63921530934,7786.25,10,False,True,True,True,False,,,,,,NOT_TRIGGERED,,,9165,False
29,3551,3552,-1,2026-08-04 12:50:30.808,2026-08-04 12:50:40.012,63921531040,63921531128,7775.5,10,False,False,True,False,True,63921531052,3553,1,7775.5,63921531230,TARGET,63921531137,7774.25,9518,False
30,3554,3555,-1,2026-08-04 12:51:05.924,2026-08-04 12:51:44.140,63921531104,63921531155,7774.5,10,False,False,True,True,True,63921531120,3556,1,7774.5,63921531273,STOP,63921531155,7777.0,7076,False
31,3567,3568,-1,2026-08-04 12:54:16.924,2026-08-04 12:54:33.920,63921531273,63921531346,7771.0,10,True,True,True,True,True,63921531280,3568,0,7771.0,63921531399,TARGET,63921531281,7769.75,917,False
32,3571,3572,-1,2026-08-04 12:55:17.188,2026-08-04 12:55:28.072,63921531328,63921531385,7767.5,10,True,True,True,True,True,63921531334,3572,0,7767.5,63921531458,TARGET,63921531343,7766.25,2293,False
33,3574,3575,-1,2026-08-04 12:55:46.456,2026-08-04 12:55:59.428,63921531359,63921531422,7765.5,10,True,True,True,True,True,63921531365,3575,0,7765.5,63921531504,TARGET,63921531375,7764.25,2497,False
34,3577,3578,-1,2026-08-04 12:56:12.568,2026-08-04 12:56:25.100,63921531385,63921531458,7764.25,10,True,True,True,True,True,63921531394,3579,1,7764.25,63921531543,STOP,63921531481,7766.75,11607,False
35,3613,3614,-1,2026-08-04 12:59:55.168,2026-08-04 12:59:58.128,63921531598,63921531602,7762.25,10,True,True,True,True,True,63921531599,3615,1,7762.0,63921531618,STOP,63921531599,7764.5,915,True
