FastEMA,SlowEMA,TrendEMA,Candidates,Target,Stop,None,TargetRatePct
5,18,40,397,283,111,3,71.28463476070529
5,18,50,403,284,116,3,70.47146401985111
5,18,60,402,284,115,3,70.64676616915423
5,24,40,361,264,95,2,73.13019390581718
5,24,50,373,268,103,2,71.84986595174263
5,24,60,380,274,104,2,72.10526315789474
5,30,40,324,238,84,2,73.45679012345678
5,30,50,331,241,88,2,72.809667673716
5,30,60,328,238,88,2,72.5609756097561
5,36,40,300,219,79,2,73.0
5,36,50,296,216,78,2,72.97297297297297
5,36,60,294,216,76,2,73.46938775510205
8,18,40,351,254,92,5,72.36467236467236
8,18,50,347,248,94,5,71.46974063400576
8,18,60,345,248,92,5,71.8840579710145
8,24,40,402,289,109,4,71.8905472636816
8,24,50,427,307,116,4,71.89695550351288
8,24,60,433,311,118,4,71.82448036951502
8,30,40,323,228,92,3,70.58823529411765
8,30,50,365,261,100,4,71.5068493150685
8,30,60,379,272,103,4,71.76781002638522
8,36,40,312,221,88,3,70.83333333333333
8,36,50,332,239,90,3,71.98795180722891
8,36,60,337,244,90,3,72.40356083086053
11,18,40,54,31,21,2,57.407407407407405
11,18,50,54,31,21,2,57.407407407407405
11,18,60,54,31,21,2,57.407407407407405
11,24,40,262,186,71,5,70.99236641221374
11,24,50,268,192,71,5,71.64179104477611
11,24,60,269,194,70,5,72.11895910780669
11,30,40,195,139,52,4,71.28205128205128
11,30,50,254,180,69,5,70.86614173228347
11,30,60,272,195,72,5,71.69117647058823
11,36,40,164,117,44,3,71.34146341463415
11,36,50,211,153,54,4,72.51184834123222
11,36,60,223,162,57,4,72.6457399103139
13,18,40,1,0,1,0,0.0
13,18,50,1,0,1,0,0.0
13,18,60,1,0,1,0,0.0
13,24,40,126,90,34,2,71.42857142857143
13,24,50,126,90,34,2,71.42857142857143
13,24,60,126,90,34,2,71.42857142857143
13,30,40,129,93,35,1,72.09302325581395
13,30,50,179,126,50,3,70.39106145251397
13,30,60,189,136,50,3,71.95767195767196
13,36,40,86,65,21,0,75.5813953488372
13,36,50,141,102,37,2,72.34042553191489
13,36,60,152,111,39,2,73.02631578947368
