profile,trend,pullback,trigger,raw_signals,signals,days,targets,stops,none,resolved_rate,dev_n,dev_rate,hold_n,hold_rate,long_n,long_rate,short_n,short_rate,median_delay_seconds,p90_delay_seconds
T4_very_strong+P3_doji+E4_very_strong_clear,T4_very_strong,P3_doji,E4_very_strong_clear,6,6,5,5,0,1,100.0,1,100.0,5,100.0,1,100.0,5,100.0,9.896,24.3
T4_very_strong+P5_relative_weak+E4_very_strong_clear,T4_very_strong,P5_relative_weak,E4_very_strong_clear,6,6,5,5,0,1,100.0,1,100.0,5,100.0,1,100.0,5,100.0,9.896,24.3
T4_very_strong+P4_shrink_doji+E4_very_strong_clear,T4_very_strong,P4_shrink_doji,E4_very_strong_clear,2,2,2,2,0,0,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1.26,1.26
T4_very_strong+P5_relative_weak+E3_strong_clear,T4_very_strong,P5_relative_weak,E3_strong_clear,16,16,11,13,2,1,86.67,6,83.33,10,88.89,5,80.0,11,90.0,8.792,24.3
T4_very_strong+P3_doji+E3_strong_clear,T4_very_strong,P3_doji,E3_strong_clear,15,15,11,11,3,1,78.57,5,80.0,10,77.78,5,80.0,10,77.78,10.172,38.78
T1_ordered_rising+P3_doji+E4_very_strong_clear,T1_ordered_rising,P3_doji,E4_very_strong_clear,48,47,24,35,10,2,77.78,18,72.22,29,81.48,3,66.67,44,78.57,38.78,249.264
T4_very_strong+P2_compact+E1_expand,T4_very_strong,P2_compact,E1_expand,182,161,32,115,43,3,72.78,63,74.6,98,71.58,65,78.12,96,69.15,26.348,148.644
T4_very_strong+P3_doji+E2_strong,T4_very_strong,P3_doji,E2_strong,62,61,25,43,17,1,71.67,25,72.0,36,71.43,20,85.0,41,65.0,21.544,152.556
T4_very_strong+P3_doji+E1_expand,T4_very_strong,P3_doji,E1_expand,205,184,32,132,49,3,72.93,74,75.68,110,71.03,75,75.68,109,71.03,27.412,144.452
T4_very_strong+P5_relative_weak+E1_expand,T4_very_strong,P5_relative_weak,E1_expand,198,179,32,126,50,3,71.59,69,72.46,110,71.03,73,76.39,106,68.27,25.356,131.572
T4_very_strong+P4_shrink_doji+E2_strong,T4_very_strong,P4_shrink_doji,E2_strong,29,29,20,21,8,0,72.41,10,70.0,19,73.68,16,81.25,13,61.54,19.216,86.304
T4_very_strong+P4_shrink_doji+E1_expand,T4_very_strong,P4_shrink_doji,E1_expand,114,109,30,76,32,1,70.37,39,71.79,70,69.57,53,73.08,56,67.86,27.412,126.476
T2_moderate+P2_compact+E1_expand,T2_moderate,P2_compact,E1_expand,697,485,33,334,146,5,69.58,203,69.46,282,69.68,208,68.45,277,70.44,39.928,175.36
T2_moderate+P3_doji+E1_expand,T2_moderate,P3_doji,E1_expand,824,553,33,386,161,6,70.57,234,72.22,319,69.33,234,69.83,319,71.11,36.408,165.152
