bar,time,direction,entry,families,segment,outcome
965,2026-08-04 06:32:26.700,1,7666.5,PIN7,DEV,TARGET
983,2026-08-04 06:36:27.832,1,7672.75,PIN,DEV,STOP
1007,2026-08-04 06:40:04.384,1,7671.25,PIN7,DEV,STOP
1019,2026-08-04 06:41:15.020,1,7672.5,PIN7,DEV,STOP
1022,2026-08-04 06:42:10.128,1,7671.25,EMA24,DEV,TARGET
1129,2026-08-04 07:00:09.816,1,7685.0,EMA8,DEV,TARGET
1139,2026-08-04 07:00:58.692,1,7686.25,PIN7,DEV,TARGET
1144,2026-08-04 07:01:12.780,1,7687.0,EMA8,DEV,TARGET
1149,2026-08-04 07:02:01.136,1,7690.0,PIN7,DEV,TARGET
1180,2026-08-04 07:05:50.528,1,7694.5,EMA8,DEV,TARGET
1185,2026-08-04 07:06:46.656,1,7696.0,EMA8,DEV,TARGET
1195,2026-08-04 07:09:40.780,1,7695.75,EMA24,DEV,TARGET
1205,2026-08-04 07:13:04.536,1,7698.5,PIN7,DEV,TARGET
1206,2026-08-04 07:14:01.864,1,7699.25,PIN7,DEV,TARGET
1207,2026-08-04 07:14:54.380,1,7699.75,PIN7,DEV,TARGET
1209,2026-08-04 07:15:15.912,1,7701.5,PIN,DEV,TARGET
1210,2026-08-04 07:15:26.488,1,7702.25,PIN,DEV,STOP
1219,2026-08-04 07:17:08.876,1,7701.5,EMA8,DEV,TARGET
1221,2026-08-04 07:17:25.648,1,7702.75,PIN7,DEV,TARGET
1307,2026-08-04 07:30:32.580,-1,7694.5,PIN7,DEV,TARGET
1322,2026-08-04 07:32:31.272,-1,7695.5,EMA50,DEV,STOP
1331,2026-08-04 07:33:42.756,1,7700.25,EMA8,DEV,TARGET
1334,2026-08-04 07:34:32.920,1,7702.0,PIN7,DEV,TARGET
1341,2026-08-04 07:36:47.736,1,7702.0,EMA8,DEV,STOP
1362,2026-08-04 07:38:20.464,1,7708.5,EMA8,DEV,TARGET
1402,2026-08-04 07:42:45.932,1,7706.75,PIN7,DEV,TARGET
1403,2026-08-04 07:43:34.808,1,7707.25,PIN7,DEV,TARGET
1404,2026-08-04 07:43:43.876,1,7708.0,PIN7,DEV,TARGET
1407,2026-08-04 07:44:59.916,1,7710.0,PIN,DEV,TARGET
1410,2026-08-04 07:45:15.860,1,7709.0,EMA8,DEV,TARGET
1412,2026-08-04 07:45:47.364,1,7709.25,EMA8,DEV,TARGET
1414,2026-08-04 07:46:09.768,1,7709.25,EMA8,DEV,TARGET
1435,2026-08-04 07:51:06.012,1,7710.25,EMA24,DEV,TARGET
1450,2026-08-04 07:56:38.196,1,7713.0,PIN7,DEV,TARGET
1455,2026-08-04 07:58:03.656,1,7713.0,EMA8,DEV,TARGET
1457,2026-08-04 07:59:01.856,1,7714.75,PIN7,DEV,TARGET
1974,2026-08-04 11:00:32.116,-1,7766.0,PIN,DEV,TARGET
1976,2026-08-04 11:00:45.720,-1,7764.5,PIN,DEV,TARGET
1977,2026-08-04 11:00:49.792,-1,7764.0,PIN,DEV,STOP
2006,2026-08-04 11:04:24.920,-1,7767.5,PIN7,DEV,TARGET
2039,2026-08-04 11:10:47.528,1,7771.25,EMA24,DEV,TARGET
2047,2026-08-04 11:12:37.256,1,7771.25,EMA50,DEV,STOP
2066,2026-08-04 11:18:12.848,1,7773.0,EMA24,DEV,TARGET
2088,2026-08-04 11:24:32.172,1,7775.25,EMA24,DEV,STOP
2113,2026-08-04 11:33:59.564,1,7775.0,EMA50,DEV,STOP
2132,2026-08-04 11:40:05.264,-1,7770.25,EMA8,DEV,TARGET
2138,2026-08-04 11:41:23.896,-1,7768.75,EMA8,DEV,STOP
2142,2026-08-04 11:42:01.404,-1,7770.25,EMA24,DEV,TARGET
2151,2026-08-04 11:44:40.196,-1,7769.25,EMA24,DEV,STOP
2171,2026-08-04 11:51:52.052,1,7774.25,EMA8,DEV,STOP
2206,2026-08-04 12:01:16.660,1,7779.5,PIN,DEV,TARGET
2207,2026-08-04 12:01:36.432,1,7780.0,PIN,DEV,TARGET
