bar,time,direction,entry,families,segment,outcome
2587,2026-08-04 06:32:26.700,1,7666.75,PIN7,DEV,TARGET
2600,2026-08-04 06:36:28.908,1,7673.0,PIN,DEV,STOP
2624,2026-08-04 06:41:15.464,1,7672.75,PIN7,DEV,STOP
2711,2026-08-04 07:01:15.116,1,7687.25,EMA8,DEV,TARGET
2713,2026-08-04 07:01:37.220,1,7688.75,PIN7,DEV,TARGET
2715,2026-08-04 07:02:09.032,1,7690.5,PIN7,DEV,TARGET
2716,2026-08-04 07:02:24.164,1,7691.25,PIN7,DEV,TARGET
2736,2026-08-04 07:05:50.564,1,7694.75,EMA8,DEV,TARGET
2743,2026-08-04 07:08:25.252,1,7696.25,EMA8,DEV,TARGET
2755,2026-08-04 07:14:56.764,1,7700.0,PIN7,DEV,TARGET
2760,2026-08-04 07:16:44.524,1,7701.0,EMA8,DEV,TARGET
2762,2026-08-04 07:17:18.796,1,7701.75,EMA8,DEV,TARGET
2771,2026-08-04 07:19:46.872,1,7704.75,EMA8,DEV,STOP
2847,2026-08-04 07:37:29.576,1,7701.0,EMA24,DEV,TARGET
2872,2026-08-04 07:38:25.464,1,7704.5,EMA50,DEV,TARGET
2874,2026-08-04 07:38:26.496,1,7704.75,EMA50,DEV,STOP
2890,2026-08-04 07:42:47.812,1,7707.0,PIN7,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,7707.5,PIN7,DEV,TARGET
2897,2026-08-04 07:45:16.056,1,7709.25,EMA8,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,7709.75,EMA8,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,7713.25,EMA8,DEV,TARGET
2928,2026-08-04 07:59:01.968,1,7715.0,PIN7,DEV,TARGET
3281,2026-08-04 11:00:49.780,-1,7764.25,PIN,DEV,STOP
3302,2026-08-04 11:04:26.876,-1,7767.25,PIN7,DEV,TARGET
3304,2026-08-04 11:04:45.436,-1,7765.5,PIN7,DEV,STOP
3391,2026-08-04 11:40:16.704,-1,7770.0,PIN7,DEV,TARGET
3401,2026-08-04 11:43:31.520,-1,7766.75,PIN7,DEV,STOP
