Configuration,BarNumber,Time,Direction,Families,Segment,Outcome,TicksSeen
R4_TAIL3_4,965,2026-08-04 06:32:26.700,1,PIN7,DEV,TARGET,1
R4_TAIL3_4,983,2026-08-04 06:36:27.832,1,PIN,DEV,STOP,3867
R4_TAIL3_4,1007,2026-08-04 06:40:04.384,1,PIN7,DEV,STOP,7636
R4_TAIL3_4,1022,2026-08-04 06:42:10.128,1,EMA24,DEV,TARGET,1877
R4_TAIL3_4,1129,2026-08-04 07:00:09.816,1,EMA8,DEV,STOP,2311
R4_TAIL3_4,1139,2026-08-04 07:00:58.692,1,PIN7,DEV,TARGET,290
R4_TAIL3_4,1144,2026-08-04 07:01:12.780,1,EMA8,DEV,TARGET,2376
R4_TAIL3_4,1149,2026-08-04 07:02:01.136,1,PIN7,DEV,TARGET,2378
R4_TAIL3_4,1180,2026-08-04 07:05:50.528,1,EMA8,DEV,TARGET,2867
R4_TAIL3_4,1185,2026-08-04 07:06:46.656,1,EMA8,DEV,TARGET,3809
R4_TAIL3_4,1195,2026-08-04 07:09:40.780,1,EMA24,DEV,TARGET,8485
R4_TAIL3_4,1205,2026-08-04 07:13:04.536,1,PIN7,DEV,TARGET,4805
R4_TAIL3_4,1207,2026-08-04 07:14:54.380,1,PIN7,DEV,TARGET,698
R4_TAIL3_4,1219,2026-08-04 07:17:08.876,1,EMA8,DEV,TARGET,1237
R4_TAIL3_4,1307,2026-08-04 07:30:32.580,-1,PIN7,DEV,TARGET,5034
R4_TAIL3_4,1322,2026-08-04 07:32:31.272,-1,EMA50,DEV,STOP,1169
R4_TAIL3_4,1331,2026-08-04 07:33:42.756,1,EMA8,DEV,TARGET,1434
R4_TAIL3_4,1334,2026-08-04 07:34:32.920,1,PIN7,DEV,TARGET,4088
R4_TAIL3_4,1341,2026-08-04 07:36:47.736,1,EMA8,DEV,STOP,4305
R4_TAIL3_4,1362,2026-08-04 07:38:20.464,1,EMA8,DEV,STOP,1
R4_TAIL3_4,1403,2026-08-04 07:43:34.808,1,PIN7,DEV,TARGET,1399
R4_TAIL3_4,1410,2026-08-04 07:45:15.860,1,EMA8,DEV,TARGET,8277
R4_TAIL3_4,1412,2026-08-04 07:45:47.364,1,EMA8,DEV,TARGET,13184
R4_TAIL3_4,1414,2026-08-04 07:46:09.768,1,EMA8,DEV,TARGET,10353
R4_TAIL3_4,1435,2026-08-04 07:51:06.012,1,EMA24,DEV,TARGET,8767
