BarNumber,SignalTime,Direction,ReferenceEntryPrice,DiagnosticOutcome,StrictNextSecondTickOutcome,TickOutcomeTime,TickOutcomePrice,TicksSeen,SecondPrecisionAmbiguous
1953,2026-08-03 15:15:04.232,LONG,7633.000000,TARGET,TARGET,2026-08-03 15:15:24,7634.250000,131,False
2030,2026-08-03 17:48:16.212,LONG,7633.750000,TARGET,TARGET,2026-08-03 17:48:27,7635.000000,240,False
2037,2026-08-03 17:56:27.564,LONG,7634.000000,STOP,STOP,2026-08-03 18:00:50,7631.500000,6884,False
3322,2026-08-04 11:09:19.796,LONG,7770.000000,TARGET,TARGET,2026-08-04 11:09:22,7771.250000,254,False
3442,2026-08-04 12:00:26.588,LONG,7774.000000,TARGET,TARGET,2026-08-04 12:00:33,7775.250000,541,False
4417,2026-08-05 05:47:23.784,LONG,7802.000000,TARGET,TARGET,2026-08-05 05:49:12,7803.250000,1804,False
4938,2026-08-05 07:08:44.312,LONG,7812.750000,TARGET,TARGET,2026-08-05 07:09:16,7814.000000,9460,False
5108,2026-08-05 07:27:54.096,SHORT,7806.750000,TARGET,TARGET,2026-08-05 07:28:04,7805.500000,3393,False
5180,2026-08-05 07:35:12.828,SHORT,7798.750000,TARGET,TARGET,2026-08-05 07:35:17,7797.500000,1284,False
5467,2026-08-05 08:11:32.320,LONG,7788.750000,STOP,STOP,2026-08-05 08:11:49,7786.250000,3822,False
7363,2026-08-06 06:31:40.204,SHORT,7751.750000,TARGET,TARGET,2026-08-06 06:31:51,7750.500000,3468,False
9145,2026-08-06 17:40:25.364,SHORT,7733.500000,TARGET,TARGET,2026-08-06 17:40:46,7732.250000,707,False
9305,2026-08-06 20:51:45.808,SHORT,7730.000000,TARGET,TARGET,2026-08-06 20:53:59,7728.750000,1486,False
9547,2026-08-07 05:29:48.236,SHORT,7751.750000,STOP,STOP,2026-08-07 05:29:51,7754.250000,133,True
10062,2026-08-07 06:39:40.564,LONG,7760.250000,STOP,STOP,2026-08-07 06:39:49,7757.750000,2994,False
10692,2026-08-07 07:43:12.552,SHORT,7768.500000,TARGET,TARGET,2026-08-07 07:43:16,7767.250000,1117,False
11234,2026-08-07 11:00:40.528,LONG,7769.750000,STOP,STOP,2026-08-07 11:05:25,7767.250000,15514,False
12044,2026-08-10 06:37:15.428,SHORT,7775.750000,TARGET,TARGET,2026-08-10 06:37:27,7774.500000,2869,False
12048,2026-08-10 06:37:45.624,SHORT,7775.250000,TARGET,TARGET,2026-08-10 06:38:10,7774.000000,7158,False
12770,2026-08-10 12:42:32.708,LONG,7777.500000,TARGET,TARGET,2026-08-10 12:42:38,7778.750000,279,False
13392,2026-08-11 06:44:49.680,SHORT,7779.750000,TARGET,TARGET,2026-08-11 06:45:07,7778.500000,4960,False
13396,2026-08-11 06:45:30.488,SHORT,7779.750000,TARGET,TARGET,2026-08-11 06:45:38,7778.500000,2193,False
13548,2026-08-11 07:27:23.268,SHORT,7781.750000,TARGET,TARGET,2026-08-11 07:27:31,7780.500000,968,False
13957,2026-08-11 12:01:36.384,SHORT,7745.750000,TARGET,TARGET,2026-08-11 12:07:16,7744.500000,12143,False
14122,2026-08-11 17:00:37.432,LONG,7753.750000,STOP,STOP,2026-08-11 17:01:15,7751.250000,2503,False
14185,2026-08-11 19:08:01.784,SHORT,7750.500000,STOP,STOP,2026-08-11 19:26:13,7753.000000,11234,False
14219,2026-08-11 23:17:37.256,LONG,7755.500000,TARGET,TARGET,2026-08-11 23:30:03,7756.750000,6261,False
